
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    35.00     0.00  -100.00    -2.07    -2.05     0.63    -0.63    34.57    34.69     2.17    -2.20     4.26     4.25    -0.35     0.34     0.00   -29.65
    40.00   100.00     0.00    -2.58    -2.61     0.30    -0.29    39.57    39.45     2.29    -2.26     4.84     4.85    -0.34     0.35   -30.96     0.00
    40.00  -100.00     0.00    -2.63    -2.61     0.29    -0.29    39.32    39.45     2.23    -2.26     4.85     4.85    -0.36     0.35    30.84     0.00
    40.00     0.00   100.00    -2.61    -2.63     0.29    -0.29    39.45    39.32     2.26    -2.23     4.85     4.85    -0.35     0.36     0.00    30.84
    40.00     0.00  -100.00    -2.61    -2.58     0.29    -0.30    39.45    39.57     2.26    -2.29     4.85     4.84    -0.35     0.34     0.00   -30.96
    45.00   100.00     0.00    -3.17    -3.20    -0.14     0.14    44.44    44.31     2.38    -2.34     5.43     5.44    -0.34     0.35   -32.02     0.00
    45.00  -100.00     0.00    -3.23    -3.20    -0.14     0.14    44.18    44.31     2.31    -2.34     5.44     5.44    -0.36     0.35    31.87     0.00
    45.00     0.00   100.00    -3.20    -3.23    -0.14     0.14    44.31    44.18     2.34    -2.31     5.44     5.44    -0.35     0.36     0.00    31.87
    45.00     0.00  -100.00    -3.20    -3.17    -0.14     0.14    44.31    44.44     2.34    -2.38     5.44     5.43    -0.35     0.34     0.00   -32.02
    50.00   100.00     0.00    -3.81    -3.84    -0.69     0.68    49.29    49.16     2.47    -2.44     6.01     6.02    -0.34     0.35   -32.84     0.00
    50.00  -100.00     0.00    -3.88    -3.84    -0.68     0.68    49.02    49.16     2.40    -2.44     6.03     6.02    -0.37     0.35    32.66     0.00
    50.00     0.00   100.00    -3.84    -3.88    -0.68     0.68    49.16    49.02     2.44    -2.40     6.02     6.03    -0.35     0.37     0.00    32.66
    50.00     0.00  -100.00    -3.84    -3.81    -0.68     0.69    49.16    49.29     2.44    -2.47     6.02     6.01    -0.35     0.34     0.00   -32.84
    55.00   100.00     0.00    -4.51    -4.54    -1.33     1.32    54.12    53.99     2.56    -2.53     6.59     6.60    -0.34     0.35   -33.42     0.00
    55.00  -100.00     0.00    -4.58    -4.54    -1.32     1.32    53.85    53.99     2.50    -2.53     6.61     6.60    -0.37     0.35    33.21     0.00
    55.00     0.00   100.00    -4.54    -4.58    -1.32     1.32    53.99    53.85     2.53    -2.50     6.60     6.61    -0.35     0.37     0.00    33.21
    55.00     0.00  -100.00    -4.54    -4.51    -1.32     1.33    53.99    54.12     2.53    -2.56     6.60     6.59    -0.35     0.34     0.00   -33.42
    60.00   100.00     0.00    -5.26    -5.30    -2.08     2.07    58.94    58.81     2.66    -2.62     7.18     7.19    -0.34     0.35   -33.76     0.00
    60.00  -100.00     0.00    -5.34    -5.30    -2.06     2.07    58.67    58.81     2.59    -2.62     7.20     7.19    -0.37     0.35    33.52     0.00
    60.00     0.00   100.00    -5.30    -5.34    -2.07     2.06    58.81    58.67     2.62    -2.59     7.19     7.20    -0.35     0.37     0.00    33.52
    60.00     0.00  -100.00    -5.30    -5.26    -2.07     2.08    58.81    58.94     2.62    -2.66     7.19     7.18    -0.35     0.34     0.00   -33.76
    65.00   100.00     0.00    -6.06    -6.11    -2.93     2.92    63.75    63.61     2.76    -2.72     7.75     7.77    -0.34     0.36   -33.86     0.00
    65.00  -100.00     0.00    -6.15    -6.11    -2.91     2.92    63.47    63.61     2.68    -2.72     7.78     7.77    -0.38     0.36    33.57     0.00
    65.00     0.00   100.00    -6.11    -6.15    -2.92     2.91    63.61    63.47     2.72    -2.68     7.77     7.78    -0.36     0.38     0.00    33.57
    65.00     0.00  -100.00    -6.11    -6.06    -2.92     2.93    63.61    63.75     2.72    -2.76     7.77     7.75    -0.36     0.34     0.00   -33.86
    70.00   100.00     0.00    -6.92    -6.97    -3.88     3.87    68.54    68.40     2.85    -2.81     8.33     8.35    -0.34     0.36   -33.70     0.00
    70.00  -100.00     0.00    -7.02    -6.97    -3.86     3.87    68.26    68.40     2.78    -2.81     8.36     8.35    -0.39     0.36    33.36     0.00
    70.00     0.00   100.00    -6.97    -7.02    -3.87     3.86    68.40    68.26     2.81    -2.78     8.35     8.36    -0.36     0.39     0.00    33.36
    70.00     0.00  -100.00    -6.97    -6.92    -3.87     3.88    68.40    68.54     2.81    -2.85     8.35     8.33    -0.36     0.34     0.00   -33.70
    75.00   100.00     0.00    -7.84    -7.89    -4.94     4.93    73.31    73.17     2.95    -2.91     8.91     8.93    -0.35     0.37   -33.26     0.00
    75.00  -100.00     0.00    -7.95    -7.89    -4.92     4.93    73.04    73.17     2.87    -2.91     8.94     8.93    -0.40     0.37    32.86     0.00
    75.00     0.00   100.00    -7.89    -7.95    -4.93     4.92    73.17    73.04     2.91    -2.87     8.93     8.94    -0.37     0.40     0.00    32.86
    75.00     0.00  -100.00    -7.89    -7.84    -4.93     4.94    73.17    73.31     2.91    -2.95     8.93     8.91    -0.37     0.35     0.00   -33.26
    80.00   100.00     0.00    -8.80    -8.87    -6.11     6.10    78.07    77.93     3.04    -3.00     9.49     9.51    -0.36     0.39   -32.51     0.00
    80.00  -100.00     0.00    -8.93    -8.87    -6.09     6.10    77.80    77.93     2.96    -3.00     9.52     9.51    -0.41     0.39    32.05     0.00
    80.00     0.00   100.00    -8.87    -8.93    -6.10     6.09    77.93    77.80     3.00    -2.96     9.51     9.52    -0.39     0.41     0.00    32.05
    80.00     0.00  -100.00    -8.87    -8.80    -6.10     6.11    77.93    78.07     3.00    -3.04     9.51     9.49    -0.39     0.36     0.00   -32.51
    -5.00   100.00     0.00     0.03     0.03    -0.54     0.54    -4.98    -5.01     1.76    -1.73    -0.64    -0.63    -0.29     0.29    -6.85     0.00
    -5.00  -100.00     0.00     0.04     0.03    -0.55     0.54    -5.03    -5.01     1.69    -1.73    -0.62    -0.63    -0.28     0.29     7.18     0.00
    -5.00     0.00   100.00     0.03     0.04    -0.54     0.55    -5.01    -5.03     1.73    -1.69    -0.63    -0.62    -0.29     0.28     0.00     7.18
    -5.00     0.00  -100.00     0.03     0.03    -0.54     0.54    -5.01    -4.98     1.73    -1.76    -0.63    -0.64    -0.29     0.29     0.00    -6.85
   -10.00   100.00     0.00    -0.02    -0.01    -1.20     1.21   -10.03   -10.03     1.75    -1.72    -1.28    -1.27    -0.28     0.27    -1.64     0.00
   -10.00  -100.00     0.00     0.00    -0.01    -1.21     1.21   -10.04   -10.03     1.68    -1.72    -1.25    -1.27    -0.27     0.27     2.09     0.00
   -10.00     0.00   100.00    -0.01     0.00    -1.21     1.21   -10.03   -10.04     1.72    -1.68    -1.27    -1.25    -0.27     0.27     0.00     2.09
   -10.00     0.00  -100.00    -0.01    -0.02    -1.21     1.20   -10.03   -10.03     1.72    -1.75    -1.27    -1.28    -0.27     0.28     0.00    -1.64
   -15.00   100.00     0.00    -0.14    -0.13    -2.00     2.00   -15.10   -15.08     1.76    -1.72    -1.93    -1.91    -0.27     0.26     4.45     0.00
   -15.00  -100.00     0.00    -0.11    -0.13    -2.00     2.00   -15.06   -15.08     1.69    -1.72    -1.89    -1.91    -0.25     0.26    -3.82     0.00
   -15.00     0.00   100.00    -0.13    -0.11    -2.00     2.00   -15.08   -15.06     1.72    -1.69    -1.91    -1.89    -0.26     0.25     0.00    -3.82
   -15.00     0.00  -100.00    -0.13    -0.14    -2.00     2.00   -15.08   -15.10     1.72    -1.76    -1.91    -1.93    -0.26     0.27     0.00     4.45
   -20.00   100.00     0.00    -0.36    -0.33    -2.94     2.93   -20.19   -20.14     1.79    -1.75    -2.58    -2.56    -0.27     0.25    11.63     0.00
   -20.00  -100.00     0.00    -0.31    -0.33    -2.92     2.93   -20.09   -20.14     1.71    -1.75    -2.54    -2.56    -0.24     0.25   -10.76     0.00
   -20.00     0.00   100.00    -0.33    -0.31    -2.93     2.92   -20.14   -20.09     1.75    -1.71    -2.56    -2.54    -0.25     0.24     0.00   -10.76
   -20.00     0.00  -100.00    -0.33    -0.36    -2.93     2.94   -20.14   -20.19     1.75    -1.79    -2.56    -2.58    -0.25     0.27     0.00    11.63
   -25.00   100.00     0.00    -0.66    -0.62    -4.03     4.00   -25.31   -25.22     1.83    -1.79    -3.24    -3.22    -0.26     0.24    20.17     0.00
   -25.00  -100.00     0.00    -0.59    -0.62    -3.98     4.00   -25.14   -25.22     1.75    -1.79    -3.19    -3.22    -0.23     0.24   -18.96     0.00
   -25.00     0.00   100.00    -0.62    -0.59    -4.00     3.98   -25.22   -25.14     1.79    -1.75    -3.22    -3.19    -0.24     0.23     0.00   -18.96
   -25.00     0.00  -100.00    -0.62    -0.66    -4.00     4.03   -25.22   -25.31     1.79    -1.83    -3.22    -3.24    -0.24     0.26     0.00    20.17
   -30.00   100.00     0.00    -1.06    -1.01    -5.27     5.23   -30.46   -30.33     1.91    -1.87    -3.91    -3.88    -0.27     0.24    30.49     0.00
   -30.00  -100.00     0.00    -0.96    -1.01    -5.19     5.23   -30.20   -30.33     1.82    -1.87    -3.85    -3.88    -0.22     0.24   -28.76     0.00
   -30.00     0.00   100.00    -1.01    -0.96    -5.23     5.19   -30.33   -30.20     1.87    -1.82    -3.88    -3.85    -0.24     0.22     0.00   -28.76
   -30.00     0.00  -100.00    -1.01    -1.06    -5.23     5.27   -30.33   -30.46     1.87    -1.91    -3.88    -3.91    -0.24     0.27     0.00    30.49
   -35.00   100.00     0.00    -1.57    -1.50    -6.69     6.62   -35.65   -35.46     2.02    -1.97    -4.59    -4.55    -0.28     0.25    43.16     0.00
   -35.00  -100.00     0.00    -1.43    -1.50    -6.56     6.62   -35.28   -35.46     1.92    -1.97    -4.51    -4.55    -0.23     0.25   -40.66     0.00
   -35.00     0.00   100.00    -1.50    -1.43    -6.62     6.56   -35.46   -35.28     1.97    -1.92    -4.55    -4.51    -0.25     0.23     0.00   -40.66
   -35.00     0.00  -100.00    -1.50    -1.57    -6.62     6.69   -35.46   -35.65     1.97    -2.02    -4.55    -4.59    -0.25     0.28     0.00    43.16
   -40.00   100.00     0.00    -2.19    -2.10    -8.30     8.20   -40.87   -40.62     2.17    -2.11    -5.28    -5.23    -0.32     0.28    59.10     0.00
   -40.00  -100.00     0.00    -2.01    -2.10    -8.11     8.20   -40.37   -40.62     2.05    -2.11    -5.18    -5.23    -0.25     0.28   -55.36     0.00
   -40.00     0.00   100.00    -2.10    -2.01    -8.20     8.11   -40.62   -40.37     2.11    -2.05    -5.23    -5.18    -0.28     0.25     0.00   -55.36
   -40.00     0.00  -100.00    -2.10    -2.19    -8.20     8.30   -40.62   -40.87     2.11    -2.17    -5.23    -5.28    -0.28     0.32     0.00    59.10
   -45.00   100.00     0.00    -2.95    -2.83   -10.14     9.99   -46.15   -45.80     2.38    -2.30    -5.98    -5.91    -0.39     0.34    79.81     0.00
   -45.00  -100.00     0.00    -2.71    -2.83    -9.84     9.99   -45.47   -45.80     2.22    -2.30    -5.85    -5.91    -0.29     0.34   -73.96     0.00
   -45.00     0.00   100.00    -2.83    -2.71    -9.99     9.84   -45.80   -45.47     2.30    -2.22    -5.91    -5.85    -0.34     0.29     0.00   -73.96
   -45.00     0.00  -100.00    -2.83    -2.95    -9.99    10.14   -45.80   -46.15     2.30    -2.38    -5.91    -5.98    -0.34     0.39     0.00    79.81
   -50.00   100.00     0.00    -3.86    -3.69   -12.25    12.01   -51.48   -51.00     2.65    -2.55    -6.67    -6.59    -0.52     0.45   108.01     0.00
   -50.00  -100.00     0.00    -3.53    -3.69   -11.80    12.01   -50.57   -51.00     2.46    -2.55    -6.51    -6.59    -0.38     0.45   -98.25     0.00
   -50.00     0.00   100.00    -3.69    -3.53   -12.01    11.80   -51.00   -50.57     2.55    -2.46    -6.59    -6.51    -0.45     0.38     0.00   -98.25
   -50.00     0.00  -100.00    -3.69    -3.86   -12.01    12.25   -51.00   -51.48     2.55    -2.65    -6.59    -6.67    -0.45     0.52     0.00   108.01
   -55.00   100.00     0.00    -4.96    -4.70   -14.71    14.33   -56.90   -56.24     3.04    -2.89    -7.36    -7.26    -0.75     0.64   149.35     0.00
   -55.00  -100.00     0.00    -4.48    -4.70   -14.00    14.33   -55.66   -56.24     2.76    -2.89    -7.16    -7.26    -0.53     0.64  -131.40     0.00
   -55.00     0.00   100.00    -4.70    -4.48   -14.33    14.00   -56.24   -55.66     2.89    -2.76    -7.26    -7.16    -0.64     0.53     0.00  -131.40
   -55.00     0.00  -100.00    -4.70    -4.96   -14.33    14.71   -56.24   -56.90     2.89    -3.04    -7.26    -7.36    -0.64     0.75     0.00   149.35
   -60.00   100.00     0.00    -6.26    -5.88   -17.68    17.02   -62.48   -61.51     3.59    -3.36    -8.00    -7.88    -1.22     0.99   219.06     0.00
   -60.00  -100.00     0.00    -5.56    -5.88   -16.49    17.02   -60.71   -61.51     3.16    -3.36    -7.77    -7.88    -0.81     0.99  -179.59     0.00
   -60.00     0.00   100.00    -5.88    -5.56   -17.02    16.49   -61.51   -60.71     3.36    -3.16    -7.88    -7.77    -0.99     0.81     0.00  -179.59
   -60.00     0.00  -100.00    -5.88    -6.26   -17.02    17.68   -61.51   -62.48     3.36    -3.59    -7.88    -8.00    -0.99     1.22     0.00   219.06
   -65.00   100.00     0.00    -7.83    -7.18   -21.90    20.26   -68.54   -66.78     4.61    -4.04    -8.38    -8.36    -2.59     1.72   403.15     0.00
   -65.00  -100.00     0.00    -6.73    -7.18   -19.33    20.26   -65.65   -66.78     3.70    -4.04    -8.28    -8.36    -1.32     1.72  -257.09     0.00
   -65.00     0.00   100.00    -7.18    -6.73   -20.26    19.33   -66.78   -65.65     4.04    -3.70    -8.36    -8.28    -1.72     1.32     0.00  -257.09
   -65.00     0.00  -100.00    -7.18    -7.83   -20.26    21.90   -66.78   -68.54     4.04    -4.61    -8.36    -8.38    -1.72     2.59     0.00   403.15
   -70.00   100.00     0.00    -4.82    -8.24   -29.37    24.80   -70.55   -71.93     6.16    -5.23    -3.93    -8.12   -12.57     4.05  -131.54     0.00
   -75.00   100.00     0.00    -6.70    -7.54   -29.32    28.11   -73.59   -74.04     6.34    -6.00    -6.00    -6.90    -9.23     7.19  -731.68  -658.47
   -75.00  -100.00     0.00    -8.29    -7.54   -25.89    28.11   -73.75   -74.04     5.25    -6.00    -8.17    -6.90    -4.16     7.19  -785.79  -658.47
   -75.00     0.00   100.00    -7.54    -8.29   -28.11    25.89   -74.04   -73.75     6.00    -5.25    -6.90    -8.17    -7.19     4.16  -658.47  -785.79
   -80.00   100.00     0.00    -7.45    -7.80   -29.83    29.00   -75.52   -75.69     6.34    -6.03    -6.90    -7.30    -7.87     6.77 -1542.50 -1511.53
   -80.00  -100.00     0.00    -8.19    -7.80   -27.89    29.00   -75.69   -75.69     5.63    -6.03    -7.86    -7.30    -5.31     6.77 -1529.31 -1511.53
   -80.00     0.00   100.00    -7.80    -8.19   -29.00    27.89   -75.69   -75.69     6.03    -5.63    -7.30    -7.86    -6.77     5.31 -1511.53 -1529.31
   -80.00     0.00  -100.00    -7.80    -7.45   -29.00    29.83   -75.69   -75.52     6.03    -6.34    -7.30    -6.90    -6.77     7.87 -1511.53 -1542.50
