
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    35.00     0.00  -100.00    -2.07    -2.02     0.63    -0.59    34.57    34.60     2.17    -2.18     4.26     4.25    -0.35     0.23     0.00    -7.24
    40.00   100.00     0.00    -2.56    -2.61     0.26    -0.29    39.48    39.45     2.27    -2.26     4.85     4.85    -0.24     0.35    -7.90     0.00
    40.00  -100.00     0.00    -2.65    -2.61     0.33    -0.29    39.42    39.45     2.25    -2.26     4.85     4.85    -0.47     0.35     7.24     0.00
    40.00     0.00   100.00    -2.61    -2.65     0.29    -0.33    39.45    39.42     2.26    -2.25     4.85     4.85    -0.35     0.47     0.00     7.24
    40.00     0.00  -100.00    -2.61    -2.56     0.29    -0.26    39.45    39.48     2.26    -2.27     4.85     4.85    -0.35     0.24     0.00    -7.90
    45.00   100.00     0.00    -3.16    -3.20    -0.18     0.14    44.34    44.31     2.36    -2.34     5.44     5.44    -0.23     0.35    -8.43     0.00
    45.00  -100.00     0.00    -3.24    -3.20    -0.11     0.14    44.28    44.31     2.33    -2.34     5.43     5.44    -0.47     0.35     7.49     0.00
    45.00     0.00   100.00    -3.20    -3.24    -0.14     0.11    44.31    44.28     2.34    -2.33     5.44     5.43    -0.35     0.47     0.00     7.49
    45.00     0.00  -100.00    -3.20    -3.16    -0.14     0.18    44.31    44.34     2.34    -2.36     5.44     5.44    -0.35     0.23     0.00    -8.43
    50.00   100.00     0.00    -3.81    -3.84    -0.72     0.68    49.19    49.16     2.45    -2.44     6.04     6.02    -0.23     0.35    -8.82     0.00
    50.00  -100.00     0.00    -3.88    -3.84    -0.65     0.68    49.13    49.16     2.42    -2.44     6.01     6.02    -0.47     0.35     7.60     0.00
    50.00     0.00   100.00    -3.84    -3.88    -0.68     0.65    49.16    49.13     2.44    -2.42     6.02     6.01    -0.35     0.47     0.00     7.60
    50.00     0.00  -100.00    -3.84    -3.81    -0.68     0.72    49.16    49.19     2.44    -2.45     6.02     6.04    -0.35     0.23     0.00    -8.82
    55.00   100.00     0.00    -4.52    -4.54    -1.36     1.32    54.02    53.99     2.54    -2.53     6.63     6.60    -0.23     0.35    -9.03     0.00
    55.00  -100.00     0.00    -4.57    -4.54    -1.29     1.32    53.97    53.99     2.51    -2.53     6.58     6.60    -0.48     0.35     7.53     0.00
    55.00     0.00   100.00    -4.54    -4.57    -1.32     1.29    53.99    53.97     2.53    -2.51     6.60     6.58    -0.35     0.48     0.00     7.53
    55.00     0.00  -100.00    -4.54    -4.52    -1.32     1.36    53.99    54.02     2.53    -2.54     6.60     6.63    -0.35     0.23     0.00    -9.03
    60.00   100.00     0.00    -5.28    -5.30    -2.10     2.07    58.83    58.81     2.64    -2.62     7.21     7.19    -0.23     0.35    -9.05     0.00
    60.00  -100.00     0.00    -5.32    -5.30    -2.04     2.07    58.79    58.81     2.61    -2.62     7.16     7.19    -0.48     0.35     7.26     0.00
    60.00     0.00   100.00    -5.30    -5.32    -2.07     2.04    58.81    58.79     2.62    -2.61     7.19     7.16    -0.35     0.48     0.00     7.26
    60.00     0.00  -100.00    -5.30    -5.28    -2.07     2.10    58.81    58.83     2.62    -2.64     7.19     7.21    -0.35     0.23     0.00    -9.05
    65.00   100.00     0.00    -6.10    -6.11    -2.95     2.92    63.63    63.61     2.74    -2.72     7.80     7.77    -0.23     0.36    -8.83     0.00
    65.00  -100.00     0.00    -6.12    -6.11    -2.89     2.92    63.59    63.61     2.70    -2.72     7.73     7.77    -0.49     0.36     6.75     0.00
    65.00     0.00   100.00    -6.11    -6.12    -2.92     2.89    63.61    63.59     2.72    -2.70     7.77     7.73    -0.36     0.49     0.00     6.75
    65.00     0.00  -100.00    -6.11    -6.10    -2.92     2.95    63.61    63.63     2.72    -2.74     7.77     7.80    -0.36     0.23     0.00    -8.83
    70.00   100.00     0.00    -6.97    -6.97    -3.90     3.87    68.41    68.40     2.84    -2.81     8.39     8.35    -0.23     0.36    -8.35     0.00
    70.00  -100.00     0.00    -6.98    -6.97    -3.84     3.87    68.39    68.40     2.79    -2.81     8.31     8.35    -0.50     0.36     5.95     0.00
    70.00     0.00   100.00    -6.97    -6.98    -3.87     3.84    68.40    68.39     2.81    -2.79     8.35     8.31    -0.36     0.50     0.00     5.95
    70.00     0.00  -100.00    -6.97    -6.97    -3.87     3.90    68.40    68.41     2.81    -2.84     8.35     8.39    -0.36     0.23     0.00    -8.35
    75.00   100.00     0.00    -7.89    -7.89    -4.96     4.93    73.18    73.17     2.93    -2.91     8.97     8.93    -0.23     0.37    -7.57     0.00
    75.00  -100.00     0.00    -7.90    -7.89    -4.91     4.93    73.17    73.17     2.88    -2.91     8.88     8.93    -0.52     0.37     4.81     0.00
    75.00     0.00   100.00    -7.89    -7.90    -4.93     4.91    73.17    73.17     2.91    -2.88     8.93     8.88    -0.37     0.52     0.00     4.81
    75.00     0.00  -100.00    -7.89    -7.89    -4.93     4.96    73.17    73.18     2.91    -2.93     8.93     8.97    -0.37     0.23     0.00    -7.57
    80.00   100.00     0.00    -8.87    -8.87    -6.12     6.10    77.93    77.93     3.03    -3.00     9.55     9.51    -0.23     0.39    -6.43     0.00
    80.00  -100.00     0.00    -8.87    -8.87    -6.08     6.10    77.94    77.93     2.97    -3.00     9.46     9.51    -0.54     0.39     3.28     0.00
    80.00     0.00   100.00    -8.87    -8.87    -6.10     6.08    77.93    77.94     3.00    -2.97     9.51     9.46    -0.39     0.54     0.00     3.28
    80.00     0.00  -100.00    -8.87    -8.87    -6.10     6.12    77.93    77.93     3.00    -3.03     9.51     9.55    -0.39     0.23     0.00    -6.43
    -5.00   100.00     0.00     0.12     0.03    -0.58     0.54    -5.01    -5.01     1.72    -1.73    -0.75    -0.63    -0.14     0.29    -0.41     0.00
    -5.00  -100.00     0.00    -0.06     0.03    -0.51     0.54    -5.02    -5.01     1.73    -1.73    -0.51    -0.63    -0.44     0.29     4.05     0.00
    -5.00     0.00   100.00     0.03    -0.06    -0.54     0.51    -5.01    -5.02     1.73    -1.73    -0.63    -0.51    -0.29     0.44     0.00     4.05
    -5.00     0.00  -100.00     0.03     0.12    -0.54     0.58    -5.01    -5.01     1.73    -1.72    -0.63    -0.75    -0.29     0.14     0.00    -0.41
   -10.00   100.00     0.00     0.08    -0.01    -1.25     1.21   -10.04   -10.03     1.71    -1.72    -1.40    -1.27    -0.12     0.27     0.05     0.00
   -10.00  -100.00     0.00    -0.10    -0.01    -1.17     1.21   -10.04   -10.03     1.73    -1.72    -1.13    -1.27    -0.44     0.27     4.56     0.00
   -10.00     0.00   100.00    -0.01    -0.10    -1.21     1.17   -10.03   -10.04     1.72    -1.73    -1.27    -1.13    -0.27     0.44     0.00     4.56
   -10.00     0.00  -100.00    -0.01     0.08    -1.21     1.25   -10.03   -10.04     1.72    -1.71    -1.27    -1.40    -0.27     0.12     0.00     0.05
   -15.00   100.00     0.00    -0.04    -0.13    -2.04     2.00   -15.09   -15.08     1.71    -1.72    -2.07    -1.91    -0.09     0.26     0.19     0.00
   -15.00  -100.00     0.00    -0.22    -0.13    -1.96     2.00   -15.09   -15.08     1.73    -1.72    -1.75    -1.91    -0.44     0.26     5.64     0.00
   -15.00     0.00   100.00    -0.13    -0.22    -2.00     1.96   -15.08   -15.09     1.72    -1.73    -1.91    -1.75    -0.26     0.44     0.00     5.64
   -15.00     0.00  -100.00    -0.13    -0.04    -2.00     2.04   -15.08   -15.09     1.72    -1.71    -1.91    -2.07    -0.26     0.09     0.00     0.19
   -20.00   100.00     0.00    -0.24    -0.33    -2.97     2.93   -20.16   -20.14     1.73    -1.75    -2.74    -2.56    -0.06     0.25    -0.16     0.00
   -20.00  -100.00     0.00    -0.42    -0.33    -2.89     2.93   -20.15   -20.14     1.76    -1.75    -2.37    -2.56    -0.45     0.25     7.53     0.00
   -20.00     0.00   100.00    -0.33    -0.42    -2.93     2.89   -20.14   -20.15     1.75    -1.76    -2.56    -2.37    -0.25     0.45     0.00     7.53
   -20.00     0.00  -100.00    -0.33    -0.24    -2.93     2.97   -20.14   -20.16     1.75    -1.73    -2.56    -2.74    -0.25     0.06     0.00    -0.16
   -25.00   100.00     0.00    -0.54    -0.62    -4.05     4.00   -25.25   -25.22     1.77    -1.79    -3.43    -3.22    -0.03     0.24    -1.21     0.00
   -25.00  -100.00     0.00    -0.71    -0.62    -3.97     4.00   -25.24   -25.22     1.81    -1.79    -3.00    -3.22    -0.47     0.24    10.62     0.00
   -25.00     0.00   100.00    -0.62    -0.71    -4.00     3.97   -25.22   -25.24     1.79    -1.81    -3.22    -3.00    -0.24     0.47     0.00    10.62
   -25.00     0.00  -100.00    -0.62    -0.54    -4.00     4.05   -25.22   -25.25     1.79    -1.77    -3.22    -3.43    -0.24     0.03     0.00    -1.21
   -30.00   100.00     0.00    -0.93    -1.01    -5.28     5.23   -30.36   -30.33     1.84    -1.87    -4.12    -3.88     0.00     0.24    -3.30     0.00
   -30.00  -100.00     0.00    -1.10    -1.01    -5.20     5.23   -30.36   -30.33     1.89    -1.87    -3.64    -3.88    -0.50     0.24    15.46     0.00
   -30.00     0.00   100.00    -1.01    -1.10    -5.23     5.20   -30.33   -30.36     1.87    -1.89    -3.88    -3.64    -0.24     0.50     0.00    15.46
   -30.00     0.00  -100.00    -1.01    -0.93    -5.23     5.28   -30.33   -30.36     1.87    -1.84    -3.88    -4.12    -0.24     0.00     0.00    -3.30
   -35.00   100.00     0.00    -1.43    -1.50    -6.67     6.62   -35.49   -35.46     1.94    -1.97    -4.83    -4.55     0.03     0.25    -6.95     0.00
   -35.00  -100.00     0.00    -1.58    -1.50    -6.60     6.62   -35.50   -35.46     2.00    -1.97    -4.27    -4.55    -0.55     0.25    23.01     0.00
   -35.00     0.00   100.00    -1.50    -1.58    -6.62     6.60   -35.46   -35.50     1.97    -2.00    -4.55    -4.27    -0.25     0.55     0.00    23.01
   -35.00     0.00  -100.00    -1.50    -1.43    -6.62     6.67   -35.46   -35.49     1.97    -1.94    -4.55    -4.83    -0.25    -0.03     0.00    -6.95
   -40.00   100.00     0.00    -2.05    -2.10    -8.25     8.20   -40.63   -40.62     2.07    -2.11    -5.55    -5.23     0.05     0.28   -13.00     0.00
   -40.00  -100.00     0.00    -2.18    -2.10    -8.19     8.20   -40.69   -40.62     2.15    -2.11    -4.90    -5.23    -0.63     0.28    34.88     0.00
   -40.00     0.00   100.00    -2.10    -2.18    -8.20     8.19   -40.62   -40.69     2.11    -2.15    -5.23    -4.90    -0.28     0.63     0.00    34.88
   -40.00     0.00  -100.00    -2.10    -2.05    -8.20     8.25   -40.62   -40.63     2.11    -2.07    -5.23    -5.55    -0.28    -0.05     0.00   -13.00
   -45.00   100.00     0.00    -2.79    -2.83   -10.02     9.99   -45.80   -45.80     2.25    -2.30    -6.29    -5.91     0.06     0.34   -22.89     0.00
   -45.00  -100.00     0.00    -2.89    -2.83   -10.01     9.99   -45.93   -45.80     2.36    -2.30    -5.53    -5.91    -0.77     0.34    54.20     0.00
   -45.00     0.00   100.00    -2.83    -2.89    -9.99    10.01   -45.80   -45.93     2.30    -2.36    -5.91    -5.53    -0.34     0.77     0.00    54.20
   -45.00     0.00  -100.00    -2.83    -2.79    -9.99    10.02   -45.80   -45.80     2.30    -2.25    -5.91    -6.29    -0.34    -0.06     0.00   -22.89
   -50.00   100.00     0.00    -3.68    -3.69   -12.02    12.01   -50.97   -51.00     2.48    -2.55    -7.04    -6.59     0.05     0.45   -39.25     0.00
   -50.00  -100.00     0.00    -3.75    -3.69   -12.11    12.01   -51.25   -51.00     2.64    -2.55    -6.14    -6.59    -1.00     0.45    87.76     0.00
   -50.00     0.00   100.00    -3.69    -3.75   -12.01    12.11   -51.00   -51.25     2.55    -2.64    -6.59    -6.14    -0.45     1.00     0.00    87.76
   -50.00     0.00  -100.00    -3.69    -3.68   -12.01    12.02   -51.00   -50.97     2.55    -2.48    -6.59    -7.04    -0.45    -0.05     0.00   -39.25
   -55.00   100.00     0.00    -4.72    -4.70   -14.27    14.33   -56.13   -56.24     2.79    -2.89    -7.80    -7.26     0.00     0.64   -67.31     0.00
   -55.00  -100.00     0.00    -4.77    -4.70   -14.60    14.33   -56.72   -56.24     3.04    -2.89    -6.70    -7.26    -1.41     0.64   154.25     0.00
   -55.00     0.00   100.00    -4.70    -4.77   -14.33    14.60   -56.24   -56.72     2.89    -3.04    -7.26    -6.70    -0.64     1.41     0.00   154.25
   -55.00     0.00  -100.00    -4.70    -4.72   -14.33    14.27   -56.24   -56.13     2.89    -2.79    -7.26    -7.80    -0.64     0.00     0.00   -67.31
   -60.00   100.00     0.00    -5.92    -5.88   -16.81    17.02   -61.24   -61.51     3.19    -3.36    -8.55    -7.88    -0.10     0.99  -118.39     0.00
   -60.00  -100.00     0.00    -6.05    -5.88   -17.94    17.02   -62.73   -61.51     3.71    -3.36    -7.08    -7.88    -2.40     0.99   348.39     0.00
   -60.00     0.00   100.00    -5.88    -6.05   -17.02    17.94   -61.51   -62.73     3.36    -3.71    -7.88    -7.08    -0.99     2.40     0.00   348.39
   -60.00     0.00  -100.00    -5.88    -5.92   -17.02    16.81   -61.51   -61.24     3.36    -3.19    -7.88    -8.55    -0.99     0.10     0.00  -118.39
   -65.00   100.00     0.00    -7.27    -7.18   -19.64    20.26   -66.18   -66.78     3.71    -4.04    -9.28    -8.36    -0.30     1.72  -219.31     0.00
   -70.00   100.00     0.00    -8.63    -8.24   -22.65    24.80   -70.67   -71.93     4.33    -5.23    -9.90    -8.12    -0.65     4.05  -432.82     0.00
   -75.00   100.00     0.00    -9.73    -7.54   -25.43    28.11   -74.25   -74.04     4.94    -6.00   -10.33    -6.90    -1.09     7.19  -854.65  -658.47
   -80.00   100.00     0.00   -10.41    -7.80   -27.58    29.00   -76.82   -75.69     5.37    -6.03   -10.56    -7.30    -1.46     6.77 -1499.27 -1511.53
