
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     0.00    70.00   211.84    32.13    -3.41    18.00    21.80    -1.75    -2.81    -3.42     0.00    68.40     0.00     0.00
     0.00    75.00   347.74    20.71   -17.40    18.00    22.35    -1.75    -2.91    -3.67     0.00    73.17     0.00     0.00
     0.00    80.00   701.96    -9.03   -49.72    18.00    23.15    -1.75    -3.00    -3.92     0.00    77.93     0.00     0.00
     0.00     0.00     0.00    49.92    49.92    18.00    18.00    -1.75    -1.75     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00     0.67    49.86    52.36    18.00    17.25    -1.75    -1.73     0.24     0.00    -5.01     0.00     0.00
     0.00   -10.00     1.96    49.75    54.74    18.00    16.48    -1.75    -1.72     0.48     0.00   -10.03     0.00     0.00
     0.00   -15.00     3.91    49.59    57.06    18.00    15.73    -1.75    -1.72     0.72     0.00   -15.08     0.00     0.00
     0.00   -20.00     6.55    49.37    59.32    18.00    15.09    -1.75    -1.75     0.96     0.00   -20.14     0.00     0.00
     0.00   -25.00    10.00    49.08    61.50    18.00    14.67    -1.75    -1.79     1.20     0.00   -25.22     0.00     0.00
     0.00   -30.00    14.39    48.71    63.60    18.00    14.65    -1.75    -1.87     1.44     0.00   -30.33     0.00     0.00
     0.00   -35.00    19.96    48.24    65.59    18.00    15.29    -1.75    -1.97     1.68     0.00   -35.46     0.00     0.00
     0.00   -40.00    27.04    47.65    67.44    18.00    16.99    -1.75    -2.11     1.92     0.00   -40.62     0.00     0.00
     0.00   -45.00    36.19    46.88    69.11    18.00    20.43    -1.75    -2.30     2.16     0.00   -45.80     0.00     0.00
     0.00   -50.00    48.31    45.86    70.53    18.00    26.76    -1.75    -2.55     2.39     0.00   -51.00     0.00     0.00
     0.00   -55.00    65.05    44.45    71.54    18.00    38.15    -1.75    -2.89     2.63     0.00   -56.24     0.00     0.00
     0.00   -60.00    89.74    42.38    71.88    18.00    59.32    -1.75    -3.36     2.87     0.00   -61.51     0.00     0.00
     0.00   -65.00   130.90    38.92    70.83    18.00   103.36    -1.75    -4.04     3.10     0.00   -66.78     0.00     0.00
     0.00   -70.00   228.03    30.77    65.12    18.00   243.04    -1.75    -5.23     3.34     0.00   -71.93     0.00     0.00
     0.00   -75.00   331.65    22.07    57.65    18.00   431.35    -1.75    -6.00     3.47     0.00   -74.04     0.00  -658.47
     0.00   -80.00   338.40    21.50    57.79    18.00   405.99    -1.75    -6.03     3.54     0.00   -75.69     0.00 -1511.53
     5.00     0.00     0.04    49.92    47.42    18.68    18.00    -1.79    -1.75     0.24     4.99     0.00     0.00     0.00
     5.00     5.00     0.00    49.92    44.92    18.68    18.68    -1.79    -1.79     0.00     4.99     4.99     0.00     0.00
     5.00    10.00     0.67    49.87    42.36    18.68    19.28    -1.79    -1.83    -0.24     4.99     9.96     0.00     0.00
     5.00    15.00     2.12    49.76    39.73    18.68    19.79    -1.79    -1.89    -0.48     4.99    14.91     0.00     0.00
     5.00    20.00     4.48    49.59    37.03    18.68    20.19    -1.79    -1.95    -0.73     4.99    19.85     0.00     0.00
     5.00    25.00     7.91    49.33    34.25    18.68    20.50    -1.79    -2.02    -0.97     4.99    24.78     0.00     0.00
     5.00    30.00    12.68    48.97    31.36    18.68    20.72    -1.79    -2.09    -1.21     4.99    29.68     0.00     0.00
     5.00    35.00    19.18    48.48    28.33    18.68    20.87    -1.79    -2.17    -1.46     4.99    34.57     0.00     0.00
     5.00    40.00    27.96    47.81    25.13    18.68    20.96    -1.79    -2.26    -1.70     4.99    39.45     0.00     0.00
     5.00    45.00    39.91    46.91    21.68    18.68    21.02    -1.79    -2.34    -1.94     4.99    44.31     0.00     0.00
     5.00    50.00    56.47    45.66    17.88    18.68    21.06    -1.79    -2.44    -2.19     4.99    49.16     0.00     0.00
     5.00    55.00    80.12    43.88    13.53    18.68    21.12    -1.79    -2.53    -2.44     4.99    53.99     0.00     0.00
     5.00    60.00   115.56    41.20     8.30    18.68    21.24    -1.79    -2.62    -2.68     4.99    58.81     0.00     0.00
     5.00    65.00   172.86    36.87     1.41    18.68    21.45    -1.79    -2.72    -2.93     4.99    63.61     0.00     0.00
     5.00    70.00   278.10    28.93    -9.11    18.68    21.80    -1.79    -2.81    -3.18     4.99    68.40     0.00     0.00
     5.00    75.00   526.20    10.20   -30.41    18.68    22.35    -1.79    -2.91    -3.43     4.99    73.17     0.00     0.00
     5.00    80.00  1748.16   -82.05  -125.24    18.68    23.15    -1.79    -3.00    -3.68     4.99    77.93     0.00     0.00
     5.00     0.00     0.04    49.92    47.42    18.68    18.00    -1.79    -1.75     0.24     4.99     0.00     0.00     0.00
     5.00    -5.00     0.74    49.87    49.86    18.68    17.25    -1.79    -1.73     0.48     4.99    -5.01     0.00     0.00
     5.00   -10.00     2.09    49.77    52.25    18.68    16.48    -1.79    -1.72     0.72     4.99   -10.03     0.00     0.00
     5.00   -15.00     4.12    49.61    54.58    18.68    15.73    -1.79    -1.72     0.96     4.99   -15.08     0.00     0.00
     5.00   -20.00     6.87    49.40    56.85    18.68    15.09    -1.79    -1.75     1.20     4.99   -20.14     0.00     0.00
     5.00   -25.00    10.45    49.13    59.06    18.68    14.67    -1.79    -1.79     1.44     4.99   -25.22     0.00     0.00
     5.00   -30.00    15.01    48.79    61.18    18.68    14.65    -1.79    -1.87     1.68     4.99   -30.33     0.00     0.00
     5.00   -35.00    20.78    48.35    63.20    18.68    15.29    -1.79    -1.97     1.92     4.99   -35.46     0.00     0.00
     5.00   -40.00    28.12    47.80    65.09    18.68    16.99    -1.79    -2.11     2.16     4.99   -40.62     0.00     0.00
     5.00   -45.00    37.60    47.09    66.82    18.68    20.43    -1.79    -2.30     2.40     4.99   -45.80     0.00     0.00
     5.00   -50.00    50.16    46.14    68.30    18.68    26.76    -1.79    -2.55     2.64     4.99   -51.00     0.00     0.00
     5.00   -55.00    67.50    44.83    69.41    18.68    38.15    -1.79    -2.89     2.87     4.99   -56.24     0.00     0.00
     5.00   -60.00    93.14    42.89    69.89    18.68    59.32    -1.79    -3.36     3.11     4.99   -61.51     0.00     0.00
     5.00   -65.00   135.99    39.66    69.06    18.68   103.36    -1.79    -4.04     3.34     4.99   -66.78     0.00     0.00
     5.00   -70.00   237.82    31.97    63.82    18.68   243.04    -1.79    -5.23     3.59     4.99   -71.93     0.00     0.00
     5.00   -75.00   347.51    23.69    56.76    18.68   431.35    -1.79    -6.00     3.72     4.99   -74.04     0.00  -658.47
     5.00   -80.00   354.56    23.16    56.95    18.68   405.99    -1.79    -6.03     3.79     4.99   -75.69     0.00 -1511.53
    10.00     0.00    -0.59    49.87    44.85    19.28    18.00    -1.83    -1.75     0.48     9.96     0.00     0.00     0.00
    10.00     5.00    -0.67    49.87    42.36    19.28    18.68    -1.83    -1.79     0.24     9.96     4.99     0.00     0.00
    10.00    10.00     0.00    49.83    39.80    19.28    19.28    -1.83    -1.83     0.00     9.96     9.96     0.00     0.00
    10.00    15.00     1.51    49.73    37.19    19.28    19.79    -1.83    -1.89    -0.24     9.96    14.91     0.00     0.00
    10.00    20.00     3.99    49.56    34.50    19.28    20.19    -1.83    -1.95    -0.48     9.96    19.85     0.00     0.00
    10.00    25.00     7.66    49.32    31.73    19.28    20.50    -1.83    -2.02    -0.73     9.96    24.78     0.00     0.00
    10.00    30.00    12.83    48.97    28.85    19.28    20.72    -1.83    -2.09    -0.97     9.96    29.68     0.00     0.00
    10.00    35.00    19.98    48.49    25.84    19.28    20.87    -1.83    -2.17    -1.21     9.96    34.57     0.00     0.00
    10.00    40.00    29.82    47.83    22.64    19.28    20.96    -1.83    -2.26    -1.46     9.96    39.45     0.00     0.00
    10.00    45.00    43.53    46.92    19.18    19.28    21.02    -1.83    -2.34    -1.70     9.96    44.31     0.00     0.00
    10.00    50.00    63.10    45.61    15.32    19.28    21.06    -1.83    -2.44    -1.95     9.96    49.16     0.00     0.00
    10.00    55.00    92.22    43.66    10.81    19.28    21.12    -1.83    -2.53    -2.19     9.96    53.99     0.00     0.00
    10.00    60.00   138.58    40.57     5.15    19.28    21.24    -1.83    -2.62    -2.44     9.96    58.81     0.00     0.00
    10.00    65.00   221.11    35.05    -2.93    19.28    21.45    -1.83    -2.72    -2.69     9.96    63.61     0.00     0.00
    10.00    70.00   402.53    22.92   -17.62    19.28    21.80    -1.83    -2.81    -2.94     9.96    68.40     0.00     0.00
    10.00    75.00  1089.08   -22.96   -66.09    19.28    22.35    -1.83    -2.91    -3.18     9.96    73.17     0.00     0.00
    10.00    80.00 -3344.03   273.34   227.63    19.28    23.15    -1.83    -3.00    -3.43     9.96    77.93     0.00     0.00
    10.00     0.00    -0.59    49.87    44.85    19.28    18.00    -1.83    -1.75     0.48     9.96     0.00     0.00     0.00
    10.00    -5.00     0.18    49.82    47.30    19.28    17.25    -1.83    -1.73     0.72     9.96    -5.01     0.00     0.00
    10.00   -10.00     1.63    49.72    49.70    19.28    16.48    -1.83    -1.72     0.96     9.96   -10.03     0.00     0.00
    10.00   -15.00     3.78    49.58    52.04    19.28    15.73    -1.83    -1.72     1.20     9.96   -15.08     0.00     0.00
    10.00   -20.00     6.68    49.38    54.32    19.28    15.09    -1.83    -1.75     1.44     9.96   -20.14     0.00     0.00
    10.00   -25.00    10.43    49.13    56.54    19.28    14.67    -1.83    -1.79     1.68     9.96   -25.22     0.00     0.00
    10.00   -30.00    15.19    48.81    58.69    19.28    14.65    -1.83    -1.87     1.92     9.96   -30.33     0.00     0.00
    10.00   -35.00    21.20    48.41    60.74    19.28    15.29    -1.83    -1.97     2.16     9.96   -35.46     0.00     0.00
    10.00   -40.00    28.83    47.90    62.68    19.28    16.99    -1.83    -2.11     2.40     9.96   -40.62     0.00     0.00
    10.00   -45.00    38.67    47.24    64.46    19.28    20.43    -1.83    -2.30     2.64     9.96   -45.80     0.00     0.00
    10.00   -50.00    51.72    46.37    66.02    19.28    26.76    -1.83    -2.55     2.88     9.96   -51.00     0.00     0.00
    10.00   -55.00    69.74    45.17    67.24    19.28    38.15    -1.83    -2.89     3.11     9.96   -56.24     0.00     0.00
    10.00   -60.00    96.41    43.38    67.87    19.28    59.32    -1.83    -3.36     3.35     9.96   -61.51     0.00     0.00
    10.00   -65.00   141.12    40.40    67.29    19.28   103.36    -1.83    -4.04     3.59     9.96   -66.78     0.00     0.00
    10.00   -70.00   248.16    33.24    62.58    19.28   243.04    -1.83    -5.23     3.83     9.96   -71.93     0.00     0.00
    10.00   -75.00   364.73    25.45    56.02    19.28   431.35    -1.83    -6.00     3.96     9.96   -74.04     0.00  -658.47
    10.00   -80.00   372.11    24.96    56.24    19.28   405.99    -1.83    -6.03     4.03     9.96   -75.69     0.00 -1511.53
    15.00     0.00    -1.95    49.75    42.22    19.79    18.00    -1.89    -1.75     0.72    14.91     0.00     0.00     0.00
    15.00     5.00    -2.12    49.76    39.73    19.79    18.68    -1.89    -1.79     0.48    14.91     4.99     0.00     0.00
    15.00    10.00    -1.51    49.73    37.19    19.79    19.28    -1.89    -1.83     0.24    14.91     9.96     0.00     0.00
    15.00    15.00     0.00    49.64    34.58    19.79    19.79    -1.89    -1.89     0.00    14.91    14.91     0.00     0.00
    15.00    20.00     2.56    49.49    31.91    19.79    20.19    -1.89    -1.95    -0.24    14.91    19.85     0.00     0.00
    15.00    25.00     6.43    49.27    29.16    19.79    20.50    -1.89    -2.02    -0.48    14.91    24.78     0.00     0.00
    15.00    30.00    11.99    48.94    26.31    19.79    20.72    -1.89    -2.09    -0.73    14.91    29.68     0.00     0.00
    15.00    35.00    19.82    48.49    23.32    19.79    20.87    -1.89    -2.17    -0.97    14.91    34.57     0.00     0.00
    15.00    40.00    30.88    47.85    20.14    19.79    20.96    -1.89    -2.26    -1.22    14.91    39.45     0.00     0.00
    15.00    45.00    46.76    46.93    16.67    19.79    21.02    -1.89    -2.34    -1.46    14.91    44.31     0.00     0.00
    15.00    50.00    70.37    45.56    12.75    19.79    21.06    -1.89    -2.44    -1.71    14.91    49.16     0.00     0.00
    15.00    55.00   107.60    43.40     8.03    19.79    21.12    -1.89    -2.53    -1.95    14.91    53.99     0.00     0.00
    15.00    60.00   172.43    39.63     1.71    19.79    21.24    -1.89    -2.62    -2.20    14.91    58.81     0.00     0.00
    15.00    65.00   308.08    31.76    -8.73    19.79    21.45    -1.89    -2.72    -2.44    14.91    63.61     0.00     0.00
    15.00    70.00   746.09     6.34   -36.72    19.79    21.80    -1.89    -2.81    -2.69    14.91    68.40     0.00     0.00
    15.00    75.00 -9530.55   602.73   557.09    19.79    22.35    -1.89    -2.91    -2.94    14.91    73.17     0.00     0.00
    15.00    80.00  -823.61    97.44    49.22    19.79    23.15    -1.89    -3.00    -3.19    14.91    77.93     0.00     0.00
    15.00     0.00    -1.95    49.75    42.22    19.79    18.00    -1.89    -1.75     0.72    14.91     0.00     0.00     0.00
    15.00    -5.00    -1.06    49.70    44.67    19.79    17.25    -1.89    -1.73     0.97    14.91    -5.01     0.00     0.00
    15.00   -10.00     0.53    49.61    47.07    19.79    16.48    -1.89    -1.72     1.21    14.91   -10.03     0.00     0.00
    15.00   -15.00     2.85    49.47    49.42    19.79    15.73    -1.89    -1.72     1.45    14.91   -15.08     0.00     0.00
    15.00   -20.00     5.93    49.30    51.72    19.79    15.09    -1.89    -1.75     1.69    14.91   -20.14     0.00     0.00
    15.00   -25.00     9.90    49.07    53.96    19.79    14.67    -1.89    -1.79     1.93    14.91   -25.22     0.00     0.00
    15.00   -30.00    14.90    48.78    56.14    19.79    14.65    -1.89    -1.87     2.17    14.91   -30.33     0.00     0.00
    15.00   -35.00    21.19    48.41    58.23    19.79    15.29    -1.89    -1.97     2.40    14.91   -35.46     0.00     0.00
    15.00   -40.00    29.16    47.95    60.21    19.79    16.99    -1.89    -2.11     2.64    14.91   -40.62     0.00     0.00
    15.00   -45.00    39.42    47.35    62.06    19.79    20.43    -1.89    -2.30     2.88    14.91   -45.80     0.00     0.00
    15.00   -50.00    53.00    46.56    63.70    19.79    26.76    -1.89    -2.55     3.12    14.91   -51.00     0.00     0.00
    15.00   -55.00    71.77    45.47    65.03    19.79    38.15    -1.89    -2.89     3.36    14.91   -56.24     0.00     0.00
    15.00   -60.00    99.57    43.86    65.83    19.79    59.32    -1.89    -3.36     3.59    14.91   -61.51     0.00     0.00
    15.00   -65.00   146.33    41.15    65.53    19.79   103.36    -1.89    -4.04     3.83    14.91   -66.78     0.00     0.00
    15.00   -70.00   259.20    34.60    61.43    19.79   243.04    -1.89    -5.23     4.07    14.91   -71.93     0.00     0.00
    15.00   -75.00   383.59    27.38    55.43    19.79   431.35    -1.89    -6.00     4.20    14.91   -74.04     0.00  -658.47
    15.00   -80.00   391.34    26.93    55.70    19.79   405.99    -1.89    -6.03     4.27    14.91   -75.69     0.00 -1511.53
    20.00     0.00    -4.15    49.57    39.52    20.19    18.00    -1.95    -1.75     0.97    19.85     0.00     0.00     0.00
    20.00     5.00    -4.48    49.59    37.03    20.19    18.68    -1.95    -1.79     0.73    19.85     4.99     0.00     0.00
    20.00    10.00    -3.99    49.56    34.50    20.19    19.28    -1.95    -1.83     0.48    19.85     9.96     0.00     0.00
    20.00    15.00    -2.56    49.49    31.91    20.19    19.79    -1.95    -1.89     0.24    19.85    14.91     0.00     0.00
    20.00    20.00     0.00    49.37    29.27    20.19    20.19    -1.95    -1.95     0.00    19.85    19.85     0.00     0.00
    20.00    25.00     4.00    49.17    26.55    20.19    20.50    -1.95    -2.02    -0.24    19.85    24.78     0.00     0.00
    20.00    30.00     9.90    48.88    23.72    20.19    20.72    -1.95    -2.09    -0.49    19.85    29.68     0.00     0.00
    20.00    35.00    18.45    48.46    20.77    20.19    20.87    -1.95    -2.17    -0.73    19.85    34.57     0.00     0.00
    20.00    40.00    30.92    47.85    17.62    20.19    20.96    -1.95    -2.26    -0.97    19.85    39.45     0.00     0.00
    20.00    45.00    49.57    46.93    14.15    20.19    21.02    -1.95    -2.34    -1.22    19.85    44.31     0.00     0.00
    20.00    50.00    78.92    45.49    10.16    20.19    21.06    -1.95    -2.44    -1.46    19.85    49.16     0.00     0.00
    20.00    55.00   129.36    43.02     5.13    20.19    21.12    -1.95    -2.53    -1.71    19.85    53.99     0.00     0.00
    20.00    60.00   231.33    38.01    -2.44    20.19    21.24    -1.95    -2.62    -1.96    19.85    58.81     0.00     0.00
    20.00    65.00   528.28    23.44   -19.58    20.19    21.45    -1.95    -2.72    -2.20    19.85    63.61     0.00     0.00
    20.00    70.00  8554.60  -370.53  -416.11    20.19    21.80    -1.95    -2.81    -2.45    19.85    68.40     0.00     0.00
    20.00    75.00  -830.06    90.11    41.95    20.19    22.35    -1.95    -2.91    -2.70    19.85    73.17     0.00     0.00
    20.00    80.00  -454.40    71.67    20.93    20.19    23.15    -1.95    -3.00    -2.95    19.85    77.93     0.00     0.00
    20.00     0.00    -4.15    49.57    39.52    20.19    18.00    -1.95    -1.75     0.97    19.85     0.00     0.00     0.00
    20.00    -5.00    -3.07    49.52    41.97    20.19    17.25    -1.95    -1.73     1.21    19.85    -5.01     0.00     0.00
    20.00   -10.00    -1.27    49.43    44.37    20.19    16.48    -1.95    -1.72     1.45    19.85   -10.03     0.00     0.00
    20.00   -15.00     1.26    49.30    46.73    20.19    15.73    -1.95    -1.72     1.69    19.85   -15.08     0.00     0.00
    20.00   -20.00     4.59    49.14    49.04    20.19    15.09    -1.95    -1.75     1.93    19.85   -20.14     0.00     0.00
    20.00   -25.00     8.82    48.93    51.31    20.19    14.67    -1.95    -1.79     2.17    19.85   -25.22     0.00     0.00
    20.00   -30.00    14.11    48.67    53.51    20.19    14.65    -1.95    -1.87     2.41    19.85   -30.33     0.00     0.00
    20.00   -35.00    20.74    48.35    55.65    20.19    15.29    -1.95    -1.97     2.65    19.85   -35.46     0.00     0.00
    20.00   -40.00    29.09    47.94    57.68    20.19    16.99    -1.95    -2.11     2.89    19.85   -40.62     0.00     0.00
    20.00   -45.00    39.82    47.41    59.60    20.19    20.43    -1.95    -2.30     3.12    19.85   -45.80     0.00     0.00
    20.00   -50.00    54.00    46.71    61.33    20.19    26.76    -1.95    -2.55     3.36    19.85   -51.00     0.00     0.00
    20.00   -55.00    73.60    45.75    62.79    20.19    38.15    -1.95    -2.89     3.60    19.85   -56.24     0.00     0.00
    20.00   -60.00   102.66    44.33    63.78    20.19    59.32    -1.95    -3.36     3.83    19.85   -61.51     0.00     0.00
    20.00   -65.00   151.69    41.92    63.78    20.19   103.36    -1.95    -4.04     4.07    19.85   -66.78     0.00     0.00
    20.00   -70.00   271.09    36.06    60.37    20.19   243.04    -1.95    -5.23     4.31    19.85   -71.93     0.00     0.00
    20.00   -75.00   404.46    29.51    55.04    20.19   431.35    -1.95    -6.00     4.45    19.85   -74.04     0.00  -658.47
    20.00   -80.00   412.63    29.11    55.36    20.19   405.99    -1.95    -6.03     4.52    19.85   -75.69     0.00 -1511.53
    25.00     0.00    -7.32    49.30    36.73    20.50    18.00    -2.02    -1.75     1.21    24.78     0.00     0.00     0.00
    25.00     5.00    -7.91    49.33    34.25    20.50    18.68    -2.02    -1.79     0.97    24.78     4.99     0.00     0.00
    25.00    10.00    -7.66    49.32    31.73    20.50    19.28    -2.02    -1.83     0.73    24.78     9.96     0.00     0.00
    25.00    15.00    -6.43    49.27    29.16    20.50    19.79    -2.02    -1.89     0.48    24.78    14.91     0.00     0.00
    25.00    20.00    -4.00    49.17    26.55    20.50    20.19    -2.02    -1.95     0.24    24.78    19.85     0.00     0.00
    25.00    25.00     0.00    49.01    23.86    20.50    20.50    -2.02    -2.02     0.00    24.78    24.78     0.00     0.00
    25.00    30.00     6.14    48.76    21.08    20.50    20.72    -2.02    -2.09    -0.24    24.78    29.68     0.00     0.00
    25.00    35.00    15.38    48.39    18.18    20.50    20.87    -2.02    -2.17    -0.49    24.78    34.57     0.00     0.00
    25.00    40.00    29.47    47.83    15.07    20.50    20.96    -2.02    -2.26    -0.73    24.78    39.45     0.00     0.00
    25.00    45.00    51.81    46.94    11.63    20.50    21.02    -2.02    -2.34    -0.98    24.78    44.31     0.00     0.00
    25.00    50.00    90.04    45.41     7.55    20.50    21.06    -2.02    -2.44    -1.22    24.78    49.16     0.00     0.00
    25.00    55.00   165.70    42.38     1.97    20.50    21.12    -2.02    -2.53    -1.47    24.78    53.99     0.00     0.00
    25.00    60.00   371.51    34.15    -8.82    20.50    21.24    -2.02    -2.62    -1.71    24.78    58.81     0.00     0.00
    25.00    65.00  2560.87   -53.42   -98.95    20.50    21.45    -2.02    -2.72    -1.96    24.78    63.61     0.00     0.00
    25.00    70.00  -805.33    81.22    33.11    20.50    21.80    -2.02    -2.81    -2.21    24.78    68.40     0.00     0.00
    25.00    75.00  -412.59    65.51    14.83    20.50    22.35    -2.02    -2.91    -2.46    24.78    73.17     0.00     0.00
    25.00    80.00  -303.85    61.16     7.90    20.50    23.15    -2.02    -3.00    -2.71    24.78    77.93     0.00     0.00
    25.00     0.00    -7.32    49.30    36.73    20.50    18.00    -2.02    -1.75     1.21    24.78     0.00     0.00     0.00
    25.00    -5.00    -5.97    49.25    39.17    20.50    17.25    -2.02    -1.73     1.45    24.78    -5.01     0.00     0.00
    25.00   -10.00    -3.89    49.17    41.58    20.50    16.48    -2.02    -1.72     1.69    24.78   -10.03     0.00     0.00
    25.00   -15.00    -1.06    49.05    43.95    20.50    15.73    -2.02    -1.72     1.93    24.78   -15.08     0.00     0.00
    25.00   -20.00     2.58    48.91    46.29    20.50    15.09    -2.02    -1.75     2.17    24.78   -20.14     0.00     0.00
    25.00   -25.00     7.13    48.72    48.57    20.50    14.67    -2.02    -1.79     2.41    24.78   -25.22     0.00     0.00
    25.00   -30.00    12.77    48.50    50.81    20.50    14.65    -2.02    -1.87     2.65    24.78   -30.33     0.00     0.00
    25.00   -35.00    19.79    48.22    52.99    20.50    15.29    -2.02    -1.97     2.89    24.78   -35.46     0.00     0.00
    25.00   -40.00    28.59    47.87    55.09    20.50    16.99    -2.02    -2.11     3.13    24.78   -40.62     0.00     0.00
    25.00   -45.00    39.85    47.42    57.08    20.50    20.43    -2.02    -2.30     3.37    24.78   -45.80     0.00     0.00
    25.00   -50.00    54.71    46.82    58.91    20.50    26.76    -2.02    -2.55     3.61    24.78   -51.00     0.00     0.00
    25.00   -55.00    75.23    46.00    60.51    20.50    38.15    -2.02    -2.89     3.84    24.78   -56.24     0.00     0.00
    25.00   -60.00   105.69    44.78    61.71    20.50    59.32    -2.02    -3.36     4.08    24.78   -61.51     0.00     0.00
    25.00   -65.00   157.25    42.72    62.05    20.50   103.36    -2.02    -4.04     4.31    24.78   -66.78     0.00     0.00
    25.00   -70.00   284.02    37.65    59.43    20.50   243.04    -2.02    -5.23     4.56    24.78   -71.93     0.00     0.00
    25.00   -75.00   427.79    31.90    54.90    20.50   431.35    -2.02    -6.00     4.69    24.78   -74.04     0.00  -658.47
    25.00   -80.00   436.44    31.55    55.27    20.50   405.99    -2.02    -6.03     4.76    24.78   -75.69     0.00 -1511.53
    30.00     0.00   -11.70    48.94    33.83    20.72    18.00    -2.09    -1.75     1.45    29.68     0.00     0.00     0.00
    30.00     5.00   -12.68    48.97    31.36    20.72    18.68    -2.09    -1.79     1.21    29.68     4.99     0.00     0.00
    30.00    10.00   -12.83    48.97    28.85    20.72    19.28    -2.09    -1.83     0.97    29.68     9.96     0.00     0.00
    30.00    15.00   -11.99    48.94    26.31    20.72    19.79    -2.09    -1.89     0.73    29.68    14.91     0.00     0.00
    30.00    20.00    -9.90    48.88    23.72    20.72    20.19    -2.09    -1.95     0.49    29.68    19.85     0.00     0.00
    30.00    25.00    -6.14    48.76    21.08    20.72    20.50    -2.09    -2.02     0.24    29.68    24.78     0.00     0.00
    30.00    30.00     0.00    48.58    18.36    20.72    20.72    -2.09    -2.09     0.00    29.68    29.68     0.00     0.00
    30.00    35.00     9.78    48.27    15.53    20.72    20.87    -2.09    -2.17    -0.24    29.68    34.57     0.00     0.00
    30.00    40.00    25.67    47.79    12.50    20.72    20.96    -2.09    -2.26    -0.49    29.68    39.45     0.00     0.00
    30.00    45.00    53.13    46.94     9.10    20.72    21.02    -2.09    -2.34    -0.73    29.68    44.31     0.00     0.00
    30.00    50.00   107.06    45.28     4.89    20.72    21.06    -2.09    -2.44    -0.98    29.68    49.16     0.00     0.00
    30.00    55.00   247.77    40.95    -1.99    20.72    21.12    -2.09    -2.53    -1.22    29.68    53.99     0.00     0.00
    30.00    60.00  1297.12     8.66   -36.84    20.72    21.24    -2.09    -2.62    -1.47    29.68    58.81     0.00     0.00
    30.00    65.00  -734.11    71.17    23.10    20.72    21.45    -2.09    -2.72    -1.72    29.68    63.61     0.00     0.00
    30.00    70.00  -355.83    59.53     8.88    20.72    21.80    -2.09    -2.81    -1.96    29.68    68.40     0.00     0.00
    30.00    75.00  -261.95    56.64     3.42    20.72    22.35    -2.09    -2.91    -2.21    29.68    73.17     0.00     0.00
    30.00    80.00  -220.89    55.37    -0.42    20.72    23.15    -2.09    -3.00    -2.46    29.68    77.93     0.00     0.00
    30.00     0.00   -11.70    48.94    33.83    20.72    18.00    -2.09    -1.75     1.45    29.68     0.00     0.00     0.00
    30.00    -5.00    -9.95    48.88    36.27    20.72    17.25    -2.09    -1.73     1.69    29.68    -5.01     0.00     0.00
