
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00    -1.17    -0.91     0.99    -1.01    24.78    20.85     2.02    -1.96     3.06     2.62    -0.34     0.34     0.00   975.57
    30.00  1000.00     0.00    -1.92    -1.59     0.69    -0.86    33.54    29.68     2.16    -2.09     4.07     3.66    -0.34     0.35  -963.27     0.00
    30.00 -1000.00     0.00    -1.29    -1.59     0.97    -0.86    25.79    29.68     2.03    -2.09     3.24     3.66    -0.35     0.35   970.36     0.00
    30.00     0.00  1000.00    -1.59    -1.92     0.86    -0.69    29.68    33.54     2.09    -2.16     3.66     4.07    -0.35     0.34     0.00  -963.27
    30.00     0.00 -1000.00    -1.59    -1.29     0.86    -0.97    29.68    25.79     2.09    -2.03     3.66     3.24    -0.35     0.35     0.00   970.36
    35.00  1000.00     0.00    -2.43    -2.07     0.38    -0.63    38.40    34.57     2.24    -2.17     4.66     4.26    -0.35     0.35  -958.47     0.00
    35.00 -1000.00     0.00    -1.73    -2.07     0.82    -0.63    30.71    34.57     2.11    -2.17     3.84     4.26    -0.35     0.35   965.28     0.00
    35.00     0.00  1000.00    -2.07    -2.43     0.63    -0.38    34.57    38.40     2.17    -2.24     4.26     4.66    -0.35     0.35     0.00  -958.47
    35.00     0.00 -1000.00    -2.07    -1.73     0.63    -0.82    34.57    30.71     2.17    -2.11     4.26     3.84    -0.35     0.35     0.00   965.28
    40.00  1000.00     0.00    -3.00    -2.61    -0.04    -0.29    43.25    39.45     2.33    -2.26     5.24     4.85    -0.35     0.35  -953.75     0.00
    40.00 -1000.00     0.00    -2.23    -2.61     0.57    -0.29    35.62    39.45     2.19    -2.26     4.45     4.85    -0.35     0.35   960.31     0.00
    40.00     0.00  1000.00    -2.61    -3.00     0.29     0.04    39.45    43.25     2.26    -2.33     4.85     5.24    -0.35     0.35     0.00  -953.75
    40.00     0.00 -1000.00    -2.61    -2.23     0.29    -0.57    39.45    35.62     2.26    -2.19     4.85     4.45    -0.35     0.35     0.00   960.31
    45.00  1000.00     0.00    -3.62    -3.20    -0.55     0.14    48.09    44.31     2.42    -2.34     5.81     5.44    -0.35     0.35  -949.10     0.00
    45.00 -1000.00     0.00    -2.79    -3.20     0.21     0.14    40.51    44.31     2.27    -2.34     5.05     5.44    -0.35     0.35   955.44     0.00
    45.00     0.00  1000.00    -3.20    -3.62    -0.14     0.55    44.31    48.09     2.34    -2.42     5.44     5.81    -0.35     0.35     0.00  -949.10
    45.00     0.00 -1000.00    -3.20    -2.79    -0.14    -0.21    44.31    40.51     2.34    -2.27     5.44     5.05    -0.35     0.35     0.00   955.44
    50.00  1000.00     0.00    -4.30    -3.84    -1.17     0.68    52.91    49.16     2.51    -2.44     6.39     6.02    -0.35     0.35  -944.49     0.00
    50.00 -1000.00     0.00    -3.40    -3.84    -0.26     0.68    45.38    49.16     2.36    -2.44     5.64     6.02    -0.35     0.35   950.66     0.00
    50.00     0.00  1000.00    -3.84    -4.30    -0.68     1.17    49.16    52.91     2.44    -2.51     6.02     6.39    -0.35     0.35     0.00  -944.49
    50.00     0.00 -1000.00    -3.84    -3.40    -0.68     0.26    49.16    45.38     2.44    -2.36     6.02     5.64    -0.35     0.35     0.00   950.66
    55.00  1000.00     0.00    -5.03    -4.54    -1.89     1.32    57.71    53.99     2.61    -2.53     6.96     6.60    -0.36     0.35  -939.93     0.00
    55.00 -1000.00     0.00    -4.07    -4.54    -0.82     1.32    50.24    53.99     2.45    -2.53     6.23     6.60    -0.35     0.35   945.94     0.00
    55.00     0.00  1000.00    -4.54    -5.03    -1.32     1.89    53.99    57.71     2.53    -2.61     6.60     6.96    -0.35     0.36     0.00  -939.93
    55.00     0.00 -1000.00    -4.54    -4.07    -1.32     0.82    53.99    50.24     2.53    -2.45     6.60     6.23    -0.35     0.35     0.00   945.94
    60.00  1000.00     0.00    -5.82    -5.30    -2.71     2.07    62.50    58.81     2.70    -2.62     7.54     7.19    -0.36     0.35  -935.38     0.00
    60.00 -1000.00     0.00    -4.79    -5.30    -1.49     2.07    55.08    58.81     2.55    -2.62     6.82     7.19    -0.35     0.35   941.28     0.00
    60.00     0.00  1000.00    -5.30    -5.82    -2.07     2.71    58.81    62.50     2.62    -2.70     7.19     7.54    -0.35     0.36     0.00  -935.38
    60.00     0.00 -1000.00    -5.30    -4.79    -2.07     1.49    58.81    55.08     2.62    -2.55     7.19     6.82    -0.35     0.35     0.00   941.28
    65.00  1000.00     0.00    -6.66    -6.11    -3.63     2.92    67.28    63.61     2.80    -2.72     8.11     7.77    -0.37     0.36  -930.83     0.00
    65.00 -1000.00     0.00    -5.57    -6.11    -2.26     2.92    59.91    63.61     2.64    -2.72     7.41     7.77    -0.35     0.36   936.65     0.00
    65.00     0.00  1000.00    -6.11    -6.66    -2.92     3.63    63.61    67.28     2.72    -2.80     7.77     8.11    -0.36     0.37     0.00  -930.83
    65.00     0.00 -1000.00    -6.11    -5.57    -2.92     2.26    63.61    59.91     2.72    -2.64     7.77     7.41    -0.36     0.35     0.00   936.65
    70.00  1000.00     0.00    -7.55    -6.97    -4.66     3.87    72.04    68.40     2.89    -2.81     8.69     8.35    -0.38     0.36  -926.27     0.00
    70.00 -1000.00     0.00    -6.41    -6.97    -3.14     3.87    64.72    68.40     2.74    -2.81     8.00     8.35    -0.35     0.36   932.05     0.00
    70.00     0.00  1000.00    -6.97    -7.55    -3.87     4.66    68.40    72.04     2.81    -2.89     8.35     8.69    -0.36     0.38     0.00  -926.27
    70.00     0.00 -1000.00    -6.97    -6.41    -3.87     3.14    68.40    64.72     2.81    -2.74     8.35     8.00    -0.36     0.35     0.00   932.05
    75.00  1000.00     0.00    -8.50    -7.89    -5.80     4.93    76.79    73.17     2.99    -2.91     9.26     8.93    -0.40     0.37  -921.66     0.00
    75.00 -1000.00     0.00    -7.30    -7.89    -4.12     4.93    69.52    73.17     2.83    -2.91     8.58     8.93    -0.35     0.37   927.43     0.00
    75.00     0.00  1000.00    -7.89    -8.50    -4.93     5.80    73.17    76.79     2.91    -2.99     8.93     9.26    -0.37     0.40     0.00  -921.66
    75.00     0.00 -1000.00    -7.89    -7.30    -4.93     4.12    73.17    69.52     2.91    -2.83     8.93     8.58    -0.37     0.35     0.00   927.43
    80.00  1000.00     0.00    -9.51    -8.87    -7.04     6.10    81.53    77.93     3.08    -3.00     9.84     9.51    -0.42     0.39  -916.97     0.00
    80.00 -1000.00     0.00    -8.25    -8.87    -5.21     6.10    74.31    77.93     2.93    -3.00     9.17     9.51    -0.36     0.39   922.79     0.00
    80.00     0.00  1000.00    -8.87    -9.51    -6.10     7.04    77.93    81.53     3.00    -3.08     9.51     9.84    -0.39     0.42     0.00  -916.97
    80.00     0.00 -1000.00    -8.87    -8.25    -6.10     5.21    77.93    74.31     3.00    -2.93     9.51     9.17    -0.39     0.36     0.00   922.79
    -5.00  1000.00     0.00     0.01     0.03    -0.09     0.54    -0.92    -5.01     1.74    -1.73    -0.11    -0.63    -0.30     0.29 -1000.22     0.00
    -5.00 -1000.00     0.00     0.01     0.03    -1.08     0.54    -9.15    -5.01     1.72    -1.73    -1.18    -0.63    -0.27     0.29  1010.60     0.00
    -5.00     0.00  1000.00     0.03     0.01    -0.54     0.09    -5.01    -0.92     1.73    -1.74    -0.63    -0.11    -0.29     0.30     0.00 -1000.22
    -5.00     0.00 -1000.00     0.03     0.01    -0.54     1.08    -5.01    -9.15     1.73    -1.72    -0.63    -1.18    -0.29     0.27     0.00  1010.60
   -10.00  1000.00     0.00     0.03    -0.01    -0.65     1.21    -5.90   -10.03     1.72    -1.72    -0.73    -1.27    -0.29     0.27 -1006.16     0.00
   -10.00 -1000.00     0.00    -0.09    -0.01    -1.86     1.21   -14.22   -10.03     1.72    -1.72    -1.84    -1.27    -0.25     0.27  1017.32     0.00
   -10.00     0.00  1000.00    -0.01     0.03    -1.21     0.65   -10.03    -5.90     1.72    -1.72    -1.27    -0.73    -0.27     0.29     0.00 -1006.16
   -10.00     0.00 -1000.00    -0.01    -0.09    -1.21     1.86   -10.03   -14.22     1.72    -1.72    -1.27    -1.84    -0.27     0.25     0.00  1017.32
   -15.00  1000.00     0.00    -0.03    -0.13    -1.33     2.00   -10.90   -15.08     1.71    -1.72    -1.35    -1.91    -0.28     0.26 -1012.35     0.00
   -15.00 -1000.00     0.00    -0.28    -0.13    -2.77     2.00   -19.31   -15.08     1.75    -1.72    -2.51    -1.91    -0.23     0.26  1024.40     0.00
   -15.00     0.00  1000.00    -0.13    -0.03    -2.00     1.33   -15.08   -10.90     1.72    -1.71    -1.91    -1.35    -0.26     0.28     0.00 -1012.35
   -15.00     0.00 -1000.00    -0.13    -0.28    -2.00     2.77   -15.08   -19.31     1.72    -1.75    -1.91    -2.51    -0.26     0.23     0.00  1024.40
   -20.00  1000.00     0.00    -0.17    -0.33    -2.14     2.93   -15.92   -20.14     1.72    -1.75    -1.98    -2.56    -0.27     0.25 -1018.79     0.00
   -20.00 -1000.00     0.00    -0.56    -0.33    -3.83     2.93   -24.43   -20.14     1.79    -1.75    -3.18    -2.56    -0.22     0.25  1031.89     0.00
   -20.00     0.00  1000.00    -0.33    -0.17    -2.93     2.14   -20.14   -15.92     1.75    -1.72    -2.56    -1.98    -0.25     0.27     0.00 -1018.79
   -20.00     0.00 -1000.00    -0.33    -0.56    -2.93     3.83   -20.14   -24.43     1.75    -1.79    -2.56    -3.18    -0.25     0.22     0.00  1031.89
   -25.00  1000.00     0.00    -0.38    -0.62    -3.09     4.00   -20.96   -25.22     1.75    -1.79    -2.61    -3.22    -0.27     0.24 -1025.54     0.00
   -25.00 -1000.00     0.00    -0.94    -0.62    -5.04     4.00   -29.57   -25.22     1.86    -1.79    -3.87    -3.22    -0.20     0.24  1039.87     0.00
   -25.00     0.00  1000.00    -0.62    -0.38    -4.00     3.09   -25.22   -20.96     1.79    -1.75    -3.22    -2.61    -0.24     0.27     0.00 -1025.54
   -25.00     0.00 -1000.00    -0.62    -0.94    -4.00     5.04   -25.22   -29.57     1.79    -1.86    -3.22    -3.87    -0.24     0.20     0.00  1039.87
   -30.00  1000.00     0.00    -0.69    -1.01    -4.18     5.23   -26.01   -30.33     1.80    -1.87    -3.24    -3.88    -0.27     0.24 -1032.63     0.00
   -30.00 -1000.00     0.00    -1.42    -1.01    -6.43     5.23   -34.74   -30.33     1.96    -1.87    -4.57    -3.88    -0.20     0.24  1048.44     0.00
   -30.00     0.00  1000.00    -1.01    -0.69    -5.23     4.18   -30.33   -26.01     1.87    -1.80    -3.88    -3.24    -0.24     0.27     0.00 -1032.63
   -30.00     0.00 -1000.00    -1.01    -1.42    -5.23     6.43   -30.33   -34.74     1.87    -1.96    -3.88    -4.57    -0.24     0.20     0.00  1048.44
   -35.00  1000.00     0.00    -1.08    -1.50    -5.42     6.62   -31.09   -35.46     1.87    -1.97    -3.89    -4.55    -0.29     0.25 -1040.10     0.00
   -35.00 -1000.00     0.00    -2.02    -1.50    -8.00     6.62   -39.94   -35.46     2.10    -1.97    -5.28    -4.55    -0.20     0.25  1057.71     0.00
   -35.00     0.00  1000.00    -1.50    -1.08    -6.62     5.42   -35.46   -31.09     1.97    -1.87    -4.55    -3.89    -0.25     0.29     0.00 -1040.10
   -35.00     0.00 -1000.00    -1.50    -2.02    -6.62     8.00   -35.46   -39.94     1.97    -2.10    -4.55    -5.28    -0.25     0.20     0.00  1057.71
   -40.00  1000.00     0.00    -1.58    -2.10    -6.82     8.20   -36.18   -40.62     1.98    -2.11    -4.53    -5.23    -0.31     0.28 -1048.01     0.00
   -40.00 -1000.00     0.00    -2.75    -2.10    -9.78     8.20   -45.18   -40.62     2.28    -2.11    -6.00    -5.23    -0.23     0.28  1067.82     0.00
   -40.00     0.00  1000.00    -2.10    -1.58    -8.20     6.82   -40.62   -36.18     2.11    -1.98    -5.23    -4.53    -0.28     0.31     0.00 -1048.01
   -40.00     0.00 -1000.00    -2.10    -2.75    -8.20     9.78   -40.62   -45.18     2.11    -2.28    -5.23    -6.00    -0.28     0.23     0.00  1067.82
   -45.00  1000.00     0.00    -2.18    -2.83    -8.41     9.99   -41.29   -45.80     2.12    -2.30    -5.18    -5.91    -0.37     0.34 -1056.40     0.00
   -45.00 -1000.00     0.00    -3.63    -2.83   -11.80     9.99   -50.45   -45.80     2.53    -2.30    -6.73    -5.91    -0.29     0.34  1078.84     0.00
   -45.00     0.00  1000.00    -2.83    -2.18    -9.99     8.41   -45.80   -41.29     2.30    -2.12    -5.91    -5.18    -0.34     0.37     0.00 -1056.40
   -45.00     0.00 -1000.00    -2.83    -3.63    -9.99    11.80   -45.80   -50.45     2.30    -2.53    -5.91    -6.73    -0.34     0.29     0.00  1078.84
   -50.00  1000.00     0.00    -2.90    -3.69   -10.20    12.01   -46.43   -51.00     2.32    -2.55    -5.82    -6.59    -0.45     0.45 -1065.26     0.00
   -50.00 -1000.00     0.00    -4.68    -3.69   -14.12    12.01   -55.75   -51.00     2.87    -2.55    -7.46    -6.59    -0.42     0.45  1090.66     0.00
   -50.00     0.00  1000.00    -3.69    -2.90   -12.01    10.20   -51.00   -46.43     2.55    -2.32    -6.59    -5.82    -0.45     0.45     0.00 -1065.26
   -50.00     0.00 -1000.00    -3.69    -4.68   -12.01    14.12   -51.00   -55.75     2.55    -2.87    -6.59    -7.46    -0.45     0.42     0.00  1090.66
   -55.00  1000.00     0.00    -3.75    -4.70   -12.23    14.33   -51.58   -56.24     2.57    -2.89    -6.46    -7.26    -0.60     0.64 -1074.41     0.00
   -55.00 -1000.00     0.00    -5.91    -4.70   -16.82    14.33   -61.10   -56.24     3.32    -2.89    -8.17    -7.26    -0.67     0.64  1102.08     0.00
   -55.00     0.00  1000.00    -4.70    -3.75   -14.33    12.23   -56.24   -51.58     2.89    -2.57    -7.26    -6.46    -0.64     0.60     0.00 -1074.41
   -55.00     0.00 -1000.00    -4.70    -5.91   -14.33    16.82   -56.24   -61.10     2.89    -3.32    -7.26    -8.17    -0.64     0.67     0.00  1102.08
   -60.00  1000.00     0.00    -4.73    -5.88   -14.55    17.02   -56.77   -61.51     2.92    -3.36    -7.06    -7.88    -0.86     0.99 -1083.16     0.00
   -60.00 -1000.00     0.00    -7.33    -5.88   -20.03    17.02   -66.45   -61.51     3.98    -3.36    -8.81    -7.88    -1.19     0.99  1106.01     0.00
   -60.00     0.00  1000.00    -5.88    -4.73   -17.02    14.55   -61.51   -56.77     3.36    -2.92    -7.88    -7.06    -0.99     0.86     0.00 -1083.16
   -60.00     0.00 -1000.00    -5.88    -7.33   -17.02    20.03   -61.51   -66.45     3.36    -3.98    -7.88    -8.81    -0.99     1.19     0.00  1106.01
   -65.00  1000.00     0.00    -5.86    -7.18   -17.26    20.26   -61.98   -66.78     3.40    -4.04    -7.60    -8.36    -1.32     1.72 -1088.67     0.00
   -65.00 -1000.00     0.00    -8.72    -7.18   -23.98    20.26   -71.50   -66.78     4.98    -4.04    -9.09    -8.36    -2.48     1.72  1045.90     0.00
   -65.00     0.00  1000.00    -7.18    -5.86   -20.26    17.26   -66.78   -61.98     4.04    -3.40    -8.36    -7.60    -1.72     1.32     0.00 -1088.67
   -65.00     0.00 -1000.00    -7.18    -8.72   -20.26    23.98   -66.78   -71.50     4.04    -4.98    -8.36    -9.09    -1.72     2.48     0.00  1045.90
   -70.00  1000.00     0.00    -7.08    -8.24   -20.63    24.80   -67.26   -71.93     4.12    -5.23    -7.93    -8.12    -2.31     4.05 -1075.36     0.00
   -70.00 -1000.00     0.00    -8.98    -8.24   -27.37    24.80   -74.54   -71.93     5.88    -5.23    -8.60    -8.12    -4.56     4.05   558.03     0.00
   -70.00     0.00  1000.00    -8.24    -7.08   -24.80    20.63   -71.93   -67.26     5.23    -4.12    -8.12    -7.93    -4.05     2.31     0.00 -1075.36
   -70.00     0.00 -1000.00    -8.24    -8.98   -24.80    27.37   -71.93   -74.54     5.23    -5.88    -8.12    -8.60    -4.05     4.56     0.00   558.03
   -80.00  1000.00     0.00    -6.22    -7.80   -28.73    29.00   -73.44   -75.69     5.95    -6.03    -5.49    -7.30    -9.41     6.77 -1936.34 -1511.53
   -80.00 -1000.00     0.00    -9.13    -7.80   -29.89    29.00   -77.74   -75.69     6.16    -6.03    -8.73    -7.30    -5.00     6.77 -1137.36 -1511.53
   -80.00     0.00  1000.00    -7.80    -6.22   -29.00    28.73   -75.69   -73.44     6.03    -5.95    -7.30    -5.49    -6.77     9.41 -1511.53 -1936.34
   -80.00     0.00 -1000.00    -7.80    -9.13   -29.00    29.89   -75.69   -77.74     6.03    -6.16    -7.30    -8.73    -6.77     5.00 -1511.53 -1137.36
