
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00    -1.17    -1.17     0.99    -1.02    24.78    24.72     2.02    -2.02     3.06     3.06    -0.34     0.36     0.00    14.49
    30.00  1000.00     0.00    -1.58    -1.59     0.90    -0.86    29.54    29.68     2.09    -2.09     3.64     3.66    -0.36     0.35    34.82     0.00
    30.00 -1000.00     0.00    -1.60    -1.59     0.83    -0.86    29.83    29.68     2.09    -2.09     3.68     3.66    -0.33     0.35   -36.07     0.00
    30.00     0.00  1000.00    -1.59    -1.60     0.86    -0.83    29.68    29.83     2.09    -2.09     3.66     3.68    -0.35     0.33     0.00   -36.07
    30.00     0.00 -1000.00    -1.59    -1.58     0.86    -0.90    29.68    29.54     2.09    -2.09     3.66     3.64    -0.35     0.36     0.00    34.82
    35.00  1000.00     0.00    -2.05    -2.07     0.67    -0.63    34.35    34.57     2.17    -2.17     4.23     4.26    -0.37     0.35    54.86     0.00
    35.00 -1000.00     0.00    -2.09    -2.07     0.59    -0.63    34.80    34.57     2.17    -2.17     4.29     4.26    -0.33     0.35   -56.77     0.00
    35.00     0.00  1000.00    -2.07    -2.09     0.63    -0.59    34.57    34.80     2.17    -2.17     4.26     4.29    -0.35     0.33     0.00   -56.77
    35.00     0.00 -1000.00    -2.07    -2.05     0.63    -0.67    34.57    34.35     2.17    -2.17     4.26     4.23    -0.35     0.37     0.00    54.86
    40.00  1000.00     0.00    -2.57    -2.61     0.35    -0.29    39.15    39.45     2.26    -2.26     4.81     4.85    -0.37     0.35    74.66     0.00
    40.00 -1000.00     0.00    -2.64    -2.61     0.24    -0.29    39.76    39.45     2.26    -2.26     4.89     4.85    -0.33     0.35   -77.22     0.00
    40.00     0.00  1000.00    -2.61    -2.64     0.29    -0.24    39.45    39.76     2.26    -2.26     4.85     4.89    -0.35     0.33     0.00   -77.22
    40.00     0.00 -1000.00    -2.61    -2.57     0.29    -0.35    39.45    39.15     2.26    -2.26     4.85     4.81    -0.35     0.37     0.00    74.66
    45.00  1000.00     0.00    -3.15    -3.20    -0.08     0.14    43.94    44.31     2.34    -2.34     5.39     5.44    -0.37     0.35    94.30     0.00
    45.00 -1000.00     0.00    -3.25    -3.20    -0.21     0.14    44.70    44.31     2.35    -2.34     5.48     5.44    -0.33     0.35   -97.50     0.00
    45.00     0.00  1000.00    -3.20    -3.25    -0.14     0.21    44.31    44.70     2.34    -2.35     5.44     5.48    -0.35     0.33     0.00   -97.50
    45.00     0.00 -1000.00    -3.20    -3.15    -0.14     0.08    44.31    43.94     2.34    -2.34     5.44     5.39    -0.35     0.37     0.00    94.30
    50.00  1000.00     0.00    -3.78    -3.84    -0.60     0.68    48.71    49.16     2.43    -2.44     5.97     6.02    -0.37     0.35   113.84     0.00
    50.00 -1000.00     0.00    -3.91    -3.84    -0.77     0.68    49.62    49.16     2.44    -2.44     6.08     6.02    -0.33     0.35  -117.68     0.00
    50.00     0.00  1000.00    -3.84    -3.91    -0.68     0.77    49.16    49.62     2.44    -2.44     6.02     6.08    -0.35     0.33     0.00  -117.68
    50.00     0.00 -1000.00    -3.84    -3.78    -0.68     0.60    49.16    48.71     2.44    -2.43     6.02     5.97    -0.35     0.37     0.00   113.84
    55.00  1000.00     0.00    -4.46    -4.54    -1.22     1.32    53.46    53.99     2.53    -2.53     6.54     6.60    -0.37     0.35   133.33     0.00
    55.00 -1000.00     0.00    -4.63    -4.54    -1.43     1.32    54.53    53.99     2.53    -2.53     6.67     6.60    -0.34     0.35  -137.82     0.00
    55.00     0.00  1000.00    -4.54    -4.63    -1.32     1.43    53.99    54.53     2.53    -2.53     6.60     6.67    -0.35     0.34     0.00  -137.82
    55.00     0.00 -1000.00    -4.54    -4.46    -1.32     1.22    53.99    53.46     2.53    -2.53     6.60     6.54    -0.35     0.37     0.00   133.33
    60.00  1000.00     0.00    -5.19    -5.30    -1.94     2.07    58.21    58.81     2.62    -2.62     7.11     7.19    -0.37     0.35   152.83     0.00
    60.00 -1000.00     0.00    -5.41    -5.30    -2.21     2.07    59.43    58.81     2.63    -2.62     7.26     7.19    -0.34     0.35  -158.00     0.00
    60.00     0.00  1000.00    -5.30    -5.41    -2.07     2.21    58.81    59.43     2.62    -2.63     7.19     7.26    -0.35     0.34     0.00  -158.00
    60.00     0.00 -1000.00    -5.30    -5.19    -2.07     1.94    58.81    58.21     2.62    -2.62     7.19     7.11    -0.35     0.37     0.00   152.83
    65.00  1000.00     0.00    -5.98    -6.11    -2.76     2.92    62.93    63.61     2.71    -2.72     7.68     7.77    -0.37     0.36   172.41     0.00
    65.00 -1000.00     0.00    -6.24    -6.11    -3.08     2.92    64.31    63.61     2.72    -2.72     7.85     7.77    -0.34     0.36  -178.29     0.00
    65.00     0.00  1000.00    -6.11    -6.24    -2.92     3.08    63.61    64.31     2.72    -2.72     7.77     7.85    -0.36     0.34     0.00  -178.29
    65.00     0.00 -1000.00    -6.11    -5.98    -2.92     2.76    63.61    62.93     2.72    -2.71     7.77     7.68    -0.36     0.37     0.00   172.41
    70.00  1000.00     0.00    -6.82    -6.97    -3.68     3.87    67.65    68.40     2.81    -2.81     8.26     8.35    -0.37     0.36   192.13     0.00
    70.00 -1000.00     0.00    -7.13    -6.97    -4.07     3.87    69.18    68.40     2.82    -2.81     8.44     8.35    -0.35     0.36  -198.77     0.00
    70.00     0.00  1000.00    -6.97    -7.13    -3.87     4.07    68.40    69.18     2.81    -2.82     8.35     8.44    -0.36     0.35     0.00  -198.77
    70.00     0.00 -1000.00    -6.97    -6.82    -3.87     3.68    68.40    67.65     2.81    -2.81     8.35     8.26    -0.36     0.37     0.00   192.13
    75.00  1000.00     0.00    -7.71    -7.89    -4.70     4.93    72.34    73.17     2.90    -2.91     8.83     8.93    -0.38     0.37   212.06     0.00
    75.00 -1000.00     0.00    -8.08    -7.89    -5.17     4.93    74.03    73.17     2.92    -2.91     9.03     8.93    -0.37     0.37  -219.53     0.00
    75.00     0.00  1000.00    -7.89    -8.08    -4.93     5.17    73.17    74.03     2.91    -2.92     8.93     9.03    -0.37     0.37     0.00  -219.53
    75.00     0.00 -1000.00    -7.89    -7.71    -4.93     4.70    73.17    72.34     2.91    -2.90     8.93     8.83    -0.37     0.38     0.00   212.06
    80.00  1000.00     0.00    -8.66    -8.87    -5.83     6.10    77.03    77.93     3.00    -3.00     9.40     9.51    -0.39     0.39   232.29     0.00
    80.00 -1000.00     0.00    -9.09    -8.87    -6.37     6.10    78.87    77.93     3.01    -3.00     9.62     9.51    -0.38     0.39  -240.66     0.00
    80.00     0.00  1000.00    -8.87    -9.09    -6.10     6.37    77.93    78.87     3.00    -3.01     9.51     9.62    -0.39     0.38     0.00  -240.66
    80.00     0.00 -1000.00    -8.87    -8.66    -6.10     5.83    77.93    77.03     3.00    -3.00     9.51     9.40    -0.39     0.39     0.00   232.29
    -5.00  1000.00     0.00     0.02     0.03    -0.46     0.54    -4.52    -5.01     1.73    -1.73    -0.56    -0.63    -0.31     0.29  -118.26     0.00
    -5.00 -1000.00     0.00     0.04     0.03    -0.63     0.54    -5.51    -5.01     1.72    -1.73    -0.71    -0.63    -0.26     0.29   123.21     0.00
    -5.00     0.00  1000.00     0.03     0.04    -0.54     0.63    -5.01    -5.51     1.73    -1.72    -0.63    -0.71    -0.29     0.26     0.00   123.21
    -5.00     0.00 -1000.00     0.03     0.02    -0.54     0.46    -5.01    -4.52     1.73    -1.73    -0.63    -0.56    -0.29     0.31     0.00  -118.26
   -10.00  1000.00     0.00    -0.01    -0.01    -1.09     1.21    -9.44   -10.03     1.72    -1.72    -1.17    -1.27    -0.30     0.27  -143.22     0.00
   -10.00 -1000.00     0.00    -0.01    -0.01    -1.32     1.21   -10.65   -10.03     1.72    -1.72    -1.36    -1.27    -0.25     0.27   149.56     0.00
   -10.00     0.00  1000.00    -0.01    -0.01    -1.21     1.32   -10.03   -10.65     1.72    -1.72    -1.27    -1.36    -0.27     0.25     0.00   149.56
   -10.00     0.00 -1000.00    -0.01    -0.01    -1.21     1.09   -10.03    -9.44     1.72    -1.72    -1.27    -1.17    -0.27     0.30     0.00  -143.22
   -15.00  1000.00     0.00    -0.12    -0.13    -1.85     2.00   -14.37   -15.08     1.72    -1.72    -1.80    -1.91    -0.29     0.26  -169.41     0.00
   -15.00 -1000.00     0.00    -0.14    -0.13    -2.15     2.00   -15.81   -15.08     1.73    -1.72    -2.03    -1.91    -0.24     0.26   177.41     0.00
   -15.00     0.00  1000.00    -0.13    -0.14    -2.00     2.15   -15.08   -15.81     1.72    -1.73    -1.91    -2.03    -0.26     0.24     0.00   177.41
   -15.00     0.00 -1000.00    -0.13    -0.12    -2.00     1.85   -15.08   -14.37     1.72    -1.72    -1.91    -1.80    -0.26     0.29     0.00  -169.41
   -20.00  1000.00     0.00    -0.30    -0.33    -2.74     2.93   -19.32   -20.14     1.74    -1.75    -2.43    -2.56    -0.28     0.25  -197.10     0.00
   -20.00 -1000.00     0.00    -0.37    -0.33    -3.13     2.93   -21.00   -20.14     1.76    -1.75    -2.70    -2.56    -0.22     0.25   207.10     0.00
   -20.00     0.00  1000.00    -0.33    -0.37    -2.93     3.13   -20.14   -21.00     1.75    -1.76    -2.56    -2.70    -0.25     0.22     0.00   207.10
   -20.00     0.00 -1000.00    -0.33    -0.30    -2.93     2.74   -20.14   -19.32     1.75    -1.74    -2.56    -2.43    -0.25     0.28     0.00  -197.10
   -25.00  1000.00     0.00    -0.57    -0.62    -3.76     4.00   -24.28   -25.22     1.78    -1.79    -3.06    -3.22    -0.27     0.24  -226.58     0.00
   -25.00 -1000.00     0.00    -0.69    -0.62    -4.26     4.00   -26.23   -25.22     1.81    -1.79    -3.39    -3.22    -0.21     0.24   239.10     0.00
   -25.00     0.00  1000.00    -0.62    -0.69    -4.00     4.26   -25.22   -26.23     1.79    -1.81    -3.22    -3.39    -0.24     0.21     0.00   239.10
   -25.00     0.00 -1000.00    -0.62    -0.57    -4.00     3.76   -25.22   -24.28     1.79    -1.78    -3.22    -3.06    -0.24     0.27     0.00  -226.58
   -30.00  1000.00     0.00    -0.92    -1.01    -4.93     5.23   -29.24   -30.33     1.84    -1.87    -3.69    -3.88    -0.28     0.24  -258.29     0.00
   -30.00 -1000.00     0.00    -1.11    -1.01    -5.56     5.23   -31.49   -30.33     1.89    -1.87    -4.08    -3.88    -0.21     0.24   274.03     0.00
   -30.00     0.00  1000.00    -1.01    -1.11    -5.23     5.56   -30.33   -31.49     1.87    -1.89    -3.88    -4.08    -0.24     0.21     0.00   274.03
   -30.00     0.00 -1000.00    -1.01    -0.92    -5.23     4.93   -30.33   -29.24     1.87    -1.84    -3.88    -3.69    -0.24     0.28     0.00  -258.29
   -35.00  1000.00     0.00    -1.37    -1.50    -6.24     6.62   -34.22   -35.46     1.93    -1.97    -4.33    -4.55    -0.29     0.25  -292.80     0.00
   -35.00 -1000.00     0.00    -1.65    -1.50    -7.05     6.62   -36.79   -35.46     2.01    -1.97    -4.79    -4.55    -0.22     0.25   312.83     0.00
   -35.00     0.00  1000.00    -1.50    -1.65    -6.62     7.05   -35.46   -36.79     1.97    -2.01    -4.55    -4.79    -0.25     0.22     0.00   312.83
   -35.00     0.00 -1000.00    -1.50    -1.37    -6.62     6.24   -35.46   -34.22     1.97    -1.93    -4.55    -4.33    -0.25     0.29     0.00  -292.80
   -40.00  1000.00     0.00    -1.91    -2.10    -7.72     8.20   -39.20   -40.62     2.06    -2.11    -4.97    -5.23    -0.32     0.28  -330.88     0.00
   -40.00 -1000.00     0.00    -2.32    -2.10    -8.74     8.20   -42.14   -40.62     2.17    -2.11    -5.51    -5.23    -0.25     0.28   356.90     0.00
   -40.00     0.00  1000.00    -2.10    -2.32    -8.20     8.74   -40.62   -42.14     2.11    -2.17    -5.23    -5.51    -0.28     0.25     0.00   356.90
   -40.00     0.00 -1000.00    -2.10    -1.91    -8.20     7.72   -40.62   -39.20     2.11    -2.06    -5.23    -4.97    -0.28     0.32     0.00  -330.88
   -45.00  1000.00     0.00    -2.56    -2.83    -9.37     9.99   -44.19   -45.80     2.22    -2.30    -5.61    -5.91    -0.37     0.34  -373.71     0.00
   -45.00 -1000.00     0.00    -3.15    -2.83   -10.69     9.99   -47.56   -45.80     2.40    -2.30    -6.25    -5.91    -0.31     0.34   408.59     0.00
   -45.00     0.00  1000.00    -2.83    -3.15    -9.99    10.69   -45.80   -47.56     2.30    -2.40    -5.91    -6.25    -0.34     0.31     0.00   408.59
   -45.00     0.00 -1000.00    -2.83    -2.56    -9.99     9.37   -45.80   -44.19     2.30    -2.22    -5.91    -5.61    -0.34     0.37     0.00  -373.71
   -50.00  1000.00     0.00    -3.32    -3.69   -11.23    12.01   -49.17   -51.00     2.43    -2.55    -6.25    -6.59    -0.46     0.45  -423.07     0.00
   -50.00 -1000.00     0.00    -4.14    -3.69   -12.94    12.01   -53.06   -51.00     2.70    -2.55    -6.99    -6.59    -0.43     0.45   472.21     0.00
   -50.00     0.00  1000.00    -3.69    -4.14   -12.01    12.94   -51.00   -53.06     2.55    -2.70    -6.59    -6.99    -0.45     0.43     0.00   472.21
   -50.00     0.00 -1000.00    -3.69    -3.32   -12.01    11.23   -51.00   -49.17     2.55    -2.43    -6.59    -6.25    -0.45     0.46     0.00  -423.07
   -55.00  1000.00     0.00    -4.20    -4.70   -13.30    14.33   -54.13   -56.24     2.71    -2.89    -6.86    -7.26    -0.62     0.64  -481.92     0.00
   -55.00 -1000.00     0.00    -5.36    -4.70   -15.60    14.33   -58.70   -56.24     3.14    -2.89    -7.73    -7.26    -0.68     0.64   557.14     0.00
   -55.00     0.00  1000.00    -4.70    -5.36   -14.33    15.60   -56.24   -58.70     2.89    -3.14    -7.26    -7.73    -0.64     0.68     0.00   557.14
   -55.00     0.00 -1000.00    -4.70    -4.20   -14.33    13.30   -56.24   -54.13     2.89    -2.71    -7.26    -6.86    -0.64     0.62     0.00  -481.92
   -60.00  1000.00     0.00    -5.19    -5.88   -15.64    17.02   -59.05   -61.51     3.07    -3.36    -7.43    -7.88    -0.88     0.99  -555.63     0.00
   -60.00 -1000.00     0.00    -6.86    -5.88   -18.95    17.02   -64.59   -61.51     3.81    -3.36    -8.43    -7.88    -1.23     0.99   692.48     0.00
   -60.00     0.00  1000.00    -5.88    -6.86   -17.02    18.95   -61.51   -64.59     3.36    -3.81    -7.88    -8.43    -0.99     1.23     0.00   692.48
   -60.00     0.00 -1000.00    -5.88    -5.19   -17.02    15.64   -61.51   -59.05     3.36    -3.07    -7.88    -7.43    -0.99     0.88     0.00  -555.63
   -65.00  1000.00     0.00    -6.26    -7.18   -18.28    20.26   -63.87   -66.78     3.55    -4.04    -7.92    -8.36    -1.34     1.72  -655.46     0.00
   -70.00  1000.00     0.00    -7.31    -8.24   -21.27    24.80   -68.44   -71.93     4.17    -5.23    -8.21    -8.12    -2.18     4.05  -811.18     0.00
   -75.00  1000.00     0.00    -7.98    -7.54   -24.46    28.11   -72.26   -74.04     4.92    -6.00    -8.09    -6.90    -3.65     7.19 -1125.48  -658.47
   -75.00 -1000.00     0.00    -6.35    -7.54   -30.17    28.11   -74.02   -74.04     6.43    -6.00    -5.73    -6.90    -9.97     7.19  -614.07  -658.47
   -75.00     0.00  1000.00    -7.54    -6.35   -28.11    30.17   -74.04   -74.02     6.00    -6.43    -6.90    -5.73    -7.19     9.97  -658.47  -614.07
   -75.00     0.00 -1000.00    -7.54    -7.98   -28.11    24.46   -74.04   -72.26     6.00    -4.92    -6.90    -8.09    -7.19     3.65  -658.47 -1125.48
   -80.00  1000.00     0.00    -8.01    -7.80   -26.84    29.00   -74.64   -75.69     5.42    -6.03    -7.76    -7.30    -5.02     6.77 -1768.46 -1511.53
   -80.00 -1000.00     0.00    -7.57    -7.80   -30.58    29.00   -76.31   -75.69     6.46    -6.03    -7.05    -7.30    -7.93     6.77 -1368.08 -1511.53
   -80.00     0.00  1000.00    -7.80    -7.57   -29.00    30.58   -75.69   -76.31     6.03    -6.46    -7.30    -7.05    -6.77     7.93 -1511.53 -1368.08
   -80.00     0.00 -1000.00    -7.80    -8.01   -29.00    26.84   -75.69   -74.64     6.03    -5.42    -7.30    -7.76    -6.77     5.02 -1511.53 -1768.46
