
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    35.00     0.00  -100.00    -2.07    -1.71     0.63    -0.68    34.57    33.81     2.17    -2.18     4.26     3.80    -0.35     0.32     0.00   205.56
    40.00   100.00     0.00    -2.99    -2.61     0.22    -0.29    40.17    39.45     2.25    -2.26     5.28     4.85    -0.37     0.35  -199.92     0.00
    40.00  -100.00     0.00    -2.22    -2.61     0.36    -0.29    38.70    39.45     2.27    -2.26     4.40     4.85    -0.33     0.35   203.88     0.00
    40.00     0.00   100.00    -2.61    -2.99     0.29    -0.22    39.45    40.17     2.26    -2.25     4.85     5.28    -0.35     0.37     0.00  -199.92
    40.00     0.00  -100.00    -2.61    -2.22     0.29    -0.36    39.45    38.70     2.26    -2.27     4.85     4.40    -0.35     0.33     0.00   203.88
    45.00   100.00     0.00    -3.60    -3.20    -0.23     0.14    45.02    44.31     2.33    -2.34     5.86     5.44    -0.36     0.35  -198.65     0.00
    45.00  -100.00     0.00    -2.80    -3.20    -0.06     0.14    43.58    44.31     2.35    -2.34     5.00     5.44    -0.34     0.35   202.36     0.00
    45.00     0.00   100.00    -3.20    -3.60    -0.14     0.23    44.31    45.02     2.34    -2.33     5.44     5.86    -0.35     0.36     0.00  -198.65
    45.00     0.00  -100.00    -3.20    -2.80    -0.14     0.06    44.31    43.58     2.34    -2.35     5.44     5.00    -0.35     0.34     0.00   202.36
    50.00   100.00     0.00    -4.26    -3.84    -0.79     0.68    49.85    49.16     2.43    -2.44     6.44     6.02    -0.35     0.35  -197.53     0.00
    50.00  -100.00     0.00    -3.43    -3.84    -0.58     0.68    48.44    49.16     2.45    -2.44     5.60     6.02    -0.35     0.35   201.01     0.00
    50.00     0.00   100.00    -3.84    -4.26    -0.68     0.79    49.16    49.85     2.44    -2.43     6.02     6.44    -0.35     0.35     0.00  -197.53
    50.00     0.00  -100.00    -3.84    -3.43    -0.68     0.58    49.16    48.44     2.44    -2.45     6.02     5.60    -0.35     0.35     0.00   201.01
    55.00   100.00     0.00    -4.97    -4.54    -1.45     1.32    54.67    53.99     2.52    -2.53     7.01     6.60    -0.35     0.35  -196.58     0.00
    55.00  -100.00     0.00    -4.11    -4.54    -1.20     1.32    53.29    53.99     2.54    -2.53     6.19     6.60    -0.35     0.35   199.84     0.00
    55.00     0.00   100.00    -4.54    -4.97    -1.32     1.45    53.99    54.67     2.53    -2.52     6.60     7.01    -0.35     0.35     0.00  -196.58
    55.00     0.00  -100.00    -4.54    -4.11    -1.32     1.20    53.99    53.29     2.53    -2.54     6.60     6.19    -0.35     0.35     0.00   199.84
    60.00   100.00     0.00    -5.75    -5.30    -2.21     2.07    59.48    58.81     2.61    -2.62     7.58     7.19    -0.34     0.35  -195.80     0.00
    60.00  -100.00     0.00    -4.85    -5.30    -1.93     2.07    58.11    58.81     2.63    -2.62     6.78     7.19    -0.36     0.35   198.86     0.00
    60.00     0.00   100.00    -5.30    -5.75    -2.07     2.21    58.81    59.48     2.62    -2.61     7.19     7.58    -0.35     0.34     0.00  -195.80
    60.00     0.00  -100.00    -5.30    -4.85    -2.07     1.93    58.81    58.11     2.62    -2.63     7.19     6.78    -0.35     0.36     0.00   198.86
    65.00   100.00     0.00    -6.57    -6.11    -3.07     2.92    64.27    63.61     2.71    -2.72     8.16     7.77    -0.34     0.36  -195.23     0.00
    65.00  -100.00     0.00    -5.65    -6.11    -2.76     2.92    62.93    63.61     2.73    -2.72     7.37     7.77    -0.37     0.36   198.08     0.00
    65.00     0.00   100.00    -6.11    -6.57    -2.92     3.07    63.61    64.27     2.72    -2.71     7.77     8.16    -0.36     0.34     0.00  -195.23
    65.00     0.00  -100.00    -6.11    -5.65    -2.92     2.76    63.61    62.93     2.72    -2.73     7.77     7.37    -0.36     0.37     0.00   198.08
    70.00   100.00     0.00    -7.45    -6.97    -4.04     3.87    69.05    68.40     2.80    -2.81     8.73     8.35    -0.34     0.36  -194.87     0.00
    70.00  -100.00     0.00    -6.50    -6.97    -3.70     3.87    67.73    68.40     2.83    -2.81     7.96     8.35    -0.38     0.36   197.52     0.00
    70.00     0.00   100.00    -6.97    -7.45    -3.87     4.04    68.40    69.05     2.81    -2.80     8.35     8.73    -0.36     0.34     0.00  -194.87
    70.00     0.00  -100.00    -6.97    -6.50    -3.87     3.70    68.40    67.73     2.81    -2.83     8.35     7.96    -0.36     0.38     0.00   197.52
    75.00   100.00     0.00    -8.38    -7.89    -5.12     4.93    73.82    73.17     2.89    -2.91     9.30     8.93    -0.35     0.37  -194.76     0.00
    75.00  -100.00     0.00    -7.40    -7.89    -4.74     4.93    72.51    73.17     2.92    -2.91     8.55     8.93    -0.40     0.37   197.20     0.00
    75.00     0.00   100.00    -7.89    -8.38    -4.93     5.12    73.17    73.82     2.91    -2.89     8.93     9.30    -0.37     0.35     0.00  -194.76
    75.00     0.00  -100.00    -7.89    -7.40    -4.93     4.74    73.17    72.51     2.91    -2.92     8.93     8.55    -0.37     0.40     0.00   197.20
    80.00   100.00     0.00    -9.38    -8.87    -6.30     6.10    78.58    77.93     2.98    -3.00     9.88     9.51    -0.36     0.39  -194.94     0.00
    80.00  -100.00     0.00    -8.36    -8.87    -5.89     6.10    77.27    77.93     3.02    -3.00     9.13     9.51    -0.41     0.39   197.16     0.00
    80.00     0.00   100.00    -8.87    -9.38    -6.10     6.30    77.93    78.58     3.00    -2.98     9.51     9.88    -0.39     0.36     0.00  -194.94
    80.00     0.00  -100.00    -8.87    -8.36    -6.10     5.89    77.93    77.27     3.00    -3.02     9.51     9.13    -0.39     0.41     0.00   197.16
    -5.00   100.00     0.00    -0.16     0.03    -0.42     0.54    -4.11    -5.01     1.71    -1.73    -0.06    -0.63    -0.42     0.29  -217.42     0.00
    -5.00  -100.00     0.00     0.21     0.03    -0.68     0.54    -5.95    -5.01     1.74    -1.73    -1.21    -0.63    -0.15     0.29   225.20     0.00
    -5.00     0.00   100.00     0.03    -0.16    -0.54     0.42    -5.01    -4.11     1.73    -1.71    -0.63    -0.06    -0.29     0.42     0.00  -217.42
    -5.00     0.00  -100.00     0.03     0.21    -0.54     0.68    -5.01    -5.95     1.73    -1.74    -0.63    -1.21    -0.29     0.15     0.00   225.20
   -10.00   100.00     0.00    -0.17    -0.01    -1.05     1.21    -9.11   -10.03     1.70    -1.72    -0.68    -1.27    -0.43     0.27  -219.95     0.00
   -10.00  -100.00     0.00     0.14    -0.01    -1.37     1.21   -11.01   -10.03     1.73    -1.72    -1.87    -1.27    -0.12     0.27   228.53     0.00
   -10.00     0.00   100.00    -0.01    -0.17    -1.21     1.05   -10.03    -9.11     1.72    -1.70    -1.27    -0.68    -0.27     0.43     0.00  -219.95
   -10.00     0.00  -100.00    -0.01     0.14    -1.21     1.37   -10.03   -11.01     1.72    -1.73    -1.27    -1.87    -0.27     0.12     0.00   228.53
   -15.00   100.00     0.00    -0.25    -0.13    -1.81     2.00   -14.12   -15.08     1.70    -1.72    -1.30    -1.91    -0.44     0.26  -222.56     0.00
   -15.00  -100.00     0.00    -0.02    -0.13    -2.20     2.00   -16.08   -15.08     1.74    -1.72    -2.54    -1.91    -0.08     0.26   232.10     0.00
   -15.00     0.00   100.00    -0.13    -0.25    -2.00     1.81   -15.08   -14.12     1.72    -1.70    -1.91    -1.30    -0.26     0.44     0.00  -222.56
   -15.00     0.00  -100.00    -0.13    -0.02    -2.00     2.20   -15.08   -16.08     1.72    -1.74    -1.91    -2.54    -0.26     0.08     0.00   232.10
   -20.00   100.00     0.00    -0.41    -0.33    -2.71     2.93   -19.16   -20.14     1.72    -1.75    -1.92    -2.56    -0.45     0.25  -225.20     0.00
   -20.00  -100.00     0.00    -0.27    -0.33    -3.17     2.93   -21.19   -20.14     1.77    -1.75    -3.22    -2.56    -0.04     0.25   235.91     0.00
   -20.00     0.00   100.00    -0.33    -0.41    -2.93     2.71   -20.14   -19.16     1.75    -1.72    -2.56    -1.92    -0.25     0.45     0.00  -225.20
   -20.00     0.00  -100.00    -0.33    -0.27    -2.93     3.17   -20.14   -21.19     1.75    -1.77    -2.56    -3.22    -0.25     0.04     0.00   235.91
   -25.00   100.00     0.00    -0.66    -0.62    -3.74     4.00   -24.21   -25.22     1.76    -1.79    -2.55    -3.22    -0.47     0.24  -227.82     0.00
   -25.00  -100.00     0.00    -0.61    -0.62    -4.29     4.00   -26.31   -25.22     1.82    -1.79    -3.90    -3.22     0.00     0.24   239.96     0.00
   -25.00     0.00   100.00    -0.62    -0.66    -4.00     3.74   -25.22   -24.21     1.79    -1.76    -3.22    -2.55    -0.24     0.47     0.00  -227.82
   -25.00     0.00  -100.00    -0.62    -0.61    -4.00     4.29   -25.22   -26.31     1.79    -1.82    -3.22    -3.90    -0.24     0.00     0.00   239.96
   -30.00   100.00     0.00    -1.00    -1.01    -4.92     5.23   -29.28   -30.33     1.83    -1.87    -3.18    -3.88    -0.51     0.24  -230.29     0.00
   -30.00  -100.00     0.00    -1.05    -1.01    -5.57     5.23   -31.46   -30.33     1.90    -1.87    -4.61    -3.88     0.03     0.24   244.24     0.00
   -30.00     0.00   100.00    -1.01    -1.00    -5.23     4.92   -30.33   -29.28     1.87    -1.83    -3.88    -3.18    -0.24     0.51     0.00  -230.29
   -30.00     0.00  -100.00    -1.01    -1.05    -5.23     5.57   -30.33   -31.46     1.87    -1.90    -3.88    -4.61    -0.24    -0.03     0.00   244.24
   -35.00   100.00     0.00    -1.43    -1.50    -6.27     6.62   -34.38   -35.46     1.92    -1.97    -3.81    -4.55    -0.56     0.25  -232.39     0.00
   -35.00  -100.00     0.00    -1.61    -1.50    -7.02     6.62   -36.64   -35.46     2.01    -1.97    -5.32    -4.55     0.07     0.25   248.68     0.00
   -35.00     0.00   100.00    -1.50    -1.43    -6.62     6.27   -35.46   -34.38     1.97    -1.92    -4.55    -3.81    -0.25     0.56     0.00  -232.39
   -35.00     0.00  -100.00    -1.50    -1.61    -6.62     7.02   -35.46   -36.64     1.97    -2.01    -4.55    -5.32    -0.25    -0.07     0.00   248.68
   -40.00   100.00     0.00    -1.96    -2.10    -7.79     8.20   -39.49   -40.62     2.06    -2.11    -4.45    -5.23    -0.64     0.28  -233.71     0.00
   -40.00  -100.00     0.00    -2.29    -2.10    -8.67     8.20   -41.85   -40.62     2.16    -2.11    -6.05    -5.23     0.09     0.28   253.12     0.00
   -40.00     0.00   100.00    -2.10    -1.96    -8.20     7.79   -40.62   -39.49     2.11    -2.06    -5.23    -4.45    -0.28     0.64     0.00  -233.71
   -40.00     0.00  -100.00    -2.10    -2.29    -8.20     8.67   -40.62   -41.85     2.11    -2.16    -5.23    -6.05    -0.28    -0.09     0.00   253.12
   -45.00   100.00     0.00    -2.61    -2.83    -9.52     9.99   -44.64   -45.80     2.24    -2.30    -5.07    -5.91    -0.75     0.34  -233.44     0.00
   -45.00  -100.00     0.00    -3.11    -2.83   -10.53     9.99   -47.09   -45.80     2.37    -2.30    -6.80    -5.91     0.10     0.34   257.15     0.00
   -45.00     0.00   100.00    -2.83    -2.61    -9.99     9.52   -45.80   -44.64     2.30    -2.24    -5.91    -5.07    -0.34     0.75     0.00  -233.44
   -45.00     0.00  -100.00    -2.83    -3.11    -9.99    10.53   -45.80   -47.09     2.30    -2.37    -5.91    -6.80    -0.34    -0.10     0.00   257.15
   -50.00   100.00     0.00    -3.38    -3.69   -11.48    12.01   -49.82   -51.00     2.47    -2.55    -5.69    -6.59    -0.94     0.45  -229.79     0.00
   -50.00  -100.00     0.00    -4.10    -3.69   -12.65    12.01   -52.37   -51.00     2.64    -2.55    -7.56    -6.59     0.08     0.45   259.75     0.00
   -50.00     0.00   100.00    -3.69    -3.38   -12.01    11.48   -51.00   -49.82     2.55    -2.47    -6.59    -5.69    -0.45     0.94     0.00  -229.79
   -50.00     0.00  -100.00    -3.69    -4.10   -12.01    12.65   -51.00   -52.37     2.55    -2.64    -6.59    -7.56    -0.45    -0.08     0.00   259.75
   -55.00   100.00     0.00    -4.27    -4.70   -13.73    14.33   -55.05   -56.24     2.80    -2.89    -6.27    -7.26    -1.24     0.64  -218.34     0.00
   -55.00  -100.00     0.00    -5.26    -4.70   -15.08    14.33   -57.67   -56.24     3.00    -2.89    -8.33    -7.26     0.01     0.64   258.27     0.00
   -55.00     0.00   100.00    -4.70    -4.27   -14.33    13.73   -56.24   -55.05     2.89    -2.80    -7.26    -6.27    -0.64     1.24     0.00  -218.34
   -55.00     0.00  -100.00    -4.70    -5.26   -14.33    15.08   -56.24   -57.67     2.89    -3.00    -7.26    -8.33    -0.64    -0.01     0.00   258.27
   -60.00   100.00     0.00    -5.31    -5.88   -16.40    17.02   -60.39   -61.51     3.26    -3.36    -6.76    -7.88    -1.79     0.99  -184.96     0.00
   -60.00  -100.00     0.00    -6.64    -5.88   -17.88    17.02   -62.97   -61.51     3.49    -3.36    -9.10    -7.88    -0.16     0.99   244.62     0.00
   -60.00     0.00   100.00    -5.88    -5.31   -17.02    16.40   -61.51   -60.39     3.36    -3.26    -7.88    -6.76    -0.99     1.79     0.00  -184.96
   -60.00     0.00  -100.00    -5.88    -6.64   -17.02    17.88   -61.51   -62.97     3.36    -3.49    -7.88    -9.10    -0.99     0.16     0.00   244.62
   -65.00   100.00     0.00    -6.49    -7.18   -20.06    20.26   -66.18   -66.78     4.04    -4.04    -6.95    -8.36    -3.17     1.72   -35.14     0.00
   -65.00  -100.00     0.00    -8.20    -7.18   -21.13    20.26   -68.15   -66.78     4.16    -4.04    -9.83    -8.36    -0.52     1.72   189.57     0.00
   -65.00     0.00   100.00    -7.18    -6.49   -20.26    20.06   -66.78   -66.18     4.04    -4.04    -8.36    -6.95    -1.72     3.17     0.00   -35.14
   -65.00     0.00  -100.00    -7.18    -8.20   -20.26    21.13   -66.78   -68.15     4.04    -4.16    -8.36    -9.83    -1.72     0.52     0.00   189.57
   -75.00   100.00     0.00    -2.69    -7.54   -30.00    28.11   -69.83   -74.04     5.23    -6.00    -1.70    -6.90   -15.48     7.19 -1411.95  -658.47
   -80.00   100.00     0.00    -4.00    -7.80   -29.95    29.00   -72.76   -75.69     5.57    -6.03    -3.30    -7.30   -12.83     6.77 -1980.80 -1511.53
