
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00    -1.17    -1.66     0.99    -0.99    24.78    25.07     2.02    -2.01     3.06     3.25    -0.34     0.38     0.00   -79.15
    30.00  1000.00     0.00    -1.09    -1.59     0.87    -0.86    29.36    29.68     2.10    -2.09     3.46     3.66    -0.31     0.35    86.69     0.00
    30.00 -1000.00     0.00    -2.11    -1.59     0.85    -0.86    30.02    29.68     2.08    -2.09     3.86     3.66    -0.39     0.35   -90.66     0.00
    30.00     0.00  1000.00    -1.59    -1.09     0.86    -0.87    29.68    29.36     2.09    -2.10     3.66     3.46    -0.35     0.31     0.00    86.69
    30.00     0.00 -1000.00    -1.59    -2.11     0.86    -0.85    29.68    30.02     2.09    -2.08     3.66     3.86    -0.35     0.39     0.00   -90.66
    35.00  1000.00     0.00    -1.54    -2.07     0.65    -0.63    34.21    34.57     2.19    -2.17     4.05     4.26    -0.31     0.35    97.69     0.00
    35.00 -1000.00     0.00    -2.60    -2.07     0.61    -0.63    34.95    34.57     2.16    -2.17     4.47     4.26    -0.38     0.35  -101.88     0.00
    35.00     0.00  1000.00    -2.07    -1.54     0.63    -0.65    34.57    34.21     2.17    -2.19     4.26     4.05    -0.35     0.31     0.00    97.69
    35.00     0.00 -1000.00    -2.07    -2.60     0.63    -0.61    34.57    34.95     2.17    -2.16     4.26     4.47    -0.35     0.38     0.00  -101.88
    40.00  1000.00     0.00    -2.06    -2.61     0.33    -0.29    39.05    39.45     2.27    -2.26     4.63     4.85    -0.32     0.35   108.46     0.00
    40.00 -1000.00     0.00    -3.16    -2.61     0.26    -0.29    39.86    39.45     2.24    -2.26     5.07     4.85    -0.38     0.35  -112.86     0.00
    40.00     0.00  1000.00    -2.61    -2.06     0.29    -0.33    39.45    39.05     2.26    -2.27     4.85     4.63    -0.35     0.32     0.00   108.46
    40.00     0.00 -1000.00    -2.61    -3.16     0.29    -0.26    39.45    39.86     2.26    -2.24     4.85     5.07    -0.35     0.38     0.00  -112.86
    45.00  1000.00     0.00    -2.63    -3.20    -0.09     0.14    43.87    44.31     2.36    -2.34     5.21     5.44    -0.32     0.35   119.03     0.00
    45.00 -1000.00     0.00    -3.78    -3.20    -0.20     0.14    44.76    44.31     2.33    -2.34     5.67     5.44    -0.38     0.35  -123.64     0.00
    45.00     0.00  1000.00    -3.20    -2.63    -0.14     0.09    44.31    43.87     2.34    -2.36     5.44     5.21    -0.35     0.32     0.00   119.03
    45.00     0.00 -1000.00    -3.20    -3.78    -0.14     0.20    44.31    44.76     2.34    -2.33     5.44     5.67    -0.35     0.38     0.00  -123.64
    50.00  1000.00     0.00    -3.25    -3.84    -0.61     0.68    48.69    49.16     2.45    -2.44     5.79     6.02    -0.32     0.35   129.45     0.00
    50.00 -1000.00     0.00    -4.45    -3.84    -0.76     0.68    49.64    49.16     2.42    -2.44     6.26     6.02    -0.38     0.35  -134.28     0.00
    50.00     0.00  1000.00    -3.84    -3.25    -0.68     0.61    49.16    48.69     2.44    -2.45     6.02     5.79    -0.35     0.32     0.00   129.45
    50.00     0.00 -1000.00    -3.84    -4.45    -0.68     0.76    49.16    49.64     2.44    -2.42     6.02     6.26    -0.35     0.38     0.00  -134.28
    55.00  1000.00     0.00    -3.92    -4.54    -1.24     1.32    53.48    53.99     2.55    -2.53     6.36     6.60    -0.33     0.35   139.75     0.00
    55.00 -1000.00     0.00    -5.17    -4.54    -1.42     1.32    54.51    53.99     2.51    -2.53     6.85     6.60    -0.38     0.35  -144.83     0.00
    55.00     0.00  1000.00    -4.54    -3.92    -1.32     1.24    53.99    53.48     2.53    -2.55     6.60     6.36    -0.35     0.33     0.00   139.75
    55.00     0.00 -1000.00    -4.54    -5.17    -1.32     1.42    53.99    54.51     2.53    -2.51     6.60     6.85    -0.35     0.38     0.00  -144.83
    60.00  1000.00     0.00    -4.65    -5.30    -1.96     2.07    58.27    58.81     2.65    -2.62     6.93     7.19    -0.33     0.35   149.99     0.00
    60.00 -1000.00     0.00    -5.96    -5.30    -2.19     2.07    59.36    58.81     2.60    -2.62     7.44     7.19    -0.38     0.35  -155.33     0.00
    60.00     0.00  1000.00    -5.30    -4.65    -2.07     1.96    58.81    58.27     2.62    -2.65     7.19     6.93    -0.35     0.33     0.00   149.99
    60.00     0.00 -1000.00    -5.30    -5.96    -2.07     2.19    58.81    59.36     2.62    -2.60     7.19     7.44    -0.35     0.38     0.00  -155.33
    65.00  1000.00     0.00    -5.43    -6.11    -2.78     2.92    63.04    63.61     2.74    -2.72     7.51     7.77    -0.34     0.36   160.20     0.00
    65.00 -1000.00     0.00    -6.79    -6.11    -3.06     2.92    64.20    63.61     2.69    -2.72     8.03     7.77    -0.38     0.36  -165.83     0.00
    65.00     0.00  1000.00    -6.11    -5.43    -2.92     2.78    63.61    63.04     2.72    -2.74     7.77     7.51    -0.36     0.34     0.00   160.20
    65.00     0.00 -1000.00    -6.11    -6.79    -2.92     3.06    63.61    64.20     2.72    -2.69     7.77     8.03    -0.36     0.38     0.00  -165.83
    70.00  1000.00     0.00    -6.27    -6.97    -3.71     3.87    67.79    68.40     2.84    -2.81     8.08     8.35    -0.34     0.36   170.43     0.00
    70.00 -1000.00     0.00    -7.69    -6.97    -4.04     3.87    69.02    68.40     2.78    -2.81     8.62     8.35    -0.38     0.36  -176.40     0.00
    70.00     0.00  1000.00    -6.97    -6.27    -3.87     3.71    68.40    67.79     2.81    -2.84     8.35     8.08    -0.36     0.34     0.00   170.43
    70.00     0.00 -1000.00    -6.97    -7.69    -3.87     4.04    68.40    69.02     2.81    -2.78     8.35     8.62    -0.36     0.38     0.00  -176.40
    75.00  1000.00     0.00    -7.16    -7.89    -4.74     4.93    72.53    73.17     2.94    -2.91     8.65     8.93    -0.36     0.37   180.74     0.00
    75.00 -1000.00     0.00    -8.64    -7.89    -5.13     4.93    73.83    73.17     2.87    -2.91     9.21     8.93    -0.39     0.37  -187.08     0.00
    75.00     0.00  1000.00    -7.89    -7.16    -4.93     4.74    73.17    72.53     2.91    -2.94     8.93     8.65    -0.37     0.36     0.00   180.74
    75.00     0.00 -1000.00    -7.89    -8.64    -4.93     5.13    73.17    73.83     2.91    -2.87     8.93     9.21    -0.37     0.39     0.00  -187.08
    80.00  1000.00     0.00    -8.10    -8.87    -5.88     6.10    77.26    77.93     3.04    -3.00     9.22     9.51    -0.37     0.39   191.18     0.00
    80.00 -1000.00     0.00    -9.65    -8.87    -6.33     6.10    78.62    77.93     2.96    -3.00     9.80     9.51    -0.40     0.39  -197.95     0.00
    80.00     0.00  1000.00    -8.87    -8.10    -6.10     5.88    77.93    77.26     3.00    -3.04     9.51     9.22    -0.39     0.37     0.00   191.18
    80.00     0.00 -1000.00    -8.87    -9.65    -6.10     6.33    77.93    78.62     3.00    -2.96     9.51     9.80    -0.39     0.40     0.00  -197.95
    -5.00  1000.00     0.00     0.43     0.03    -0.55     0.54    -5.00    -5.01     1.72    -1.73    -0.73    -0.63    -0.23     0.29    -1.54     0.00
    -5.00 -1000.00     0.00    -0.37     0.03    -0.53     0.54    -5.00    -5.01     1.73    -1.73    -0.52    -0.63    -0.34     0.29    -0.24     0.00
    -5.00     0.00  1000.00     0.03     0.43    -0.54     0.55    -5.01    -5.00     1.73    -1.72    -0.63    -0.73    -0.29     0.23     0.00    -1.54
    -5.00     0.00 -1000.00     0.03    -0.37    -0.54     0.53    -5.01    -5.00     1.73    -1.73    -0.63    -0.52    -0.29     0.34     0.00    -0.24
   -10.00  1000.00     0.00     0.39    -0.01    -1.21     1.21    -9.97   -10.03     1.71    -1.72    -1.35    -1.27    -0.22     0.27   -16.59     0.00
   -10.00 -1000.00     0.00    -0.40    -0.01    -1.20     1.21   -10.09   -10.03     1.72    -1.72    -1.18    -1.27    -0.33     0.27    15.37     0.00
   -10.00     0.00  1000.00    -0.01     0.39    -1.21     1.21   -10.03    -9.97     1.72    -1.71    -1.27    -1.35    -0.27     0.22     0.00   -16.59
   -10.00     0.00 -1000.00    -0.01    -0.40    -1.21     1.20   -10.03   -10.09     1.72    -1.72    -1.27    -1.18    -0.27     0.33     0.00    15.37
   -15.00  1000.00     0.00     0.26    -0.13    -1.99     2.00   -14.95   -15.08     1.71    -1.72    -1.97    -1.91    -0.21     0.26   -32.54     0.00
   -15.00 -1000.00     0.00    -0.52    -0.13    -2.01     2.00   -15.20   -15.08     1.73    -1.72    -1.84    -1.91    -0.32     0.26    32.01     0.00
   -15.00     0.00  1000.00    -0.13     0.26    -2.00     1.99   -15.08   -14.95     1.72    -1.71    -1.91    -1.97    -0.26     0.21     0.00   -32.54
   -15.00     0.00 -1000.00    -0.13    -0.52    -2.00     2.01   -15.08   -15.20     1.72    -1.73    -1.91    -1.84    -0.26     0.32     0.00    32.01
   -20.00  1000.00     0.00     0.06    -0.33    -2.90     2.93   -19.94   -20.14     1.73    -1.75    -2.60    -2.56    -0.20     0.25   -49.53     0.00
   -20.00 -1000.00     0.00    -0.72    -0.33    -2.96     2.93   -20.34   -20.14     1.76    -1.75    -2.52    -2.56    -0.30     0.25    49.89     0.00
   -20.00     0.00  1000.00    -0.33     0.06    -2.93     2.90   -20.14   -19.94     1.75    -1.73    -2.56    -2.60    -0.25     0.20     0.00   -49.53
   -20.00     0.00 -1000.00    -0.33    -0.72    -2.93     2.96   -20.14   -20.34     1.75    -1.76    -2.56    -2.52    -0.25     0.30     0.00    49.89
   -25.00  1000.00     0.00    -0.23    -0.62    -3.94     4.00   -24.95   -25.22     1.77    -1.79    -3.23    -3.22    -0.20     0.24   -67.74     0.00
   -25.00 -1000.00     0.00    -1.01    -0.62    -4.06     4.00   -25.51   -25.22     1.81    -1.79    -3.20    -3.22    -0.29     0.24    69.23     0.00
   -25.00     0.00  1000.00    -0.62    -0.23    -4.00     3.94   -25.22   -24.95     1.79    -1.77    -3.22    -3.23    -0.24     0.20     0.00   -67.74
   -25.00     0.00 -1000.00    -0.62    -1.01    -4.00     4.06   -25.22   -25.51     1.79    -1.81    -3.22    -3.20    -0.24     0.29     0.00    69.23
   -30.00  1000.00     0.00    -0.61    -1.01    -5.14     5.23   -29.97   -30.33     1.84    -1.87    -3.86    -3.88    -0.20     0.24   -87.36     0.00
   -30.00 -1000.00     0.00    -1.41    -1.01    -5.33     5.23   -30.71   -30.33     1.89    -1.87    -3.90    -3.88    -0.29     0.24    90.34     0.00
   -30.00     0.00  1000.00    -1.01    -0.61    -5.23     5.14   -30.33   -29.97     1.87    -1.84    -3.88    -3.86    -0.24     0.20     0.00   -87.36
   -30.00     0.00 -1000.00    -1.01    -1.41    -5.23     5.33   -30.33   -30.71     1.87    -1.89    -3.88    -3.90    -0.24     0.29     0.00    90.34
   -35.00  1000.00     0.00    -1.08    -1.50    -6.48     6.62   -35.00   -35.46     1.93    -1.97    -4.50    -4.55    -0.22     0.25  -108.63     0.00
   -35.00 -1000.00     0.00    -1.92    -1.50    -6.77     6.62   -35.94   -35.46     2.01    -1.97    -4.61    -4.55    -0.29     0.25   113.61     0.00
   -35.00     0.00  1000.00    -1.50    -1.08    -6.62     6.48   -35.46   -35.00     1.97    -1.93    -4.55    -4.50    -0.25     0.22     0.00  -108.63
   -35.00     0.00 -1000.00    -1.50    -1.92    -6.62     6.77   -35.46   -35.94     1.97    -2.01    -4.55    -4.61    -0.25     0.29     0.00   113.61
   -40.00  1000.00     0.00    -1.65    -2.10    -8.00     8.20   -40.05   -40.62     2.06    -2.11    -5.14    -5.23    -0.25     0.28  -131.83     0.00
   -40.00 -1000.00     0.00    -2.56    -2.10    -8.42     8.20   -41.21   -40.62     2.16    -2.11    -5.34    -5.23    -0.31     0.28   139.54     0.00
   -40.00     0.00  1000.00    -2.10    -1.65    -8.20     8.00   -40.62   -40.05     2.11    -2.06    -5.23    -5.14    -0.28     0.25     0.00  -131.83
   -40.00     0.00 -1000.00    -2.10    -2.56    -8.20     8.42   -40.62   -41.21     2.11    -2.16    -5.23    -5.34    -0.28     0.31     0.00   139.54
   -45.00  1000.00     0.00    -2.34    -2.83    -9.71     9.99   -45.11   -45.80     2.23    -2.30    -5.77    -5.91    -0.32     0.34  -157.23     0.00
   -45.00 -1000.00     0.00    -3.33    -2.83   -10.29     9.99   -46.53   -45.80     2.37    -2.30    -6.07    -5.91    -0.35     0.34   168.78     0.00
   -45.00     0.00  1000.00    -2.83    -2.34    -9.99     9.71   -45.80   -45.11     2.30    -2.23    -5.91    -5.77    -0.34     0.32     0.00  -157.23
   -45.00     0.00 -1000.00    -2.83    -3.33    -9.99    10.29   -45.80   -46.53     2.30    -2.37    -5.91    -6.07    -0.34     0.35     0.00   168.78
   -50.00  1000.00     0.00    -3.14    -3.69   -11.63    12.01   -50.18   -51.00     2.46    -2.55    -6.39    -6.59    -0.44     0.45  -185.00     0.00
   -50.00 -1000.00     0.00    -4.27    -3.69   -12.44    12.01   -51.91   -51.00     2.66    -2.55    -6.83    -6.59    -0.44     0.45   202.08     0.00
   -50.00     0.00  1000.00    -3.69    -3.14   -12.01    11.63   -51.00   -50.18     2.55    -2.46    -6.59    -6.39    -0.45     0.44     0.00  -185.00
   -50.00     0.00 -1000.00    -3.69    -4.27   -12.01    12.44   -51.00   -51.91     2.55    -2.66    -6.59    -6.83    -0.45     0.44     0.00   202.08
   -55.00  1000.00     0.00    -4.07    -4.70   -13.81    14.33   -55.27   -56.24     2.76    -2.89    -6.98    -7.26    -0.65     0.64  -214.87     0.00
   -55.00 -1000.00     0.00    -5.40    -4.70   -14.93    14.33   -57.34   -56.24     3.04    -2.89    -7.59    -7.26    -0.61     0.64   239.92     0.00
   -55.00     0.00  1000.00    -4.70    -4.07   -14.33    13.81   -56.24   -55.27     2.89    -2.76    -7.26    -6.98    -0.64     0.65     0.00  -214.87
   -55.00     0.00 -1000.00    -4.70    -5.40   -14.33    14.93   -56.24   -57.34     2.89    -3.04    -7.26    -7.59    -0.64     0.61     0.00   239.92
   -60.00  1000.00     0.00    -5.12    -5.88   -16.31    17.02   -60.36   -61.51     3.17    -3.36    -7.52    -7.88    -1.01     0.99  -244.52     0.00
   -60.00 -1000.00     0.00    -6.74    -5.88   -17.87    17.02   -62.84   -61.51     3.58    -3.36    -8.33    -7.88    -0.93     0.99   280.10     0.00
   -60.00     0.00  1000.00    -5.88    -5.12   -17.02    16.31   -61.51   -60.36     3.36    -3.17    -7.88    -7.52    -0.99     1.01     0.00  -244.52
   -60.00     0.00 -1000.00    -5.88    -6.74   -17.02    17.87   -61.51   -62.84     3.36    -3.58    -7.88    -8.33    -0.99     0.93     0.00   280.10
   -65.00  1000.00     0.00    -6.29    -7.18   -19.31    20.26   -65.51   -66.78     3.77    -4.04    -7.91    -8.36    -1.75     1.72  -260.93     0.00
   -65.00 -1000.00     0.00    -8.26    -7.18   -21.46    20.26   -68.29   -66.78     4.38    -4.04    -8.97    -8.36    -1.62     1.72   298.64     0.00
   -65.00     0.00  1000.00    -7.18    -6.29   -20.26    19.31   -66.78   -65.51     4.04    -3.77    -8.36    -7.91    -1.72     1.75     0.00  -260.93
   -65.00     0.00 -1000.00    -7.18    -8.26   -20.26    21.46   -66.78   -68.29     4.04    -4.38    -8.36    -8.97    -1.72     1.62     0.00   298.64
   -75.00  1000.00     0.00    -3.92    -7.54   -29.76    28.11   -71.69   -74.04     5.80    -6.00    -3.44    -6.90   -13.00     7.19 -1035.24  -658.47
   -75.00 -1000.00     0.00    -9.75    -7.54   -27.73    28.11   -75.14   -74.04     5.93    -6.00    -9.09    -6.90    -4.00     7.19  -568.85  -658.47
   -75.00     0.00  1000.00    -7.54    -3.92   -28.11    29.76   -74.04   -71.69     6.00    -5.80    -6.90    -3.44    -7.19    13.00  -658.47 -1035.24
   -75.00     0.00 -1000.00    -7.54    -9.75   -28.11    27.73   -74.04   -75.14     6.00    -5.93    -6.90    -9.09    -7.19     4.00  -658.47  -568.85
   -80.00  1000.00     0.00    -5.24    -7.80   -29.74    29.00   -74.26   -75.69     5.94    -6.03    -4.95    -7.30   -10.46     6.77 -1706.68 -1511.53
   -80.00 -1000.00     0.00    -9.92    -7.80   -29.10    29.00   -76.84   -75.69     6.11    -6.03    -9.21    -7.30    -4.19     6.77 -1397.83 -1511.53
   -80.00     0.00  1000.00    -7.80    -5.24   -29.00    29.74   -75.69   -74.26     6.03    -5.94    -7.30    -4.95    -6.77    10.46 -1511.53 -1706.68
   -80.00     0.00 -1000.00    -7.80    -9.92   -29.00    29.10   -75.69   -76.84     6.03    -6.11    -7.30    -9.21    -6.77     4.19 -1511.53 -1397.83
