
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.16     0.14    -1.88     1.55    23.80    20.87     0.84    -0.73     0.01     0.00    -0.10     0.09  1138.82  2084.67
    30.00  1000.00     0.00     0.23     0.21    -2.89     2.48    31.44    28.53     1.13    -1.02     0.01     0.01    -0.15     0.13   281.96  1223.27
    30.00 -1000.00     0.00     0.18     0.21    -2.10     2.48    25.60    28.53     0.91    -1.02     0.01     0.01    -0.11     0.13  2166.53  1223.27
    30.00     0.00  1000.00     0.21     0.23    -2.48     2.89    28.53    31.44     1.02    -1.13     0.01     0.01    -0.13     0.15  1223.27   281.96
    30.00     0.00 -1000.00     0.21     0.18    -2.48     2.10    28.53    25.60     1.02    -0.91     0.01     0.01    -0.13     0.11  1223.27  2166.53
    35.00  1000.00     0.00     0.28     0.25    -3.60     3.15    36.15    33.24     1.31    -1.20     0.02     0.01    -0.18     0.16   372.35  1311.04
    35.00 -1000.00     0.00     0.22     0.25    -2.73     3.15    30.33    33.24     1.09    -1.20     0.01     0.01    -0.14     0.16  2251.69  1311.04
    35.00     0.00  1000.00     0.25     0.28    -3.15     3.60    33.24    36.15     1.20    -1.31     0.01     0.02    -0.16     0.18  1311.04   372.35
    35.00     0.00 -1000.00     0.25     0.22    -3.15     2.73    33.24    30.33     1.20    -1.09     0.01     0.01    -0.16     0.14  1311.04  2251.69
    40.00  1000.00     0.00     0.34     0.30    -4.39     3.89    40.84    37.94     1.50    -1.39     0.02     0.02    -0.21     0.19   465.91  1402.06
    40.00 -1000.00     0.00     0.27     0.30    -3.42     3.89    35.04    37.94     1.27    -1.39     0.02     0.02    -0.17     0.19  2340.13  1402.06
    40.00     0.00  1000.00     0.30     0.34    -3.89     4.39    37.94    40.84     1.39    -1.50     0.02     0.02    -0.19     0.21  1402.06   465.91
    40.00     0.00 -1000.00     0.30     0.27    -3.89     3.42    37.94    35.04     1.39    -1.27     0.02     0.02    -0.19     0.17  1402.06  2340.13
    45.00  1000.00     0.00     0.39     0.36    -5.24     4.70    45.52    42.63     1.69    -1.57     0.03     0.03    -0.25     0.23   562.38  1496.13
    45.00 -1000.00     0.00     0.32     0.36    -4.19     4.70    39.74    42.63     1.46    -1.57     0.02     0.03    -0.21     0.23  2431.73  1496.13
    45.00     0.00  1000.00     0.36     0.39    -4.70     5.24    42.63    45.52     1.57    -1.69     0.03     0.03    -0.23     0.25  1496.13   562.38
    45.00     0.00 -1000.00     0.36     0.32    -4.70     4.19    42.63    39.74     1.57    -1.46     0.03     0.02    -0.23     0.21  1496.13  2431.73
    50.00  1000.00     0.00     0.45     0.41    -6.17     5.59    50.20    47.31     1.89    -1.77     0.04     0.04    -0.28     0.26   661.32  1592.94
    50.00 -1000.00     0.00     0.38     0.41    -5.03     5.59    44.43    47.31     1.65    -1.77     0.03     0.04    -0.24     0.26  2526.24  1592.94
    50.00     0.00  1000.00     0.41     0.45    -5.59     6.17    47.31    50.20     1.77    -1.89     0.04     0.04    -0.26     0.28  1592.94   661.32
    50.00     0.00 -1000.00     0.41     0.38    -5.59     5.03    47.31    44.43     1.77    -1.65     0.04     0.03    -0.26     0.24  1592.94  2526.24
    55.00  1000.00     0.00     0.52     0.48    -7.18     6.55    54.86    51.98     2.09    -1.97     0.05     0.04    -0.32     0.30   762.08  1691.95
    55.00 -1000.00     0.00     0.44     0.48    -5.95     6.55    49.10    51.98     1.85    -1.97     0.04     0.04    -0.28     0.30  2623.27  1691.95
    55.00     0.00  1000.00     0.48     0.52    -6.55     7.18    51.98    54.86     1.97    -2.09     0.04     0.05    -0.30     0.32  1691.95   762.08
    55.00     0.00 -1000.00     0.48     0.44    -6.55     5.95    51.98    49.10     1.97    -1.85     0.04     0.04    -0.30     0.28  1691.95  2623.27
    60.00  1000.00     0.00     0.59     0.54    -8.25     7.58    59.52    56.65     2.29    -2.17     0.06     0.06    -0.37     0.34   863.66  1792.41
    60.00 -1000.00     0.00     0.50     0.54    -6.94     7.58    53.77    56.65     2.05    -2.17     0.05     0.06    -0.32     0.34  2722.21  1792.41
    60.00     0.00  1000.00     0.54     0.59    -7.58     8.25    56.65    59.52     2.17    -2.29     0.06     0.06    -0.34     0.37  1792.41   863.66
    60.00     0.00 -1000.00     0.54     0.50    -7.58     6.94    56.65    53.77     2.17    -2.05     0.06     0.05    -0.34     0.32  1792.41  2722.21
    -5.00  1000.00     0.00     0.10    -0.02    -1.00    -0.15    15.38    -4.79     0.53     0.16     0.00     0.00    -0.06    -0.01     0.00   698.97
    -5.00 -1000.00     0.00    -0.04    -0.02     0.21    -0.15    -7.77    -4.79    -0.25     0.16     0.00     0.00     0.02    -0.01  1658.51   698.97
    -5.00     0.00  1000.00    -0.02     0.10     0.15     1.00    -4.79    15.38    -0.16    -0.53     0.00     0.00     0.01     0.06   698.97     0.00
    -5.00     0.00 -1000.00    -0.02    -0.04     0.15    -0.21    -4.79    -7.77    -0.16     0.25     0.00     0.00     0.01    -0.02   698.97  1658.51
   -10.00  1000.00     0.00     0.10    -0.04    -1.00    -0.23    15.38    -9.59     0.53     0.31     0.00     0.00    -0.06    -0.03     0.00   635.58
   -10.00 -1000.00     0.00    -0.05    -0.04     0.24    -0.23   -12.58    -9.59    -0.41     0.31     0.00     0.00     0.03    -0.03  1596.97   635.58
   -10.00     0.00  1000.00    -0.04     0.10     0.23     1.00    -9.59    15.38    -0.31    -0.53     0.00     0.00     0.03     0.06   635.58     0.00
   -10.00     0.00 -1000.00    -0.04    -0.05     0.23    -0.24    -9.59   -12.58    -0.31     0.41     0.00     0.00     0.03    -0.03   635.58  1596.97
   -15.00  1000.00     0.00     0.10    -0.06    -1.00    -0.23    15.38   -14.40     0.53     0.46     0.00     0.00    -0.06    -0.04     0.00   574.57
   -15.00 -1000.00     0.00    -0.07    -0.06     0.20    -0.23   -17.39   -14.40    -0.56     0.46     0.00     0.00     0.04    -0.04  1537.66   574.57
   -15.00     0.00  1000.00    -0.06     0.10     0.23     1.00   -14.40    15.38    -0.46    -0.53     0.00     0.00     0.04     0.06   574.57     0.00
   -15.00     0.00 -1000.00    -0.06    -0.07     0.23    -0.20   -14.40   -17.39    -0.46     0.56     0.00     0.00     0.04    -0.04   574.57  1537.66
   -20.00  1000.00     0.00     0.10    -0.07    -1.00    -0.16    15.38   -19.22     0.53     0.61     0.00     0.01    -0.06    -0.04     0.00   515.73
   -20.00 -1000.00     0.00    -0.08    -0.07     0.07    -0.16   -22.22   -19.22    -0.70     0.61     0.01     0.01     0.05    -0.04  1480.37   515.73
   -20.00     0.00  1000.00    -0.07     0.10     0.16     1.00   -19.22    15.38    -0.61    -0.53     0.01     0.00     0.04     0.06   515.73     0.00
   -20.00     0.00 -1000.00    -0.07    -0.08     0.16    -0.07   -19.22   -22.22    -0.61     0.70     0.01     0.01     0.04    -0.05   515.73  1480.37
   -25.00  1000.00     0.00     0.10    -0.09    -1.00    -0.01    15.38   -24.04     0.53     0.76     0.00     0.01    -0.06    -0.05     0.00   458.86
   -25.00 -1000.00     0.00    -0.09    -0.09    -0.13    -0.01   -27.04   -24.04    -0.85     0.76     0.01     0.01     0.05    -0.05  1424.90   458.86
   -25.00     0.00  1000.00    -0.09     0.10     0.01     1.00   -24.04    15.38    -0.76    -0.53     0.01     0.00     0.05     0.06   458.86     0.00
   -25.00     0.00 -1000.00    -0.09    -0.09     0.01     0.13   -24.04   -27.04    -0.76     0.85     0.01     0.01     0.05    -0.05   458.86  1424.90
