
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.16     0.13    -1.88     1.78    23.80    23.46     0.84    -0.83     0.01     0.01    -0.10     0.07  1138.82  1249.63
    30.00  1000.00     0.00     0.17     0.21    -2.37     2.48    28.14    28.53     1.00    -1.02     0.01     0.01    -0.10     0.13  1348.40  1223.27
    30.00 -1000.00     0.00     0.24     0.21    -2.60     2.48    28.92    28.53     1.03    -1.02     0.01     0.01    -0.16     0.13  1095.66  1223.27
    30.00     0.00  1000.00     0.21     0.24    -2.48     2.60    28.53    28.92     1.02    -1.03     0.01     0.01    -0.13     0.16  1223.27  1095.66
    30.00     0.00 -1000.00     0.21     0.17    -2.48     2.37    28.53    28.14     1.02    -1.00     0.01     0.01    -0.13     0.10  1223.27  1348.40
    35.00  1000.00     0.00     0.22     0.25    -3.02     3.15    32.81    33.24     1.18    -1.20     0.01     0.01    -0.13     0.16  1450.44  1311.04
    35.00 -1000.00     0.00     0.29     0.25    -3.28     3.15    33.68    33.24     1.22    -1.20     0.02     0.01    -0.19     0.16  1168.88  1311.04
    35.00     0.00  1000.00     0.25     0.29    -3.15     3.28    33.24    33.68     1.20    -1.22     0.01     0.02    -0.16     0.19  1311.04  1168.88
    35.00     0.00 -1000.00     0.25     0.22    -3.15     3.02    33.24    32.81     1.20    -1.18     0.01     0.01    -0.16     0.13  1311.04  1450.44
    40.00  1000.00     0.00     0.27     0.30    -3.75     3.89    37.47    37.94     1.37    -1.39     0.02     0.02    -0.16     0.19  1555.68  1402.06
    40.00 -1000.00     0.00     0.34     0.30    -4.03     3.89    38.43    37.94     1.40    -1.39     0.02     0.02    -0.22     0.19  1245.39  1402.06
    40.00     0.00  1000.00     0.30     0.34    -3.89     4.03    37.94    38.43     1.39    -1.40     0.02     0.02    -0.19     0.22  1402.06  1245.39
    40.00     0.00 -1000.00     0.30     0.27    -3.89     3.75    37.94    37.47     1.39    -1.37     0.02     0.02    -0.19     0.16  1402.06  1555.68
    45.00  1000.00     0.00     0.32     0.36    -4.55     4.70    42.11    42.63     1.56    -1.57     0.03     0.03    -0.19     0.23  1663.96  1496.13
    45.00 -1000.00     0.00     0.39     0.36    -4.86     4.70    43.16    42.63     1.59    -1.57     0.03     0.03    -0.26     0.23  1324.96  1496.13
    45.00     0.00  1000.00     0.36     0.39    -4.70     4.86    42.63    43.16     1.57    -1.59     0.03     0.03    -0.23     0.26  1496.13  1324.96
    45.00     0.00 -1000.00     0.36     0.32    -4.70     4.55    42.63    42.11     1.57    -1.56     0.03     0.03    -0.23     0.19  1496.13  1663.96
    50.00  1000.00     0.00     0.38     0.41    -5.42     5.59    46.75    47.31     1.75    -1.77     0.03     0.04    -0.23     0.26  1775.01  1592.94
    50.00 -1000.00     0.00     0.45     0.41    -5.77     5.59    47.89    47.31     1.79    -1.77     0.04     0.04    -0.30     0.26  1407.22  1592.94
    50.00     0.00  1000.00     0.41     0.45    -5.59     5.77    47.31    47.89     1.77    -1.79     0.04     0.04    -0.26     0.30  1592.94  1407.22
    50.00     0.00 -1000.00     0.41     0.38    -5.59     5.42    47.31    46.75     1.77    -1.75     0.04     0.03    -0.26     0.23  1592.94  1775.01
    55.00  1000.00     0.00     0.44     0.48    -6.36     6.55    51.38    51.98     1.94    -1.97     0.04     0.04    -0.27     0.30  1888.35  1691.95
    55.00 -1000.00     0.00     0.52     0.48    -6.74     6.55    52.60    51.98     1.99    -1.97     0.05     0.04    -0.33     0.30  1491.59  1691.95
    55.00     0.00  1000.00     0.48     0.52    -6.55     6.74    51.98    52.60     1.97    -1.99     0.04     0.05    -0.30     0.33  1691.95  1491.59
    55.00     0.00 -1000.00     0.48     0.44    -6.55     6.36    51.98    51.38     1.97    -1.94     0.04     0.04    -0.30     0.27  1691.95  1888.35
    60.00  1000.00     0.00     0.50     0.54    -7.37     7.58    56.00    56.65     2.14    -2.17     0.05     0.06    -0.31     0.34  2003.28  1792.41
    60.00 -1000.00     0.00     0.58     0.54    -7.80     7.58    57.31    56.65     2.19    -2.17     0.06     0.06    -0.38     0.34  1577.22  1792.41
    60.00     0.00  1000.00     0.54     0.58    -7.58     7.80    56.65    57.31     2.17    -2.19     0.06     0.06    -0.34     0.38  1792.41  1577.22
    60.00     0.00 -1000.00     0.54     0.50    -7.58     7.37    56.65    56.00     2.17    -2.14     0.06     0.05    -0.34     0.31  1792.41  2003.28
    -5.00  1000.00     0.00    -0.05    -0.02     0.22    -0.15    -4.86    -4.79    -0.16     0.16     0.00     0.00     0.04    -0.01   721.97   698.97
    -5.00 -1000.00     0.00     0.01    -0.02     0.09    -0.15    -4.72    -4.79    -0.15     0.16     0.00     0.00    -0.02    -0.01   675.52   698.97
    -5.00     0.00  1000.00    -0.02     0.01     0.15    -0.09    -4.79    -4.72    -0.16     0.15     0.00     0.00     0.01     0.02   698.97   675.52
    -5.00     0.00 -1000.00    -0.02    -0.05     0.15    -0.22    -4.79    -4.86    -0.16     0.16     0.00     0.00     0.01    -0.04   698.97   721.97
   -10.00  1000.00     0.00    -0.07    -0.04     0.29    -0.23    -9.62    -9.59    -0.32     0.31     0.00     0.00     0.06    -0.03   643.58   635.58
   -10.00 -1000.00     0.00    -0.01    -0.04     0.17    -0.23    -9.57    -9.59    -0.31     0.31     0.00     0.00     0.00    -0.03   627.44   635.58
   -10.00     0.00  1000.00    -0.04    -0.01     0.23    -0.17    -9.59    -9.57    -0.31     0.31     0.00     0.00     0.03     0.00   635.58   627.44
   -10.00     0.00 -1000.00    -0.04    -0.07     0.23    -0.29    -9.59    -9.62    -0.31     0.32     0.00     0.00     0.03    -0.06   635.58   643.58
   -15.00  1000.00     0.00    -0.09    -0.06     0.29    -0.23   -14.38   -14.40    -0.47     0.46     0.00     0.00     0.07    -0.04   567.45   574.57
   -15.00 -1000.00     0.00    -0.03    -0.06     0.17    -0.23   -14.42   -14.40    -0.46     0.46     0.00     0.00     0.01    -0.04   581.85   574.57
   -15.00     0.00  1000.00    -0.06    -0.03     0.23    -0.17   -14.40   -14.42    -0.46     0.46     0.00     0.00     0.04    -0.01   574.57   581.85
   -15.00     0.00 -1000.00    -0.06    -0.09     0.23    -0.29   -14.40   -14.38    -0.46     0.47     0.00     0.00     0.04    -0.07   574.57   567.45
   -20.00  1000.00     0.00    -0.10    -0.07     0.22    -0.16   -19.15   -19.22    -0.61     0.61     0.01     0.01     0.07    -0.04   493.38   515.73
   -20.00 -1000.00     0.00    -0.05    -0.07     0.10    -0.16   -19.29   -19.22    -0.61     0.61     0.00     0.01     0.01    -0.04   538.56   515.73
   -20.00     0.00  1000.00    -0.07    -0.05     0.16    -0.10   -19.22   -19.29    -0.61     0.61     0.01     0.00     0.04    -0.01   515.73   538.56
   -20.00     0.00 -1000.00    -0.07    -0.10     0.16    -0.22   -19.22   -19.15    -0.61     0.61     0.01     0.01     0.04    -0.07   515.73   493.38
   -25.00  1000.00     0.00    -0.12    -0.09     0.07    -0.01   -23.92   -24.04    -0.76     0.76     0.01     0.01     0.08    -0.05   421.15   458.86
   -25.00 -1000.00     0.00    -0.06    -0.09    -0.06    -0.01   -24.16   -24.04    -0.76     0.76     0.01     0.01     0.02    -0.05   497.37   458.86
   -25.00     0.00  1000.00    -0.09    -0.06     0.01     0.06   -24.04   -24.16    -0.76     0.76     0.01     0.01     0.05    -0.02   458.86   497.37
   -25.00     0.00 -1000.00    -0.09    -0.12     0.01    -0.07   -24.04   -23.92    -0.76     0.76     0.01     0.01     0.05    -0.08   458.86   421.15
