
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    25.00     0.00 -1000.00     0.16    -0.40    -1.88     1.85    23.80    23.78     0.84    -0.84     0.01     0.09    -0.10     0.03  1138.82  1146.69
    30.00  1000.00     0.00     0.77     0.21    -2.51     2.48    28.56    28.53     1.02    -1.02    -0.08     0.01    -0.20     0.13  1214.04  1223.27
    30.00 -1000.00     0.00    -0.36     0.21    -2.45     2.48    28.50    28.53     1.02    -1.02     0.10     0.01    -0.06     0.13  1231.83  1223.27
    30.00     0.00  1000.00     0.21     0.77    -2.48     2.51    28.53    28.56     1.02    -1.02     0.01    -0.08    -0.13     0.20  1223.27  1214.04
    30.00     0.00 -1000.00     0.21    -0.36    -2.48     2.45    28.53    28.50     1.02    -1.02     0.01     0.10    -0.13     0.06  1223.27  1231.83
    35.00  1000.00     0.00     0.82     0.25    -3.18     3.15    33.27    33.24     1.20    -1.20    -0.08     0.01    -0.23     0.16  1301.08  1311.04
    35.00 -1000.00     0.00    -0.32     0.25    -3.12     3.15    33.21    33.24     1.20    -1.20     0.11     0.01    -0.09     0.16  1320.32  1311.04
    35.00     0.00  1000.00     0.25     0.82    -3.15     3.18    33.24    33.27     1.20    -1.20     0.01    -0.08    -0.16     0.23  1311.04  1301.08
    35.00     0.00 -1000.00     0.25    -0.32    -3.15     3.12    33.24    33.21     1.20    -1.20     0.01     0.11    -0.16     0.09  1311.04  1320.32
    40.00  1000.00     0.00     0.88     0.30    -3.93     3.89    37.98    37.94     1.39    -1.39    -0.08     0.02    -0.27     0.19  1391.34  1402.06
    40.00 -1000.00     0.00    -0.27     0.30    -3.86     3.89    37.91    37.94     1.38    -1.39     0.12     0.02    -0.12     0.19  1412.07  1402.06
    40.00     0.00  1000.00     0.30     0.88    -3.89     3.93    37.94    37.98     1.39    -1.39     0.02    -0.08    -0.19     0.27  1402.06  1391.34
    40.00     0.00 -1000.00     0.30    -0.27    -3.89     3.86    37.94    37.91     1.39    -1.38     0.02     0.12    -0.19     0.12  1402.06  1412.07
    45.00  1000.00     0.00     0.93     0.36    -4.74     4.70    42.67    42.63     1.58    -1.57    -0.07     0.03    -0.30     0.23  1484.63  1496.13
    45.00 -1000.00     0.00    -0.22     0.36    -4.67     4.70    42.60    42.63     1.57    -1.57     0.13     0.03    -0.15     0.23  1506.90  1496.13
    45.00     0.00  1000.00     0.36     0.93    -4.70     4.74    42.63    42.67     1.57    -1.58     0.03    -0.07    -0.23     0.30  1496.13  1484.63
    45.00     0.00 -1000.00     0.36    -0.22    -4.70     4.67    42.63    42.60     1.57    -1.57     0.03     0.13    -0.23     0.15  1496.13  1506.90
    50.00  1000.00     0.00     0.99     0.41    -5.63     5.59    47.35    47.31     1.77    -1.77    -0.07     0.04    -0.34     0.26  1580.63  1592.94
    50.00 -1000.00     0.00    -0.17     0.41    -5.55     5.59    47.28    47.31     1.76    -1.77     0.14     0.04    -0.18     0.26  1604.48  1592.94
    50.00     0.00  1000.00     0.41     0.99    -5.59     5.63    47.31    47.35     1.77    -1.77     0.04    -0.07    -0.26     0.34  1592.94  1580.63
    50.00     0.00 -1000.00     0.41    -0.17    -5.59     5.55    47.31    47.28     1.77    -1.76     0.04     0.14    -0.26     0.18  1592.94  1604.48
    55.00  1000.00     0.00     1.06     0.48    -6.59     6.55    52.03    51.98     1.97    -1.97    -0.06     0.04    -0.38     0.30  1678.82  1691.95
    55.00 -1000.00     0.00    -0.11     0.48    -6.51     6.55    51.95    51.98     1.96    -1.97     0.15     0.04    -0.22     0.30  1704.31  1691.95
    55.00     0.00  1000.00     0.48     1.06    -6.55     6.59    51.98    52.03     1.97    -1.97     0.04    -0.06    -0.30     0.38  1691.95  1678.82
    55.00     0.00 -1000.00     0.48    -0.11    -6.55     6.51    51.98    51.95     1.97    -1.96     0.04     0.15    -0.30     0.22  1691.95  1704.31
    60.00  1000.00     0.00     1.13     0.54    -7.62     7.58    56.69    56.65     2.17    -2.17    -0.05     0.06    -0.43     0.34  1778.42  1792.41
    60.00 -1000.00     0.00    -0.05     0.54    -7.54     7.58    56.61    56.65     2.16    -2.17     0.16     0.06    -0.26     0.34  1805.60  1792.41
    60.00     0.00  1000.00     0.54     1.13    -7.58     7.62    56.65    56.69     2.17    -2.17     0.06    -0.05    -0.34     0.43  1792.41  1778.42
    60.00     0.00 -1000.00     0.54    -0.05    -7.58     7.54    56.65    56.61     2.17    -2.16     0.06     0.16    -0.34     0.26  1792.41  1805.60
    -5.00  1000.00     0.00     0.52    -0.02     0.12    -0.15    -4.78    -4.79    -0.16     0.16    -0.07     0.00    -0.05    -0.01   694.39   698.97
    -5.00 -1000.00     0.00    -0.57    -0.02     0.18    -0.15    -4.80    -4.79    -0.16     0.16     0.07     0.00     0.08    -0.01   703.04   698.97
    -5.00     0.00  1000.00    -0.02     0.52     0.15    -0.12    -4.79    -4.78    -0.16     0.16     0.00    -0.07     0.01     0.05   698.97   694.39
    -5.00     0.00 -1000.00    -0.02    -0.57     0.15    -0.18    -4.79    -4.80    -0.16     0.16     0.00     0.07     0.01    -0.08   698.97   703.04
   -10.00  1000.00     0.00     0.50    -0.04     0.20    -0.23    -9.58    -9.59    -0.31     0.31    -0.06     0.00    -0.04    -0.03   631.61   635.58
   -10.00 -1000.00     0.00    -0.59    -0.04     0.26    -0.23    -9.60    -9.59    -0.31     0.31     0.07     0.00     0.09    -0.03   639.07   635.58
   -10.00     0.00  1000.00    -0.04     0.50     0.23    -0.20    -9.59    -9.58    -0.31     0.31     0.00    -0.06     0.03     0.04   635.58   631.61
   -10.00     0.00 -1000.00    -0.04    -0.59     0.23    -0.26    -9.59    -9.60    -0.31     0.31     0.00     0.07     0.03    -0.09   635.58   639.07
   -15.00  1000.00     0.00     0.48    -0.06     0.20    -0.23   -14.39   -14.40    -0.46     0.46    -0.06     0.00    -0.03    -0.04   571.20   574.57
   -15.00 -1000.00     0.00    -0.60    -0.06     0.26    -0.23   -14.41   -14.40    -0.46     0.46     0.07     0.00     0.10    -0.04   577.49   574.57
   -15.00     0.00  1000.00    -0.06     0.48     0.23    -0.20   -14.40   -14.39    -0.46     0.46     0.00    -0.06     0.04     0.03   574.57   571.20
   -15.00     0.00 -1000.00    -0.06    -0.60     0.23    -0.26   -14.40   -14.41    -0.46     0.46     0.00     0.07     0.04    -0.10   574.57   577.49
   -20.00  1000.00     0.00     0.46    -0.07     0.13    -0.16   -19.21   -19.22    -0.61     0.61    -0.05     0.01    -0.02    -0.04   512.95   515.73
   -20.00 -1000.00     0.00    -0.61    -0.07     0.19    -0.16   -19.23   -19.22    -0.61     0.61     0.06     0.01     0.11    -0.04   518.10   515.73
   -20.00     0.00  1000.00    -0.07     0.46     0.16    -0.13   -19.22   -19.21    -0.61     0.61     0.01    -0.05     0.04     0.02   515.73   512.95
   -20.00     0.00 -1000.00    -0.07    -0.61     0.16    -0.19   -19.22   -19.23    -0.61     0.61     0.01     0.06     0.04    -0.11   515.73   518.10
   -25.00  1000.00     0.00     0.45    -0.09    -0.02    -0.01   -24.03   -24.04    -0.76     0.76    -0.05     0.01    -0.01    -0.05   456.65   458.86
   -25.00 -1000.00     0.00    -0.62    -0.09     0.04    -0.01   -24.05   -24.04    -0.76     0.76     0.06     0.01     0.11    -0.05   460.68   458.86
   -25.00     0.00  1000.00    -0.09     0.45     0.01     0.02   -24.04   -24.03    -0.76     0.76     0.01    -0.05     0.05     0.01   458.86   456.65
   -25.00     0.00 -1000.00    -0.09    -0.62     0.01    -0.04   -24.04   -24.05    -0.76     0.76     0.01     0.06     0.05    -0.11   458.86   460.68
