
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    55.00  -100.00     0.00     0.63     0.48    -6.61     6.55    52.03    51.98     1.99    -1.97    -0.01     0.04    -0.39     0.30  1677.80  1691.95
    55.00     0.00   100.00     0.48     0.63    -6.55     6.61    51.98    52.03     1.97    -1.99     0.04    -0.01    -0.30     0.39  1691.95  1677.80
    55.00     0.00  -100.00     0.48     0.33    -6.55     6.49    51.98    51.94     1.97    -1.95     0.04     0.10    -0.30     0.21  1691.95  1705.48
    60.00   100.00     0.00     0.39     0.54    -7.52     7.58    56.61    56.65     2.15    -2.17     0.12     0.06    -0.25     0.34  1806.76  1792.41
    60.00  -100.00     0.00     0.70     0.54    -7.64     7.58    56.69    56.65     2.19    -2.17     0.00     0.06    -0.44     0.34  1777.37  1792.41
    60.00     0.00   100.00     0.54     0.70    -7.58     7.64    56.65    56.69     2.17    -2.19     0.06     0.00    -0.34     0.44  1792.41  1777.37
    60.00     0.00  -100.00     0.54     0.39    -7.58     7.52    56.65    56.61     2.17    -2.15     0.06     0.12    -0.34     0.25  1792.41  1806.76
    -5.00   100.00     0.00    -0.13    -0.02     0.21    -0.15    -4.81    -4.79    -0.17     0.16    -0.01     0.00     0.09    -0.01   703.55   698.97
    -5.00  -100.00     0.00     0.09    -0.02     0.10    -0.15    -4.78    -4.79    -0.14     0.16     0.01     0.00    -0.07    -0.01   694.38   698.97
    -5.00     0.00   100.00    -0.02     0.09     0.15    -0.10    -4.79    -4.78    -0.16     0.14     0.00     0.01     0.01     0.07   698.97   694.38
    -5.00     0.00  -100.00    -0.02    -0.13     0.15    -0.21    -4.79    -4.81    -0.16     0.17     0.00    -0.01     0.01    -0.09   698.97   703.55
   -10.00   100.00     0.00    -0.15    -0.04     0.28    -0.23    -9.60    -9.59    -0.33     0.31    -0.01     0.00     0.11    -0.03   639.47   635.58
   -10.00  -100.00     0.00     0.07    -0.04     0.18    -0.23    -9.58    -9.59    -0.30     0.31     0.01     0.00    -0.05    -0.03   631.75   635.58
   -10.00     0.00   100.00    -0.04     0.07     0.23    -0.18    -9.59    -9.58    -0.31     0.30     0.00     0.01     0.03     0.05   635.58   631.75
   -10.00     0.00  -100.00    -0.04    -0.15     0.23    -0.28    -9.59    -9.60    -0.31     0.33     0.00    -0.01     0.03    -0.11   635.58   639.47
   -15.00   100.00     0.00    -0.17    -0.06     0.29    -0.23   -14.41   -14.40    -0.48     0.46    -0.01     0.00     0.12    -0.04   577.77   574.57
   -15.00  -100.00     0.00     0.05    -0.06     0.18    -0.23   -14.39   -14.40    -0.45     0.46     0.02     0.00    -0.04    -0.04   571.50   574.57
   -15.00     0.00   100.00    -0.06     0.05     0.23    -0.18   -14.40   -14.39    -0.46     0.45     0.00     0.02     0.04     0.04   574.57   571.50
   -15.00     0.00  -100.00    -0.06    -0.17     0.23    -0.29   -14.40   -14.41    -0.46     0.48     0.00    -0.01     0.04    -0.12   574.57   577.77
   -20.00   100.00     0.00    -0.18    -0.07     0.21    -0.16   -19.23   -19.22    -0.63     0.61    -0.02     0.01     0.13    -0.04   518.24   515.73
   -20.00  -100.00     0.00     0.03    -0.07     0.11    -0.16   -19.21   -19.22    -0.60     0.61     0.03     0.01    -0.04    -0.04   513.41   515.73
   -20.00     0.00   100.00    -0.07     0.03     0.16    -0.11   -19.22   -19.21    -0.61     0.60     0.01     0.03     0.04     0.04   515.73   513.41
   -20.00     0.00  -100.00    -0.07    -0.18     0.16    -0.21   -19.22   -19.23    -0.61     0.63     0.01    -0.02     0.04    -0.13   515.73   518.24
   -25.00   100.00     0.00    -0.19    -0.09     0.06    -0.01   -24.05   -24.04    -0.77     0.76    -0.02     0.01     0.13    -0.05   460.69   458.86
   -25.00  -100.00     0.00     0.02    -0.09    -0.04    -0.01   -24.04   -24.04    -0.74     0.76     0.04     0.01    -0.03    -0.05   457.30   458.86
   -25.00     0.00   100.00    -0.09     0.02     0.01     0.04   -24.04   -24.04    -0.76     0.74     0.01     0.04     0.05     0.03   458.86   457.30
   -25.00     0.00  -100.00    -0.09    -0.19     0.01    -0.06   -24.04   -24.05    -0.76     0.77     0.01    -0.02     0.05    -0.13   458.86   460.69
