
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    25.00   100.00     0.00     0.17     0.16    -1.91     1.88    23.99    23.80     0.89    -0.84     0.00     0.01    -0.12     0.10  1077.32  1138.82
    25.00  -100.00     0.00     0.16     0.16    -1.86     1.88    23.61    23.80     0.79    -0.84     0.01     0.01    -0.08     0.10  1200.32  1138.82
    25.00     0.00   100.00     0.16     0.16    -1.88     1.86    23.80    23.61     0.84    -0.79     0.01     0.01    -0.10     0.08  1138.82  1200.32
    25.00     0.00  -100.00     0.16     0.17    -1.88     1.91    23.80    23.99     0.84    -0.89     0.01     0.00    -0.10     0.12  1138.82  1077.32
    30.00   100.00     0.00     0.21     0.21    -2.51     2.48    28.72    28.53     1.07    -1.02     0.01     0.01    -0.15     0.13  1160.54  1223.27
    30.00  -100.00     0.00     0.20     0.21    -2.46     2.48    28.34    28.53     0.97    -1.02     0.01     0.01    -0.11     0.13  1285.98  1223.27
    30.00     0.00   100.00     0.21     0.20    -2.48     2.46    28.53    28.34     1.02    -0.97     0.01     0.01    -0.13     0.11  1223.27  1285.98
    30.00     0.00  -100.00     0.21     0.21    -2.48     2.51    28.53    28.72     1.02    -1.07     0.01     0.01    -0.13     0.15  1223.27  1160.54
    35.00   100.00     0.00     0.26     0.25    -3.18     3.15    33.44    33.24     1.25    -1.20     0.01     0.01    -0.18     0.16  1247.06  1311.04
    35.00  -100.00     0.00     0.25     0.25    -3.12     3.15    33.05    33.24     1.15    -1.20     0.02     0.01    -0.14     0.16  1375.00  1311.04
    35.00     0.00   100.00     0.25     0.25    -3.15     3.12    33.24    33.05     1.20    -1.15     0.01     0.02    -0.16     0.14  1311.04  1375.00
    35.00     0.00  -100.00     0.25     0.26    -3.15     3.18    33.24    33.44     1.20    -1.25     0.01     0.01    -0.16     0.18  1311.04  1247.06
    40.00   100.00     0.00     0.31     0.30    -3.92     3.89    38.14    37.94     1.43    -1.39     0.02     0.02    -0.21     0.19  1336.79  1402.06
    40.00  -100.00     0.00     0.30     0.30    -3.86     3.89    37.74    37.94     1.34    -1.39     0.02     0.02    -0.17     0.19  1467.29  1402.06
    40.00     0.00   100.00     0.30     0.30    -3.89     3.86    37.94    37.74     1.39    -1.34     0.02     0.02    -0.19     0.17  1402.06  1467.29
    40.00     0.00  -100.00     0.30     0.31    -3.89     3.92    37.94    38.14     1.39    -1.43     0.02     0.02    -0.19     0.21  1402.06  1336.79
    45.00   100.00     0.00     0.36     0.36    -4.74     4.70    42.84    42.63     1.62    -1.57     0.02     0.03    -0.24     0.23  1429.53  1496.13
    45.00  -100.00     0.00     0.35     0.36    -4.67     4.70    42.43    42.63     1.53    -1.57     0.03     0.03    -0.21     0.23  1562.69  1496.13
    45.00     0.00   100.00     0.36     0.35    -4.70     4.67    42.63    42.43     1.57    -1.53     0.03     0.03    -0.23     0.21  1496.13  1562.69
    45.00     0.00  -100.00     0.36     0.36    -4.70     4.74    42.63    42.84     1.57    -1.62     0.03     0.02    -0.23     0.24  1496.13  1429.53
    50.00   100.00     0.00     0.42     0.41    -5.63     5.59    47.52    47.31     1.82    -1.77     0.03     0.04    -0.28     0.26  1524.94  1592.94
    50.00  -100.00     0.00     0.41     0.41    -5.55     5.59    47.11    47.31     1.72    -1.77     0.04     0.04    -0.24     0.26  1660.87  1592.94
    50.00     0.00   100.00     0.41     0.41    -5.59     5.55    47.31    47.11     1.77    -1.72     0.04     0.04    -0.26     0.24  1592.94  1660.87
    50.00     0.00  -100.00     0.41     0.42    -5.59     5.63    47.31    47.52     1.77    -1.82     0.04     0.03    -0.26     0.28  1592.94  1524.94
    55.00   100.00     0.00     0.48     0.48    -6.59     6.55    52.20    51.98     2.01    -1.97     0.04     0.04    -0.32     0.30  1622.49  1691.95
    55.00  -100.00     0.00     0.47     0.48    -6.51     6.55    51.77    51.98     1.92    -1.97     0.05     0.04    -0.28     0.30  1761.34  1691.95
    55.00     0.00   100.00     0.48     0.47    -6.55     6.51    51.98    51.77     1.97    -1.92     0.04     0.05    -0.30     0.28  1691.95  1761.34
    55.00     0.00  -100.00     0.48     0.48    -6.55     6.59    51.98    52.20     1.97    -2.01     0.04     0.04    -0.30     0.32  1691.95  1622.49
    60.00   100.00     0.00     0.55     0.54    -7.63     7.58    56.86    56.65     2.22    -2.17     0.05     0.06    -0.36     0.34  1721.39  1792.41
    60.00  -100.00     0.00     0.54     0.54    -7.54     7.58    56.43    56.65     2.12    -2.17     0.06     0.06    -0.32     0.34  1863.33  1792.41
    60.00     0.00   100.00     0.54     0.54    -7.58     7.54    56.65    56.43     2.17    -2.12     0.06     0.06    -0.34     0.32  1792.41  1863.33
    60.00     0.00  -100.00     0.54     0.55    -7.58     7.63    56.65    56.86     2.17    -2.22     0.06     0.05    -0.34     0.36  1792.41  1721.39
    -5.00   100.00     0.00    -0.02    -0.02     0.15    -0.15    -4.62    -4.79    -0.11     0.16     0.00     0.00     0.00    -0.01   644.42   698.97
    -5.00  -100.00     0.00    -0.02    -0.02     0.16    -0.15    -4.96    -4.79    -0.21     0.16     0.01     0.00     0.03    -0.01   753.56   698.97
    -5.00     0.00   100.00    -0.02    -0.02     0.15    -0.16    -4.79    -4.96    -0.16     0.21     0.00     0.01     0.01    -0.03   698.97   753.56
    -5.00     0.00  -100.00    -0.02    -0.02     0.15    -0.15    -4.79    -4.62    -0.16     0.11     0.00     0.00     0.01     0.00   698.97   644.42
   -10.00   100.00     0.00    -0.04    -0.04     0.23    -0.23    -9.43    -9.59    -0.27     0.31     0.00     0.00     0.01    -0.03   582.15   635.58
   -10.00  -100.00     0.00    -0.04    -0.04     0.24    -0.23    -9.76    -9.59    -0.36     0.31     0.01     0.00     0.04    -0.03   689.06   635.58
   -10.00     0.00   100.00    -0.04    -0.04     0.23    -0.24    -9.59    -9.76    -0.31     0.36     0.00     0.01     0.03    -0.04   635.58   689.06
   -10.00     0.00  -100.00    -0.04    -0.04     0.23    -0.23    -9.59    -9.43    -0.31     0.27     0.00     0.00     0.03    -0.01   635.58   582.15
   -15.00   100.00     0.00    -0.06    -0.06     0.23    -0.23   -14.24   -14.40    -0.42     0.46     0.00     0.00     0.02    -0.04   522.25   574.57
   -15.00  -100.00     0.00    -0.06    -0.06     0.24    -0.23   -14.56   -14.40    -0.51     0.46     0.01     0.00     0.05    -0.04   626.95   574.57
   -15.00     0.00   100.00    -0.06    -0.06     0.23    -0.24   -14.40   -14.56    -0.46     0.51     0.00     0.01     0.04    -0.05   574.57   626.95
   -15.00     0.00  -100.00    -0.06    -0.06     0.23    -0.23   -14.40   -14.24    -0.46     0.42     0.00     0.00     0.04    -0.02   574.57   522.25
   -20.00   100.00     0.00    -0.07    -0.07     0.16    -0.16   -19.06   -19.22    -0.57     0.61     0.00     0.01     0.03    -0.04   464.53   515.73
   -20.00  -100.00     0.00    -0.08    -0.07     0.16    -0.16   -19.38   -19.22    -0.66     0.61     0.01     0.01     0.06    -0.04   567.01   515.73
   -20.00     0.00   100.00    -0.07    -0.08     0.16    -0.16   -19.22   -19.38    -0.61     0.66     0.01     0.01     0.04    -0.06   515.73   567.01
   -20.00     0.00  -100.00    -0.07    -0.07     0.16    -0.16   -19.22   -19.06    -0.61     0.57     0.01     0.00     0.04    -0.03   515.73   464.53
   -25.00   100.00     0.00    -0.09    -0.09     0.01    -0.01   -23.89   -24.04    -0.71     0.76     0.00     0.01     0.03    -0.05   408.76   458.86
   -25.00  -100.00     0.00    -0.09    -0.09     0.01    -0.01   -24.20   -24.04    -0.81     0.76     0.01     0.01     0.07    -0.05   509.04   458.86
   -25.00     0.00   100.00    -0.09    -0.09     0.01    -0.01   -24.04   -24.20    -0.76     0.81     0.01     0.01     0.05    -0.07   458.86   509.04
   -25.00     0.00  -100.00    -0.09    -0.09     0.01    -0.01   -24.04   -23.89    -0.76     0.71     0.01     0.00     0.05    -0.03   458.86   408.76
