
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     0.00    65.00   -27.30   -32.97    -2.40    12.31   -40.96   -25.53    -7.44    -5.67    -1.77    76.21    74.44     9.13     9.34
     0.00     0.00     0.00     0.00     0.00    10.52     0.00     0.00     0.00     0.00     0.00     0.00   102.24 ******** ********
     0.00    -5.00     2.13     2.11     0.36    10.39    -0.22     2.09     0.04     0.02     0.03    42.52   104.69   113.21   113.16
     0.00   -10.00     4.29     4.21     0.75    10.27    -0.90     4.11     0.18     0.08     0.10    43.36   107.21    56.85    56.82
     0.00   -15.00     6.48     6.30     1.17    10.14    -2.02     6.09     0.39     0.17     0.22    44.44   109.80    38.05    38.05
     0.00   -20.00     8.70     8.39     1.63    10.01    -3.61     8.01     0.69     0.31     0.37    45.76   112.47    28.65    28.67
     0.00   -25.00    10.97    10.47     2.11     9.87    -5.66     9.90     1.07     0.50     0.56    47.34   115.24    23.01    23.05
     0.00   -30.00    13.30    12.54     2.64     9.73    -8.18    11.77     1.53     0.75     0.77    49.21   118.12    19.25    19.31
     0.00   -35.00    15.69    14.63     3.21     9.57   -11.18    13.62     2.07     1.06     1.00    51.41   121.12    16.56    16.65
     0.00   -40.00    18.16    16.71     3.82     9.40   -14.69    15.47     2.69     1.45     1.24    53.99   124.27    14.54    14.65
     0.00   -45.00    20.75    18.81     4.50     9.22   -18.72    17.34     3.40     1.94     1.46    57.00   127.58    12.98    13.11
     0.00   -50.00    23.46    20.91     5.23     9.01   -23.31    19.25     4.22     2.55     1.66    60.56   131.10    11.72    11.87
     0.00   -55.00    26.35    23.02     6.05     8.78   -28.49    21.21     5.14     3.33     1.81    64.78   134.88    10.70    10.87
     0.00   -60.00    29.49    25.15     6.98     8.52   -34.34    23.29     6.20     4.33     1.87    69.88   138.98     9.85    10.04
     0.00   -65.00    32.97    27.30     8.04     8.21   -40.96    25.53     7.44     5.67     1.77    76.21   143.51     9.13     9.34
     5.00     0.00    -0.02     0.02    -0.16    10.52     0.87    -0.02     0.00    -0.03     0.03     0.00   102.39 ******** ********
     5.00     5.00    -2.12    -2.11    -0.49    10.65     0.65    -2.07    -0.04     0.01    -0.06   -31.58   100.00   112.74   112.69
     5.00    10.00    -4.22    -4.26    -0.80    10.77    -0.03    -4.09    -0.17    -0.04    -0.13    25.08    97.67    56.83    56.80
     5.00    15.00    -6.30    -6.44    -1.08    10.90    -1.16    -6.05    -0.39    -0.14    -0.25    36.42    95.39    38.09    38.09
     5.00    20.00    -8.37    -8.65    -1.34    11.02    -2.74    -7.97    -0.68    -0.28    -0.40    41.33    93.15    28.70    28.72
     5.00    25.00   -10.44   -10.91    -1.57    11.16    -4.79    -9.86    -1.06    -0.47    -0.59    44.57    90.96    23.06    23.10
     5.00    30.00   -12.51   -13.23    -1.78    11.29    -7.32   -11.72    -1.51    -0.72    -0.80    47.34    88.81    19.29    19.36
     5.00    35.00   -14.59   -15.61    -1.96    11.43   -10.33   -13.56    -2.05    -1.03    -1.02    50.08    86.69    16.60    16.69
     5.00    40.00   -16.66   -18.08    -2.12    11.57   -13.84   -15.41    -2.67    -1.41    -1.25    53.00    84.61    14.58    14.69
     5.00    45.00   -18.75   -20.65    -2.26    11.72   -17.88   -17.27    -3.38    -1.90    -1.48    56.24    82.56    13.02    13.14
     5.00    50.00   -20.84   -23.35    -2.37    11.87   -22.47   -19.17    -4.18    -2.51    -1.68    59.95    80.54    11.76    11.91
     5.00    55.00   -22.95   -26.23    -2.45    12.03   -27.66   -21.13    -5.10    -3.28    -1.82    64.27    78.54    10.73    10.90
     5.00    60.00   -25.07   -29.34    -2.51    12.18   -33.52   -23.19    -6.15    -4.27    -1.88    69.43    76.57     9.88    10.07
     5.00    65.00   -27.20   -32.79    -2.54    12.34   -40.14   -25.42    -7.38    -5.59    -1.79    75.76    74.62     9.16     9.37
     5.00     0.00    -0.02     0.02    -0.16    10.52     0.87    -0.02     0.00    -0.03     0.03     0.00   102.39 ******** ********
     5.00    -5.00     2.11     2.12     0.20    10.40     0.65     2.07     0.04    -0.01     0.06   -31.58   104.83   112.74   112.69
     5.00   -10.00     4.26     4.22     0.59    10.28    -0.03     4.09     0.17     0.04     0.13    25.08   107.35    56.83    56.80
     5.00   -15.00     6.44     6.30     1.01    10.15    -1.16     6.05     0.39     0.14     0.25    36.42   109.94    38.09    38.09
     5.00   -20.00     8.65     8.37     1.46    10.02    -2.74     7.97     0.68     0.28     0.40    41.33   112.61    28.70    28.72
     5.00   -25.00    10.91    10.44     1.95     9.88    -4.79     9.86     1.06     0.47     0.59    44.57   115.38    23.06    23.10
     5.00   -30.00    13.23    12.51     2.47     9.73    -7.32    11.72     1.51     0.72     0.80    47.34   118.26    19.29    19.36
     5.00   -35.00    15.61    14.59     3.04     9.58   -10.33    13.56     2.05     1.03     1.02    50.08   121.26    16.60    16.69
     5.00   -40.00    18.08    16.66     3.65     9.41   -13.84    15.41     2.67     1.41     1.25    53.00   124.41    14.58    14.69
     5.00   -45.00    20.65    18.75     4.32     9.22   -17.88    17.27     3.38     1.90     1.48    56.24   127.72    13.02    13.14
     5.00   -50.00    23.35    20.84     5.06     9.02   -22.47    19.17     4.18     2.51     1.68    59.95   131.24    11.76    11.91
     5.00   -55.00    26.23    22.95     5.87     8.78   -27.66    21.13     5.10     3.28     1.82    64.27   135.02    10.73    10.90
     5.00   -60.00    29.34    25.07     6.79     8.52   -33.52    23.19     6.15     4.27     1.88    69.43   139.12     9.88    10.07
     5.00   -65.00    32.79    27.20     7.86     8.21   -40.14    25.42     7.38     5.59     1.79    75.76   143.66     9.16     9.37
    10.00     0.00    -0.03     0.03    -0.33    10.53     1.62    -0.03     0.00    -0.07     0.07     0.00   102.53 ******** ********
    10.00     5.00    -2.13    -2.08    -0.66    10.66     1.40    -2.04    -0.04     0.05    -0.09  -119.24   100.14   112.17   112.12
    10.00    10.00    -4.22    -4.23    -0.96    10.78     0.72    -4.05    -0.17    -0.01    -0.16     3.77    97.81    56.79    56.76
    10.00    15.00    -6.29    -6.40    -1.24    10.91    -0.41    -6.01    -0.38    -0.10    -0.28    27.11    95.54    38.12    38.11
    10.00    20.00    -8.36    -8.60    -1.50    11.04    -2.00    -7.93    -0.67    -0.24    -0.43    36.18    93.30    28.74    28.76
    10.00    25.00   -10.42   -10.86    -1.73    11.17    -4.05    -9.81    -1.05    -0.43    -0.61    41.34    91.12    23.10    23.14
    10.00    30.00   -12.49   -13.16    -1.93    11.31    -6.58   -11.66    -1.50    -0.68    -0.82    45.15    88.97    19.34    19.40
    10.00    35.00   -14.55   -15.54    -2.11    11.45    -9.59   -13.50    -2.03    -0.99    -1.05    48.51    86.85    16.64    16.73
    10.00    40.00   -16.62   -17.99    -2.27    11.59   -13.11   -15.34    -2.65    -1.37    -1.28    51.82    84.77    14.62    14.73
    10.00    45.00   -18.69   -20.55    -2.41    11.74   -17.15   -17.20    -3.35    -1.85    -1.50    55.33    82.73    13.05    13.18
    10.00    50.00   -20.78   -23.24    -2.51    11.90   -21.75   -19.09    -4.15    -2.46    -1.69    59.22    80.71    11.79    11.94
    10.00    55.00   -22.87   -26.10    -2.60    12.05   -26.95   -21.04    -5.06    -3.22    -1.84    63.66    78.72    10.77    10.93
    10.00    60.00   -24.98   -29.19    -2.66    12.21   -32.81   -23.09    -6.10    -4.20    -1.90    68.89    76.75     9.91    10.10
    10.00    65.00   -27.11   -32.61    -2.69    12.38   -39.45   -25.30    -7.31    -5.50    -1.81    75.25    74.81     9.19     9.40
    10.00     0.00    -0.03     0.03    -0.33    10.53     1.62    -0.03     0.00    -0.07     0.07     0.00   102.53 ******** ********
    10.00    -5.00     2.08     2.13     0.03    10.41     1.40     2.04     0.04    -0.05     0.09  -119.24   104.97   112.17   112.12
    10.00   -10.00     4.23     4.22     0.42    10.28     0.72     4.05     0.17     0.01     0.16     3.77   107.48    56.79    56.76
    10.00   -15.00     6.40     6.29     0.84    10.16    -0.41     6.01     0.38     0.10     0.28    27.11   110.07    38.12    38.11
    10.00   -20.00     8.60     8.36     1.29    10.02    -2.00     7.93     0.67     0.24     0.43    36.18   112.75    28.74    28.76
    10.00   -25.00    10.86    10.42     1.77     9.89    -4.05     9.81     1.05     0.43     0.61    41.34   115.51    23.10    23.14
    10.00   -30.00    13.16    12.49     2.30     9.74    -6.58    11.66     1.50     0.68     0.82    45.15   118.39    19.34    19.40
    10.00   -35.00    15.54    14.55     2.86     9.58    -9.59    13.50     2.03     0.99     1.05    48.51   121.39    16.64    16.73
    10.00   -40.00    17.99    16.62     3.48     9.41   -13.11    15.34     2.65     1.37     1.28    51.82   124.53    14.62    14.73
    10.00   -45.00    20.55    18.69     4.14     9.23   -17.15    17.20     3.35     1.85     1.50    55.33   127.85    13.05    13.18
    10.00   -50.00    23.24    20.78     4.88     9.02   -21.75    19.09     4.15     2.46     1.69    59.22   131.37    11.79    11.94
    10.00   -55.00    26.10    22.87     5.69     8.79   -26.95    21.04     5.06     3.22     1.84    63.66   135.14    10.77    10.93
    10.00   -60.00    29.19    24.98     6.61     8.52   -32.81    23.09     6.10     4.20     1.90    68.89   139.25     9.91    10.10
    10.00   -65.00    32.61    27.11     7.67     8.21   -39.45    25.30     7.31     5.50     1.81    75.25   143.79     9.19     9.40
    15.00     0.00    -0.06     0.06    -0.49    10.54     2.25    -0.06     0.00    -0.11     0.11     0.00   102.66 ******** ********
    15.00     5.00    -2.15    -2.05    -0.82    10.67     2.02    -2.01    -0.04     0.09    -0.13  -222.12   100.28   111.50   111.45
    15.00    10.00    -4.22    -4.19    -1.13    10.79     1.35    -4.02    -0.17     0.03    -0.20   -20.79    97.95    56.72    56.69
    15.00    15.00    -6.29    -6.35    -1.41    10.92     0.22    -5.97    -0.38    -0.06    -0.32    16.42    95.68    38.13    38.13
    15.00    20.00    -8.35    -8.55    -1.66    11.05    -1.37    -7.88    -0.67    -0.20    -0.47    30.28    93.45    28.78    28.80
    15.00    25.00   -10.40   -10.79    -1.89    11.19    -3.43    -9.76    -1.04    -0.39    -0.65    37.63    91.27    23.14    23.18
    15.00    30.00   -12.46   -13.09    -2.09    11.33    -5.96   -11.61    -1.48    -0.63    -0.85    42.63    89.12    19.38    19.44
    15.00    35.00   -14.51   -15.45    -2.27    11.47    -8.98   -13.44    -2.01    -0.94    -1.07    46.69    87.01    16.68    16.77
    15.00    40.00   -16.57   -17.90    -2.43    11.61   -12.50   -15.28    -2.62    -1.32    -1.30    50.46    84.94    14.66    14.76
    15.00    45.00   -18.64   -20.44    -2.56    11.77   -16.55   -17.12    -3.32    -1.80    -1.52    54.28    82.89    13.09    13.21
    15.00    50.00   -20.72   -23.12    -2.67    11.92   -21.15   -19.00    -4.12    -2.40    -1.71    58.37    80.88    11.83    11.97
    15.00    55.00   -22.80   -25.96    -2.75    12.08   -26.36   -20.94    -5.02    -3.16    -1.86    62.95    78.89    10.80    10.96
    15.00    60.00   -24.90   -29.03    -2.80    12.24   -32.23   -22.98    -6.05    -4.13    -1.92    68.26    76.93     9.94    10.13
    15.00    65.00   -27.02   -32.43    -2.84    12.41   -38.87   -25.18    -7.25    -5.41    -1.84    74.66    74.99     9.22     9.42
    15.00     0.00    -0.06     0.06    -0.49    10.54     2.25    -0.06     0.00    -0.11     0.11     0.00   102.66 ******** ********
    15.00    -5.00     2.05     2.15    -0.14    10.42     2.02     2.01     0.04    -0.09     0.13  -222.12   105.10   111.50   111.45
    15.00   -10.00     4.19     4.22     0.25    10.29     1.35     4.02     0.17    -0.03     0.20   -20.79   107.61    56.72    56.69
    15.00   -15.00     6.35     6.29     0.67    10.16     0.22     5.97     0.38     0.06     0.32    16.42   110.20    38.13    38.13
    15.00   -20.00     8.55     8.35     1.11    10.03    -1.37     7.88     0.67     0.20     0.47    30.28   112.87    28.78    28.80
    15.00   -25.00    10.79    10.40     1.60     9.89    -3.43     9.76     1.04     0.39     0.65    37.63   115.63    23.14    23.18
    15.00   -30.00    13.09    12.46     2.12     9.75    -5.96    11.61     1.48     0.63     0.85    42.63   118.51    19.38    19.44
    15.00   -35.00    15.45    14.51     2.68     9.59    -8.98    13.44     2.01     0.94     1.07    46.69   121.50    16.68    16.77
    15.00   -40.00    17.90    16.57     3.29     9.42   -12.50    15.28     2.62     1.32     1.30    50.46   124.65    14.66    14.76
    15.00   -45.00    20.44    18.64     3.96     9.23   -16.55    17.12     3.32     1.80     1.52    54.28   127.96    13.09    13.21
    15.00   -50.00    23.12    20.72     4.69     9.03   -21.15    19.00     4.12     2.40     1.71    58.37   131.48    11.83    11.97
    15.00   -55.00    25.96    22.80     5.50     8.79   -26.36    20.94     5.02     3.16     1.86    62.95   135.25    10.80    10.96
    15.00   -60.00    29.03    24.90     6.42     8.52   -32.23    22.98     6.05     4.13     1.92    68.26   139.35     9.94    10.13
    15.00   -65.00    32.43    27.02     7.47     8.21   -38.87    25.18     7.25     5.41     1.84    74.66   143.89     9.22     9.42
    20.00     0.00    -0.08     0.08    -0.67    10.55     2.76    -0.08     0.00    -0.16     0.16 ********   102.79 ******** ********
    20.00     5.00    -2.16    -2.02    -0.99    10.68     2.53    -1.98    -0.04     0.14    -0.18  -342.20   100.41   110.73   110.68
    20.00    10.00    -4.23    -4.15    -1.30    10.81     1.86    -3.99    -0.16     0.08    -0.25   -48.89    98.09    56.62    56.59
    20.00    15.00    -6.29    -6.31    -1.57    10.94     0.72    -5.93    -0.37    -0.02    -0.36     4.27    95.82    38.14    38.13
    20.00    20.00    -8.34    -8.50    -1.82    11.07    -0.87    -7.84    -0.66    -0.16    -0.50    23.57    93.60    28.81    28.82
    20.00    25.00   -10.39   -10.73    -2.05    11.20    -2.93    -9.71    -1.03    -0.34    -0.68    33.42    91.42    23.18    23.22
    20.00    30.00   -12.43   -13.02    -2.25    11.34    -5.46   -11.55    -1.47    -0.58    -0.89    39.76    89.27    19.42    19.48
    20.00    35.00   -14.48   -15.37    -2.43    11.49    -8.48   -13.38    -1.99    -0.89    -1.10    44.63    87.17    16.72    16.80
    20.00    40.00   -16.53   -17.80    -2.59    11.64   -12.01   -15.20    -2.60    -1.27    -1.33    48.91    85.10    14.70    14.80
    20.00    45.00   -18.59   -20.34    -2.71    11.79   -16.06   -17.04    -3.29    -1.75    -1.54    53.07    83.06    13.12    13.25
    20.00    50.00   -20.66   -23.00    -2.82    11.95   -20.67   -18.92    -4.08    -2.34    -1.74    57.39    81.05    11.86    12.01
    20.00    55.00   -22.73   -25.82    -2.90    12.11   -25.88   -20.85    -4.97    -3.09    -1.88    62.13    79.07    10.83    11.00
    20.00    60.00   -24.82   -28.87    -2.96    12.28   -31.75   -22.88    -5.99    -4.05    -1.94    67.55    77.11     9.97    10.16
    20.00    65.00   -26.92   -32.23    -2.99    12.44   -38.40   -25.06    -7.18    -5.31    -1.87    73.99    75.18     9.25     9.45
    20.00     0.00    -0.08     0.08    -0.67    10.55     2.76    -0.08     0.00    -0.16     0.16 ********   102.79 ******** ********
    20.00    -5.00     2.02     2.16    -0.31    10.43     2.53     1.98     0.04    -0.14     0.18  -342.20   105.23   110.73   110.68
    20.00   -10.00     4.15     4.23     0.08    10.30     1.86     3.99     0.16    -0.08     0.25   -48.89   107.74    56.62    56.59
    20.00   -15.00     6.31     6.29     0.49    10.17     0.72     5.93     0.37     0.02     0.36     4.27   110.32    38.14    38.13
    20.00   -20.00     8.50     8.34     0.94    10.04    -0.87     7.84     0.66     0.16     0.50    23.57   112.98    28.81    28.82
    20.00   -25.00    10.73    10.39     1.42     9.90    -2.93     9.71     1.03     0.34     0.68    33.42   115.75    23.18    23.22
    20.00   -30.00    13.02    12.43     1.94     9.76    -5.46    11.55     1.47     0.58     0.89    39.76   118.61    19.42    19.48
    20.00   -35.00    15.37    14.48     2.50     9.60    -8.48    13.38     1.99     0.89     1.10    44.63   121.61    16.72    16.80
    20.00   -40.00    17.80    16.53     3.11     9.43   -12.01    15.20     2.60     1.27     1.33    48.91   124.75    14.70    14.80
    20.00   -45.00    20.34    18.59     3.78     9.24   -16.06    17.04     3.29     1.75     1.54    53.07   128.06    13.12    13.25
    20.00   -50.00    23.00    20.66     4.51     9.03   -20.67    18.92     4.08     2.34     1.74    57.39   131.57    11.86    12.01
    20.00   -55.00    25.82    22.73     5.31     8.80   -25.88    20.85     4.97     3.09     1.88    62.13   135.34    10.83    11.00
    20.00   -60.00    28.87    24.82     6.22     8.53   -31.75    22.88     5.99     4.05     1.94    67.55   139.44     9.97    10.16
    20.00   -65.00    32.23    26.92     7.27     8.21   -38.40    25.06     7.18     5.31     1.87    73.99   143.98     9.25     9.45
    25.00     0.00    -0.10     0.10    -0.84    10.56     3.15    -0.10     0.00    -0.21     0.21 ********   102.91 ******** ********
    25.00     5.00    -2.18    -1.99    -1.17    10.69     2.93    -1.95    -0.04     0.19    -0.23  -481.90   100.54   109.87   109.81
    25.00    10.00    -4.24    -4.11    -1.47    10.82     2.25    -3.95    -0.16     0.13    -0.29   -80.83    98.22    56.50    56.47
    25.00    15.00    -6.29    -6.26    -1.74    10.95     1.11    -5.89    -0.37     0.03    -0.40    -9.46    95.96    38.13    38.12
    25.00    20.00    -8.33    -8.44    -1.99    11.08    -0.48    -7.79    -0.65    -0.10    -0.55    16.02    93.74    28.83    28.85
    25.00    25.00   -10.37   -10.66    -2.22    11.22    -2.54    -9.65    -1.01    -0.29    -0.72    28.68    91.56    23.21    23.25
    25.00    30.00   -12.41   -12.94    -2.42    11.36    -5.07   -11.49    -1.45    -0.53    -0.92    36.52    89.43    19.45    19.51
    25.00    35.00   -14.45   -15.28    -2.59    11.51    -8.10   -13.31    -1.97    -0.83    -1.14    42.29    87.33    16.76    16.84
    25.00    40.00   -16.49   -17.71    -2.75    11.66   -11.63   -15.13    -2.57    -1.21    -1.36    47.15    85.26    14.73    14.83
    25.00    45.00   -18.54   -20.22    -2.87    11.81   -15.69   -16.96    -3.26    -1.69    -1.58    51.69    83.23    13.16    13.28
    25.00    50.00   -20.60   -22.87    -2.98    11.98   -20.30   -18.83    -4.04    -2.27    -1.77    56.29    81.22    11.89    12.04
    25.00    55.00   -22.66   -25.68    -3.06    12.14   -25.52   -20.75    -4.92    -3.01    -1.91    61.21    79.25    10.86    11.03
    25.00    60.00   -24.74   -28.70    -3.11    12.31   -31.39   -22.77    -5.94    -3.96    -1.97    66.74    77.29    10.00    10.19
    25.00    65.00   -26.83   -32.04    -3.14    12.48   -38.04   -24.93    -7.11    -5.21    -1.90    73.24    75.37     9.28     9.48
    25.00     0.00    -0.10     0.10    -0.84    10.56     3.15    -0.10     0.00    -0.21     0.21 ********   102.91 ******** ********
    25.00    -5.00     1.99     2.18    -0.49    10.44     2.93     1.95     0.04    -0.19     0.23  -481.90   105.35   109.87   109.81
    25.00   -10.00     4.11     4.24    -0.10    10.31     2.25     3.95     0.16    -0.13     0.29   -80.83   107.85    56.50    56.47
    25.00   -15.00     6.26     6.29     0.31    10.18     1.11     5.89     0.37    -0.03     0.40    -9.46   110.43    38.13    38.12
    25.00   -20.00     8.44     8.33     0.76    10.05    -0.48     7.79     0.65     0.10     0.55    16.02   113.09    28.83    28.85
    25.00   -25.00    10.66    10.37     1.24     9.91    -2.54     9.65     1.01     0.29     0.72    28.68   115.85    23.21    23.25
    25.00   -30.00    12.94    12.41     1.75     9.76    -5.07    11.49     1.45     0.53     0.92    36.52   118.71    19.45    19.51
    25.00   -35.00    15.28    14.45     2.31     9.61    -8.10    13.31     1.97     0.83     1.14    42.29   121.70    16.76    16.84
    25.00   -40.00    17.71    16.49     2.92     9.44   -11.63    15.13     2.57     1.21     1.36    47.15   124.84    14.73    14.83
    25.00   -45.00    20.22    18.54     3.59     9.25   -15.69    16.96     3.26     1.69     1.58    51.69   128.14    13.16    13.28
    25.00   -50.00    22.87    20.60     4.31     9.04   -20.30    18.83     4.04     2.27     1.77    56.29   131.65    11.89    12.04
    25.00   -55.00    25.68    22.66     5.12     8.80   -25.52    20.75     4.92     3.01     1.91    61.21   135.42    10.86    11.03
    25.00   -60.00    28.70    24.74     6.02     8.53   -31.39    22.77     5.94     3.96     1.97    66.74   139.51    10.00    10.19
    25.00   -65.00    32.04    26.83     7.07     8.21   -38.04    24.93     7.11     5.21     1.90    73.24   144.04     9.28     9.48
    30.00     0.00    -0.13     0.13    -1.02    10.58     3.43    -0.13     0.00    -0.26     0.26 ********   103.03 ******** ********
    30.00     5.00    -2.20    -1.96    -1.34    10.70     3.20    -1.92    -0.04     0.24    -0.28  -644.18   100.66   108.91   108.86
    30.00    10.00    -4.25    -4.07    -1.64    10.83     2.52    -3.91    -0.16     0.19    -0.34  -116.99    98.35    56.35    56.32
    30.00    15.00    -6.29    -6.20    -1.91    10.96     1.39    -5.84    -0.36     0.09    -0.45   -24.89    96.09    38.11    38.11
    30.00    20.00    -8.33    -8.38    -2.16    11.10    -0.21    -7.74    -0.64    -0.05    -0.59     7.56    93.88    28.85    28.86
    30.00    25.00   -10.36   -10.59    -2.39    11.24    -2.27    -9.59    -1.00    -0.23    -0.77    23.37    91.70    23.24    23.28
    30.00    30.00   -12.39   -12.86    -2.58    11.38    -4.81   -11.42    -1.44    -0.47    -0.96    32.90    89.57    19.49    19.54
    30.00    35.00   -14.42   -15.19    -2.76    11.53    -7.83   -13.24    -1.95    -0.77    -1.18    39.67    87.48    16.79    16.87
    30.00    40.00   -16.45   -17.60    -2.91    11.68   -11.37   -15.06    -2.55    -1.15    -1.40    45.17    85.42    14.77    14.87
    30.00    45.00   -18.49   -20.11    -3.04    11.84   -15.43   -16.88    -3.23    -1.62    -1.61    50.15    83.39    13.19    13.31
    30.00    50.00   -20.54   -22.74    -3.14    12.00   -20.04   -18.74    -4.00    -2.20    -1.80    55.04    81.39    11.93    12.07
    30.00    55.00   -22.59   -25.53    -3.22    12.17   -25.26   -20.65    -4.88    -2.93    -1.94    60.17    79.42    10.89    11.06
    30.00    60.00   -24.66   -28.53    -3.27    12.34   -31.15   -22.65    -5.88    -3.87    -2.01    65.84    77.48    10.03    10.21
    30.00    65.00   -26.74   -31.84    -3.30    12.52   -37.79   -24.80    -7.03    -5.09    -1.94    72.41    75.56     9.30     9.51
    30.00     0.00    -0.13     0.13    -1.02    10.58     3.43    -0.13     0.00    -0.26     0.26 ********   103.03 ******** ********
    30.00    -5.00     1.96     2.20    -0.67    10.45     3.20     1.92     0.04    -0.24     0.28  -644.18   105.46   108.91   108.86
    30.00   -10.00     4.07     4.25    -0.28    10.32     2.52     3.91     0.16    -0.19     0.34  -116.99   107.96    56.35    56.32
    30.00   -15.00     6.20     6.29     0.13    10.19     1.39     5.84     0.36    -0.09     0.45   -24.89   110.53    38.11    38.11
    30.00   -20.00     8.38     8.33     0.57    10.06    -0.21     7.74     0.64     0.05     0.59     7.56   113.19    28.85    28.86
    30.00   -25.00    10.59    10.36     1.05     9.92    -2.27     9.59     1.00     0.23     0.77    23.37   115.94    23.24    23.28
    30.00   -30.00    12.86    12.39     1.57     9.77    -4.81    11.42     1.44     0.47     0.96    32.90   118.80    19.49    19.54
    30.00   -35.00    15.19    14.42     2.12     9.61    -7.83    13.24     1.95     0.77     1.18    39.67   121.78    16.79    16.87
    30.00   -40.00    17.60    16.45     2.73     9.44   -11.37    15.06     2.55     1.15     1.40    45.17   124.91    14.77    14.87
    30.00   -45.00    20.11    18.49     3.39     9.26   -15.43    16.88     3.23     1.62     1.61    50.15   128.21    13.19    13.31
    30.00   -50.00    22.74    20.54     4.12     9.05   -20.04    18.74     4.00     2.20     1.80    55.04   131.72    11.93    12.07
    30.00   -55.00    25.53    22.59     4.92     8.81   -25.26    20.65     4.88     2.93     1.94    60.17   135.48    10.89    11.06
    30.00   -60.00    28.53    24.66     5.82     8.54   -31.15    22.65     5.88     3.87     2.01    65.84   139.56    10.03    10.21
    30.00   -65.00    31.84    26.74     6.85     8.22   -37.79    24.80     7.03     5.09     1.94    72.41   144.08     9.30     9.51
    35.00     0.00    -0.16     0.16    -1.20    10.59     3.59    -0.16     0.00    -0.32     0.32 ********   103.14 ******** ********
    35.00     5.00    -2.22    -1.92    -1.52    10.72     3.36    -1.88    -0.04     0.30    -0.34  -832.64   100.78   107.86   107.81
    35.00    10.00    -4.26    -4.02    -1.82    10.85     2.68    -3.86    -0.16     0.24    -0.40  -157.81    98.47    56.18    56.15
    35.00    15.00    -6.30    -6.15    -2.09    10.98     1.55    -5.79    -0.35     0.15    -0.50   -42.14    96.22    38.08    38.08
    35.00    20.00    -8.33    -8.31    -2.34    11.11    -0.05    -7.68    -0.63     0.01    -0.64    -1.88    94.01    28.86    28.87
    35.00    25.00   -10.35   -10.52    -2.56    11.26    -2.11    -9.53    -0.99    -0.17    -0.82    17.45    91.84    23.27    23.31
    35.00    30.00   -12.37   -12.78    -2.76    11.40    -4.65   -11.36    -1.42    -0.41    -1.01    28.86    89.72    19.52    19.58
    35.00    35.00   -14.39   -15.10    -2.93    11.55    -7.68   -13.17    -1.93    -0.71    -1.22    36.76    87.63    16.83    16.90
    35.00    40.00   -16.41   -17.50    -3.08    11.71   -11.22   -14.98    -2.52    -1.08    -1.44    42.97    85.58    14.80    14.90
