
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    40.00     0.00   100.00     0.30     0.13    -3.89     3.89    37.94    37.94     1.39    -1.38     0.02     0.37    -0.19     0.16  1402.06  1400.55
    40.00     0.00  -100.00     0.30     0.47    -3.89     3.89    37.94    37.93     1.39    -1.39     0.02    -0.33    -0.19     0.22  1402.06  1404.35
    45.00   100.00     0.00     0.18     0.36    -4.71     4.70    42.64    42.63     1.57    -1.57     0.38     0.03    -0.19     0.23  1494.25  1496.13
    45.00  -100.00     0.00     0.53     0.36    -4.70     4.70    42.62    42.63     1.58    -1.57    -0.32     0.03    -0.26     0.23  1498.80  1496.13
    45.00     0.00   100.00     0.36     0.18    -4.70     4.71    42.63    42.64     1.57    -1.57     0.03     0.38    -0.23     0.19  1496.13  1494.25
    45.00     0.00  -100.00     0.36     0.53    -4.70     4.70    42.63    42.62     1.57    -1.58     0.03    -0.32    -0.23     0.26  1496.13  1498.80
    50.00   100.00     0.00     0.24     0.41    -5.59     5.59    47.32    47.31     1.76    -1.77     0.38     0.04    -0.22     0.26  1590.63  1592.94
    50.00  -100.00     0.00     0.59     0.41    -5.59     5.59    47.30    47.31     1.77    -1.77    -0.31     0.04    -0.30     0.26  1596.02  1592.94
    50.00     0.00   100.00     0.41     0.24    -5.59     5.59    47.31    47.32     1.77    -1.76     0.04     0.38    -0.26     0.22  1592.94  1590.63
    50.00     0.00  -100.00     0.41     0.59    -5.59     5.59    47.31    47.30     1.77    -1.77     0.04    -0.31    -0.26     0.30  1592.94  1596.02
    55.00   100.00     0.00     0.29     0.48    -6.55     6.55    51.99    51.98     1.96    -1.97     0.39     0.04    -0.26     0.30  1689.17  1691.95
    55.00  -100.00     0.00     0.66     0.48    -6.54     6.55    51.97    51.98     1.97    -1.97    -0.30     0.04    -0.34     0.30  1695.50  1691.95
    55.00     0.00   100.00     0.48     0.29    -6.55     6.55    51.98    51.99     1.97    -1.96     0.04     0.39    -0.30     0.26  1691.95  1689.17
    55.00     0.00  -100.00     0.48     0.66    -6.55     6.54    51.98    51.97     1.97    -1.97     0.04    -0.30    -0.30     0.34  1691.95  1695.50
    60.00   100.00     0.00     0.36     0.54    -7.58     7.58    56.66    56.65     2.16    -2.17     0.40     0.06    -0.29     0.34  1789.08  1792.41
    60.00  -100.00     0.00     0.73     0.54    -7.57     7.58    56.63    56.65     2.17    -2.17    -0.29     0.06    -0.39     0.34  1796.49  1792.41
    60.00     0.00   100.00     0.54     0.36    -7.58     7.58    56.65    56.66     2.17    -2.16     0.06     0.40    -0.34     0.29  1792.41  1789.08
    60.00     0.00  -100.00     0.54     0.73    -7.58     7.57    56.65    56.63     2.17    -2.17     0.06    -0.29    -0.34     0.39  1792.41  1796.49
    -5.00   100.00     0.00    -0.14    -0.02     0.16    -0.15    -4.80    -4.79    -0.16     0.16     0.37     0.00     0.01    -0.01   699.70   698.97
    -5.00  -100.00     0.00     0.10    -0.02     0.15    -0.15    -4.80    -4.79    -0.15     0.16    -0.37     0.00     0.02    -0.01   699.13   698.97
    -5.00     0.00   100.00    -0.02    -0.14     0.15    -0.16    -4.79    -4.80    -0.16     0.16     0.00     0.37     0.01    -0.01   698.97   699.70
    -5.00     0.00  -100.00    -0.02     0.10     0.15    -0.15    -4.79    -4.80    -0.16     0.15     0.00    -0.37     0.01    -0.02   698.97   699.13
   -10.00   100.00     0.00    -0.16    -0.04     0.23    -0.23    -9.60    -9.59    -0.32     0.31     0.38     0.00     0.02    -0.03   636.48   635.58
   -10.00  -100.00     0.00     0.07    -0.04     0.23    -0.23    -9.60    -9.59    -0.31     0.31    -0.38     0.00     0.04    -0.03   635.58   635.58
   -10.00     0.00   100.00    -0.04    -0.16     0.23    -0.23    -9.59    -9.60    -0.31     0.32     0.00     0.38     0.03    -0.02   635.58   636.48
   -10.00     0.00  -100.00    -0.04     0.07     0.23    -0.23    -9.59    -9.60    -0.31     0.31     0.00    -0.38     0.03    -0.04   635.58   635.58
   -15.00   100.00     0.00    -0.17    -0.06     0.24    -0.23   -14.41   -14.40    -0.47     0.46     0.38     0.00     0.02    -0.04   575.63   574.57
   -15.00  -100.00     0.00     0.05    -0.06     0.23    -0.23   -14.40   -14.40    -0.46     0.46    -0.38     0.00     0.05    -0.04   574.42   574.57
   -15.00     0.00   100.00    -0.06    -0.17     0.23    -0.24   -14.40   -14.41    -0.46     0.47     0.00     0.38     0.04    -0.02   574.57   575.63
   -15.00     0.00  -100.00    -0.06     0.05     0.23    -0.23   -14.40   -14.40    -0.46     0.46     0.00    -0.38     0.04    -0.05   574.57   574.42
   -20.00   100.00     0.00    -0.18    -0.07     0.16    -0.16   -19.22   -19.22    -0.62     0.61     0.39     0.01     0.03    -0.04   516.95   515.73
   -20.00  -100.00     0.00     0.03    -0.07     0.16    -0.16   -19.22   -19.22    -0.61     0.61    -0.38     0.01     0.06    -0.04   515.44   515.73
   -20.00     0.00   100.00    -0.07    -0.18     0.16    -0.16   -19.22   -19.22    -0.61     0.62     0.01     0.39     0.04    -0.03   515.73   516.95
   -20.00     0.00  -100.00    -0.07     0.03     0.16    -0.16   -19.22   -19.22    -0.61     0.61     0.01    -0.38     0.04    -0.06   515.73   515.44
   -25.00   100.00     0.00    -0.18    -0.09     0.01    -0.01   -24.05   -24.04    -0.76     0.76     0.39     0.01     0.03    -0.05   460.23   458.86
   -25.00  -100.00     0.00     0.01    -0.09     0.00    -0.01   -24.04   -24.04    -0.75     0.76    -0.38     0.01     0.07    -0.05   458.43   458.86
   -25.00     0.00   100.00    -0.09    -0.18     0.01    -0.01   -24.04   -24.05    -0.76     0.76     0.01     0.39     0.05    -0.03   458.86   460.23
   -25.00     0.00  -100.00    -0.09     0.01     0.01     0.00   -24.04   -24.04    -0.76     0.75     0.01    -0.38     0.05    -0.07   458.86   458.43
